experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
mistral:latest_local_baseline_math,mistral:latest,math,0,$18,18,False,3.863,2026-01-23T00:38:32.058319
mistral:latest_local_baseline_math,mistral:latest,math,1,3,3,True,1.546,2026-01-23T00:38:32.059872
mistral:latest_local_baseline_math,mistral:latest,math,2,"$38,000",70000,False,4.749,2026-01-23T00:38:32.064627
mistral:latest_local_baseline_math,mistral:latest,math,3,540,540,True,3.002,2026-01-23T00:38:32.067635
mistral:latest_local_baseline_math,mistral:latest,math,4,40,20,False,5.981,2026-01-23T00:38:32.073622
mistral:latest_local_baseline_math,mistral:latest,math,5,$64,64,False,13154.847,2026-01-23T00:38:45.228480
mistral:latest_local_baseline_math,mistral:latest,math,6,260,260,True,6196.313,2026-01-23T00:38:51.424809
mistral:latest_local_baseline_math,mistral:latest,math,7,70,160,False,11012.944,2026-01-23T00:39:02.437787
mistral:latest_local_baseline_math,mistral:latest,math,8,135,45,False,13493.966,2026-01-23T00:39:15.931776
mistral:latest_local_baseline_math,mistral:latest,math,9,$460,460,False,8842.679,2026-01-23T00:39:24.774471
mistral:latest_local_baseline_math,mistral:latest,math,10,466,366,False,7580.167,2026-01-23T00:39:32.354653
mistral:latest_local_baseline_math,mistral:latest,math,11,794,694,False,6083.287,2026-01-23T00:39:38.437987
mistral:latest_local_baseline_math,mistral:latest,math,12,12,13,False,10378.061000000002,2026-01-23T00:39:48.816067
mistral:latest_local_baseline_math,mistral:latest,math,13,There is no solution for this problem as the given information leads to a negative number of vacuum cleaners.,18,False,18604.482999999997,2026-01-23T00:40:07.420577
mistral:latest_local_baseline_math,mistral:latest,math,14,60%,60,False,11959.849999999999,2026-01-23T00:40:19.380459
mistral:latest_local_baseline_math,mistral:latest,math,15,"$2,971",125,False,11258.93,2026-01-23T00:40:30.639414
mistral:latest_local_baseline_math,mistral:latest,math,16,460,230,False,7986.778,2026-01-23T00:40:38.626212
mistral:latest_local_baseline_math,mistral:latest,math,17,"$57,500",57500,False,10049.846000000001,2026-01-23T00:40:48.676087
mistral:latest_local_baseline_math,mistral:latest,math,18,7,7,True,8213.151999999998,2026-01-23T00:40:56.889264
mistral:latest_local_baseline_math,mistral:latest,math,19,1.5,6,False,7461.009,2026-01-23T00:41:04.350281
mistral:latest_local_baseline_math,mistral:latest,math,20,15.67,15,False,10311.865,2026-01-23T00:41:14.662163
mistral:latest_local_baseline_math,mistral:latest,math,21,2,14,False,5000.667,2026-01-23T00:41:19.662862
mistral:latest_local_baseline_math,mistral:latest,math,22,7,7,True,7022.691,2026-01-23T00:41:26.685568
mistral:latest_local_baseline_math,mistral:latest,math,23,8,8,True,5435.499,2026-01-23T00:41:32.121081
mistral:latest_local_baseline_math,mistral:latest,math,24,$14.63 (rounded to two decimal places),26,False,6492.223,2026-01-23T00:41:38.613317
mistral:latest_local_baseline_math,mistral:latest,math,25,2 (approximately),2,False,8443.653,2026-01-23T00:41:47.056986
mistral:latest_local_baseline_math,mistral:latest,math,26,$209.50,243,False,7610.709,2026-01-23T00:41:54.667737
mistral:latest_local_baseline_math,mistral:latest,math,27,$16.00,16,False,6691.678,2026-01-23T00:42:01.359426
mistral:latest_local_baseline_math,mistral:latest,math,28,25,25,True,5477.787,2026-01-23T00:42:06.837231
mistral:latest_local_baseline_math,mistral:latest,math,29,The cost of the boots is 2*x + 38 (where x is the cost of one pair of high heels).,104,False,9005.955,2026-01-23T00:42:15.843224
mistral:latest_local_baseline_math,mistral:latest,math,30,109,109,True,6702.314,2026-01-23T00:42:22.545550
mistral:latest_local_baseline_math,mistral:latest,math,31,86.67,80,False,9204.022,2026-01-23T00:42:31.749584
mistral:latest_local_baseline_math,mistral:latest,math,32,35,35,True,5658.678,2026-01-23T00:42:37.408288
mistral:latest_local_baseline_math,mistral:latest,math,33,30,70,False,6632.06,2026-01-23T00:42:44.040362
mistral:latest_local_baseline_math,mistral:latest,math,34,15,23,False,5654.307,2026-01-23T00:42:49.694730
mistral:latest_local_baseline_math,mistral:latest,math,35,9,9,True,7306.618,2026-01-23T00:42:57.001360
mistral:latest_local_baseline_math,mistral:latest,math,36,75,75,True,5392.753,2026-01-23T00:43:02.394141
mistral:latest_local_baseline_math,mistral:latest,math,37,4,2,False,7579.214,2026-01-23T00:43:09.973371
mistral:latest_local_baseline_math,mistral:latest,math,38,We cannot determine John's overall average speed with the given information.,10,False,8952.348,2026-01-23T00:43:18.925742
