experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
mistral_local_baseline_code,mistral,code,0,"```python
from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            if abs(numbers[i] - numbers[j]) <= threshold:
                return True
    return False
```","    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False
",True,8456.806,2026-01-18T14:38:21.878020
mistral_local_baseline_code,mistral,code,1,"```python
from typing import List
import re

def separate_paren_groups(paren_string: str) -> List[str]:
    def find_group(parentheses, start):
        if not parentheses:
            return []
        opening = parentheses.find('(')
        closing = parentheses.find(')')
        if opening == -1 or closing == -1 or opening > closing:
            return [parentheses[start:]]
        else:
            return [parentheses[start:opening]] + find_group(parentheses[opening+1:closing], opening+1) + find_group(parentheses[closing:], closing)

    return list(map(lambda x: ''.join(x), map(find_group, re.findall(r'\((.*?)\)', paren_string), [0])))
```","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
",False,14768.774,2026-01-18T14:38:36.646820
mistral_local_baseline_code,mistral,code,2,"```python
import math

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
    return number - math.floor(number)
```","    return number % 1.0
",False,8935.458,2026-01-18T14:38:45.582329
mistral_local_baseline_code,mistral,code,3,"```python
from typing import List

def below_zero(operations: List[int]):
    current_balance = 0
    for operation in operations:
        if current_balance < 0:
            return True
        current_balance += operation
    return False
```","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
",False,6627.436000000001,2026-01-18T14:38:52.209815
mistral_local_baseline_code,mistral,code,4,"```python
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    # Calculate the mean of the numbers
    mean = sum(numbers) / len(numbers)

    # Calculate the absolute difference between each number and the mean
    abs_diffs = [abs(x - mean) for x in numbers]

    # Calculate the average of the absolute differences
    mad = sum(abs_diffs) / len(numbers)

    return mad
```","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
",True,8998.918,2026-01-18T14:39:01.208802
mistral_local_baseline_code,mistral,code,5,"```python
def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    result = []
    for i in range(len(numbers)):
        if i == 0:
            result.append(numbers[i])
        else:
            result.append(numbers[i - 1])
            result.append(delimeter)
            result.append(numbers[i])
    return result
```","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
",False,8040.274,2026-01-18T14:39:09.249118
mistral_local_baseline_code,mistral,code,6,"```python
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    def _parse_nested_parens(paren_str, depth=0):
        if not paren_str:
            return depth

        opening_parenthesis = paren_str.find('(')
        closing_parenthesis = paren_str.find(')')

        if opening_parenthesis != -1 and closing_parenthesis != -1:
            _parse_nested_parens(paren_str[:opening_parenthesis], depth + 1)
            return _parse_nested_parens(paren_str[closing_parenthesis+1:], depth - 1)
        elif opening_parenthesis != -1:
            return _parse_nested_parens(paren_str, depth + 1)
        else:
            return depth

    result = []
    for part in paren_string.split():
        result.append(_parse_nested_parens(part))

    return result
```","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
",False,14246.539,2026-01-18T14:39:23.495699
mistral_local_baseline_code,mistral,code,7,"```python
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    filtered_strings = []
    for string in strings:
        if substring in string:
            filtered_strings.append(string)
    return filtered_strings
```","    return [x for x in strings if substring in x]
",True,6134.907,2026-01-18T14:39:29.630661
mistral_local_baseline_code,mistral,code,8,"```python
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    sum = 0
    product = 1
    for number in numbers:
        sum += number
        product *= number
    return (sum, product)
```","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
",True,7296.551,2026-01-18T14:39:36.927226
mistral_local_baseline_code,mistral,code,9,"```python
from typing import List, Tuple

def rolling_max(numbers: List[int]) -> List[int]:
    if not numbers:
        return []

    max_so_far = numbers[0]
    current_max = max_so_far
    result = [max_so_far]

    for num in numbers[1:]:
        current_max = max(num, current_max)
        result.append(current_max)
        max_so_far = current_max

    return result
```","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
",True,8469.427,2026-01-18T14:39:45.396680
