experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2-chat-latest_baseline_code,gpt-5.2-chat-latest,code,0,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    if len(numbers) < 2:
        return False

    numbers_sorted = sorted(numbers)
    for i in range(1, len(numbers_sorted)):
        if numbers_sorted[i] - numbers_sorted[i - 1] < threshold:
            return True

    return False","    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False
",True,3827.768,290,309,0.0,2026-01-19T15:24:01.177362
gpt-5.2-chat-latest_baseline_code,gpt-5.2-chat-latest,code,1,"```python
from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
    groups: List[str] = []
    current = []
    depth = 0

    for ch in paren_string:
        if ch == ' ':
            continue
        if ch == '(':
            depth += 1
            current.append(ch)
        elif ch == ')':
            current.append(ch)
            depth -= 1
            if depth == 0:
                groups.append(''.join(current))
                current = []

    return groups
```","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
",True,4927.044000000001,280,403,0.0,2026-01-19T15:24:06.104449
gpt-5.2-chat-latest_baseline_code,gpt-5.2-chat-latest,code,2,"```python
def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
    return number - int(number)
```","    return number % 1.0
",True,3156.647,250,239,0.0,2026-01-19T15:24:09.261140
gpt-5.2-chat-latest_baseline_code,gpt-5.2-chat-latest,code,3,"```python
from typing import List


def below_zero(operations: List[int]) -> bool:
    balance = 0
    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False
```","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
",True,2668.9120000000003,283,175,0.0,2026-01-19T15:24:11.930064
gpt-5.2-chat-latest_baseline_code,gpt-5.2-chat-latest,code,4,"```python
from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
    if not numbers:
        raise ValueError(""mean_absolute_deviation requires at least one number"")

    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
```","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
",True,4170.798,283,357,0.0,2026-01-19T15:24:16.100893
gpt-5.2-chat-latest_baseline_code,gpt-5.2-chat-latest,code,5,"```python
from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    if not numbers:
        return []

    result: List[int] = []
    for i, num in enumerate(numbers):
        result.append(num)
        if i < len(numbers) - 1:
            result.append(delimeter)
    return result
```","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
",True,3507.896,263,253,0.0,2026-01-19T15:24:19.608812
gpt-5.2-chat-latest_baseline_code,gpt-5.2-chat-latest,code,6,"```python
from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
    results: List[int] = []

    for group in paren_string.split():
        current_depth = 0
        max_depth = 0
        for ch in group:
            if ch == '(':
                current_depth += 1
                max_depth = max(max_depth, current_depth)
            elif ch == ')':
                current_depth -= 1
        results.append(max_depth)

    return results
```","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
",True,3818.4049999999997,275,288,0.0,2026-01-19T15:24:23.427295
gpt-5.2-chat-latest_baseline_code,gpt-5.2-chat-latest,code,7,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return [s for s in strings if substring in s]","    return [x for x in strings if substring in x]
",True,2941.397,258,188,0.0,2026-01-19T15:24:26.368752
gpt-5.2-chat-latest_baseline_code,gpt-5.2-chat-latest,code,8,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    total_sum = 0
    total_product = 1

    for n in numbers:
        total_sum += n
        total_product *= n

    return total_sum, total_product","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
",True,3161.9030000000002,275,268,0.0,2026-01-19T15:24:29.530672
gpt-5.2-chat-latest_baseline_code,gpt-5.2-chat-latest,code,9,"def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    result: List[int] = []
    current_max = None

    for num in numbers:
        if current_max is None or num > current_max:
            current_max = num
        result.append(current_max)

    return result","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
",True,2981.613,265,226,0.0,2026-01-19T15:24:32.512305
