experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2_baseline_extraction,gpt-5.2,extraction,0,"{""PER"":[],""ORG"":[],""LOC"":[""India"",""Adyar""],""MISC"":[""1884""]}","{""PER"": [], ""ORG"": [], ""LOC"": [""India"", ""Adyar""], ""MISC"": []}",True,742.214,210,34,0.0031200000000000004,2026-01-18T13:49:51.355580
gpt-5.2_baseline_extraction,gpt-5.2,extraction,1,"{""PER"":[""Kanye West"",""Jamie Foxx""],""ORG"":[],""LOC"":[],""MISC"":[""Gold Digger"",""2005""]}","{""PER"": [""Kanye West"", ""Jamie Foxx""], ""ORG"": [""Gold Digger""], ""LOC"": [], ""MISC"": []}",True,763.958,204,43,0.0033300000000000005,2026-01-18T13:49:52.119570
gpt-5.2_baseline_extraction,gpt-5.2,extraction,2,"{""PER"":[""Hewitson""],""ORG"":[],""LOC"":[],""MISC"":[""Mycalesis perseus lalassis""]}","{""PER"": [], ""ORG"": [], ""LOC"": [""Mycalesis perseus lalassis""], ""MISC"": []}",False,910.948,205,42,0.0033099999999999996,2026-01-18T13:49:53.030544
gpt-5.2_baseline_extraction,gpt-5.2,extraction,3,"{""PER"":[""Jonny Lee Miller""],""ORG"":[],""LOC"":[],""MISC"":[""Eli Stone""]}","{""PER"": [""Jonny Lee Miller""], ""ORG"": [""Eli Stone""], ""LOC"": [], ""MISC"": []}",True,844.958,194,37,0.0030499999999999998,2026-01-18T13:49:53.875532
gpt-5.2_baseline_extraction,gpt-5.2,extraction,4,"{""PER"":[],""ORG"":[],""LOC"":[""United States""],""MISC"":[""Admission to the bar""]}","{""PER"": [], ""ORG"": [""Admission to the bar in the United States""], ""LOC"": [], ""MISC"": []}",False,628.155,195,36,0.0030299999999999997,2026-01-18T13:49:54.503720
gpt-5.2_baseline_extraction,gpt-5.2,extraction,5,"{""PER"":[""Willy Unger""],""ORG"":[],""LOC"":[],""MISC"":[""11""]}","{""PER"": [""Willy Unger""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,801.265,194,35,0.0029899999999999996,2026-01-18T13:49:55.305019
gpt-5.2_baseline_extraction,gpt-5.2,extraction,6,"{""PER"":[],""ORG"":[],""LOC"":[""Palermo""],""MISC"":[""Palermo Cathedral""]}[[ ## completed ## ]]","{""PER"": [], ""ORG"": [""Palermo Cathedral""], ""LOC"": [], ""MISC"": []}",False,1284.669,202,34,0.00304,2026-01-18T13:49:56.589719
gpt-5.2_baseline_extraction,gpt-5.2,extraction,7,"{""PER"":[],""ORG"":[],""LOC"":[],""MISC"":[""The O.C.""]}[[ ## completed ## ]]","{""PER"": [""List of The O.C. characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,759.107,194,32,0.0029,2026-01-18T13:49:57.348875
gpt-5.2_baseline_extraction,gpt-5.2,extraction,8,"{""PER"":[],""ORG"":[""Cardiff Royal Infirmary""],""LOC"":[""Roath"",""Cardiff""],""MISC"":[]}","{""PER"": [], ""ORG"": [""Cardiff Royal Infirmary""], ""LOC"": [""Roath , Cardiff""], ""MISC"": []}",False,837.244,198,40,0.00318,2026-01-18T13:49:58.186134
gpt-5.2_baseline_extraction,gpt-5.2,extraction,9,"{""PER"":[""Roger Houdet""],""ORG"":[],""LOC"":[],""MISC"":[""9 June 1958 – 27 May 1959""]}","{""PER"": [""Roger Houdet""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,701.192,203,43,0.00332,2026-01-18T13:49:58.887349
