experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
mistral:latest_local_baseline_analysis,mistral:latest,analysis,0,No,No,True,3.9560000000000004,2026-01-22T21:49:07.073697
mistral:latest_local_baseline_analysis,mistral:latest,analysis,1,Yes,Yes,True,1.546,2026-01-22T21:49:07.075250
mistral:latest_local_baseline_analysis,mistral:latest,analysis,2,Yes,Yes,True,5.01,2026-01-22T21:49:07.080266
mistral:latest_local_baseline_analysis,mistral:latest,analysis,3,Yes,Yes,True,3.576,2026-01-22T21:49:07.083848
mistral:latest_local_baseline_analysis,mistral:latest,analysis,4,Yes,Yes,True,5.572,2026-01-22T21:49:07.089429
mistral:latest_local_baseline_analysis,mistral:latest,analysis,5,No,No,True,10925.925,2026-01-22T21:49:18.015363
mistral:latest_local_baseline_analysis,mistral:latest,analysis,6,No,Yes,False,4175.933,2026-01-22T21:49:22.191326
mistral:latest_local_baseline_analysis,mistral:latest,analysis,7,No,Yes,False,5271.421,2026-01-22T21:49:27.462787
mistral:latest_local_baseline_analysis,mistral:latest,analysis,8,No (without additional information),Yes,False,4536.253000000001,2026-01-22T21:49:31.999070
mistral:latest_local_baseline_analysis,mistral:latest,analysis,9,Yes,Yes,True,3025.531,2026-01-22T21:49:35.024616
mistral:latest_local_baseline_analysis,mistral:latest,analysis,10,Yes,Yes,True,3662.705,2026-01-22T21:49:38.687345
mistral:latest_local_baseline_analysis,mistral:latest,analysis,11,No,No,True,4594.688999999999,2026-01-22T21:49:43.282043
mistral:latest_local_baseline_analysis,mistral:latest,analysis,12,No,Yes,False,4770.797,2026-01-22T21:49:48.052847
mistral:latest_local_baseline_analysis,mistral:latest,analysis,13,Yes,Yes,True,4740.992,2026-01-22T21:49:52.793859
mistral:latest_local_baseline_analysis,mistral:latest,analysis,14,Yes,Yes,True,3439.1639999999998,2026-01-22T21:49:56.233046
mistral:latest_local_baseline_analysis,mistral:latest,analysis,15,No,Yes,False,4799.9580000000005,2026-01-22T21:50:01.033014
mistral:latest_local_baseline_analysis,mistral:latest,analysis,16,No,Yes,False,5145.443,2026-01-22T21:50:06.178475
mistral:latest_local_baseline_analysis,mistral:latest,analysis,17,Yes,Yes,True,3055.8709999999996,2026-01-22T21:50:09.234362
mistral:latest_local_baseline_analysis,mistral:latest,analysis,18,No,Yes,False,4901.064,2026-01-22T21:50:14.135440
mistral:latest_local_baseline_analysis,mistral:latest,analysis,19,Yes,Yes,True,3557.059,2026-01-22T21:50:17.692515
mistral:latest_local_baseline_analysis,mistral:latest,analysis,20,No,No,True,4470.866,2026-01-22T21:50:22.163396
mistral:latest_local_baseline_analysis,mistral:latest,analysis,21,Yes,Yes,True,5348.833,2026-01-22T21:50:27.512255
mistral:latest_local_baseline_analysis,mistral:latest,analysis,22,Yes,Yes,True,3717.166,2026-01-22T21:50:31.229437
mistral:latest_local_baseline_analysis,mistral:latest,analysis,23,Yes,Yes,True,4297.618,2026-01-22T21:50:35.527075
mistral:latest_local_baseline_analysis,mistral:latest,analysis,24,No,Yes,False,4328.088,2026-01-22T21:50:39.855193
mistral:latest_local_baseline_analysis,mistral:latest,analysis,25,Yes,Yes,True,3649.422,2026-01-22T21:50:43.504638
mistral:latest_local_baseline_analysis,mistral:latest,analysis,26,Yes,Yes,True,4860.887,2026-01-22T21:50:48.365550
mistral:latest_local_baseline_analysis,mistral:latest,analysis,27,"No, you do not need to break in a car.",No,False,6120.766,2026-01-22T21:50:54.486341
mistral:latest_local_baseline_analysis,mistral:latest,analysis,28,Yes,Yes,True,3396.742,2026-01-22T21:50:57.883097
mistral:latest_local_baseline_analysis,mistral:latest,analysis,29,Yes,Yes,True,3498.738,2026-01-22T21:51:01.381855
mistral:latest_local_baseline_analysis,mistral:latest,analysis,30,Yes,Yes,True,2805.014,2026-01-22T21:51:04.186883
mistral:latest_local_baseline_analysis,mistral:latest,analysis,31,Yes (with some caveats),Yes,False,4564.541,2026-01-22T21:51:08.751443
mistral:latest_local_baseline_analysis,mistral:latest,analysis,32,No,No,True,4294.631,2026-01-22T21:51:13.046082
mistral:latest_local_baseline_analysis,mistral:latest,analysis,33,Yes,Yes,True,5193.021,2026-01-22T21:51:18.239124
mistral:latest_local_baseline_analysis,mistral:latest,analysis,34,Yes,Yes,True,4157.6089999999995,2026-01-22T21:51:22.396750
mistral:latest_local_baseline_analysis,mistral:latest,analysis,35,No,Yes,False,6501.259,2026-01-22T21:51:28.898025
mistral:latest_local_baseline_analysis,mistral:latest,analysis,36,No,No,True,4097.151,2026-01-22T21:51:32.995188
mistral:latest_local_baseline_analysis,mistral:latest,analysis,37,Yes,Yes,True,5176.049,2026-01-22T21:51:38.171251
mistral:latest_local_baseline_analysis,mistral:latest,analysis,38,No,No,True,4198.651,2026-01-22T21:51:42.369929
mistral:latest_local_baseline_analysis,mistral:latest,analysis,39,No,No,True,3847.4590000000003,2026-01-22T21:51:46.217407
mistral:latest_local_baseline_analysis,mistral:latest,analysis,40,Yes,Yes,True,3809.716,2026-01-22T21:51:50.027137
mistral:latest_local_baseline_analysis,mistral:latest,analysis,41,No,No,True,3733.52,2026-01-22T21:51:53.760694
mistral:latest_local_baseline_analysis,mistral:latest,analysis,42,"Yes, U.S. Highway 20 (US 20) is a coast-to-coast route.",Yes,False,5715.408,2026-01-22T21:51:59.476112
mistral:latest_local_baseline_analysis,mistral:latest,analysis,43,No,No,True,3344.777,2026-01-22T21:52:02.820925
mistral:latest_local_baseline_analysis,mistral:latest,analysis,44,Yes,Yes,True,2899.9410000000003,2026-01-22T21:52:05.720873
mistral:latest_local_baseline_analysis,mistral:latest,analysis,45,Yes,Yes,True,3008.516,2026-01-22T21:52:08.729404
mistral:latest_local_baseline_analysis,mistral:latest,analysis,46,Yes,Yes,True,3101.104,2026-01-22T21:52:11.830527
mistral:latest_local_baseline_analysis,mistral:latest,analysis,47,Yes,Yes,True,5891.103,2026-01-22T21:52:17.721660
mistral:latest_local_baseline_analysis,mistral:latest,analysis,48,Yes,Yes,True,3609.2360000000003,2026-01-22T21:52:21.330924
mistral:latest_local_baseline_analysis,mistral:latest,analysis,49,Yes,Yes,True,4489.334000000001,2026-01-22T21:52:25.820276
mistral:latest_local_baseline_analysis,mistral:latest,analysis,50,No (based on the provided passage),Yes,False,12864.881000000001,2026-01-22T21:52:38.685179
mistral:latest_local_baseline_analysis,mistral:latest,analysis,51,Yes,Yes,True,3820.68,2026-01-22T21:52:42.505992
mistral:latest_local_baseline_analysis,mistral:latest,analysis,52,No,No,True,4144.952,2026-01-22T21:52:46.650965
mistral:latest_local_baseline_analysis,mistral:latest,analysis,53,Yes,Yes,True,4363.756,2026-01-22T21:52:51.014735
mistral:latest_local_baseline_analysis,mistral:latest,analysis,54,No,No,True,3352.484,2026-01-22T21:52:54.367229
mistral:latest_local_baseline_analysis,mistral:latest,analysis,55,No,No,True,8613.144999999999,2026-01-22T21:53:02.980392
mistral:latest_local_baseline_analysis,mistral:latest,analysis,56,Yes,Yes,True,3335.165,2026-01-22T21:53:06.315573
mistral:latest_local_baseline_analysis,mistral:latest,analysis,57,Yes,Yes,True,4130.477,2026-01-22T21:53:10.446070
mistral:latest_local_baseline_analysis,mistral:latest,analysis,58,Yes,No,False,2600.975,2026-01-22T21:53:13.047067
mistral:latest_local_baseline_analysis,mistral:latest,analysis,59,Yes,Yes,True,2731.379,2026-01-22T21:53:15.778461
mistral:latest_local_baseline_analysis,mistral:latest,analysis,60,No,No,True,4488.581,2026-01-22T21:53:20.267051
mistral:latest_local_baseline_analysis,mistral:latest,analysis,61,Yes,No,False,4299.728,2026-01-22T21:53:24.566787
mistral:latest_local_baseline_analysis,mistral:latest,analysis,62,No,No,True,4727.48,2026-01-22T21:53:29.294278
mistral:latest_local_baseline_analysis,mistral:latest,analysis,63,Yes,Yes,True,3067.435,2026-01-22T21:53:32.361720
mistral:latest_local_baseline_analysis,mistral:latest,analysis,64,Yes,Yes,True,3666.137,2026-01-22T21:53:36.027868
mistral:latest_local_baseline_analysis,mistral:latest,analysis,65,Yes,Yes,True,5364.530000000001,2026-01-22T21:53:41.392436
mistral:latest_local_baseline_analysis,mistral:latest,analysis,66,No,Yes,False,3571.127,2026-01-22T21:53:44.963577
mistral:latest_local_baseline_analysis,mistral:latest,analysis,67,No,No,True,3538.9210000000003,2026-01-22T21:53:48.502520
mistral:latest_local_baseline_analysis,mistral:latest,analysis,68,No,No,True,5525.782,2026-01-22T21:53:54.028313
mistral:latest_local_baseline_analysis,mistral:latest,analysis,69,Yes,Yes,True,4761.941,2026-01-22T21:53:58.790263
mistral:latest_local_baseline_analysis,mistral:latest,analysis,70,Yes,Yes,True,2910.225,2026-01-22T21:54:01.700495
mistral:latest_local_baseline_analysis,mistral:latest,analysis,71,Yes,Yes,True,4286.639,2026-01-22T21:54:05.987162
mistral:latest_local_baseline_analysis,mistral:latest,analysis,72,No,No,True,4605.736,2026-01-22T21:54:10.592920
mistral:latest_local_baseline_analysis,mistral:latest,analysis,73,Yes,Yes,True,2583.738,2026-01-22T21:54:13.176680
mistral:latest_local_baseline_analysis,mistral:latest,analysis,74,Yes,Yes,True,2654.013,2026-01-22T21:54:15.830719
mistral:latest_local_baseline_analysis,mistral:latest,analysis,75,Yes,Yes,True,3125.181,2026-01-22T21:54:18.955927
mistral:latest_local_baseline_analysis,mistral:latest,analysis,76,No,No,True,5249.365,2026-01-22T21:54:24.205301
mistral:latest_local_baseline_analysis,mistral:latest,analysis,77,No,No,True,4261.745,2026-01-22T21:54:28.467070
mistral:latest_local_baseline_analysis,mistral:latest,analysis,78,Yes,Yes,True,4269.264,2026-01-22T21:54:32.736353
mistral:latest_local_baseline_analysis,mistral:latest,analysis,79,No,No,True,3532.241,2026-01-22T21:54:36.268609
mistral:latest_local_baseline_analysis,mistral:latest,analysis,80,No,No,True,4227.678,2026-01-22T21:54:40.496342
mistral:latest_local_baseline_analysis,mistral:latest,analysis,81,Yes,Yes,True,3379.916,2026-01-22T21:54:43.876276
mistral:latest_local_baseline_analysis,mistral:latest,analysis,82,No,No,True,3391.2369999999996,2026-01-22T21:54:47.267535
mistral:latest_local_baseline_analysis,mistral:latest,analysis,83,Yes,Yes,True,4443.874,2026-01-22T21:54:51.711419
mistral:latest_local_baseline_analysis,mistral:latest,analysis,84,No,No,True,6088.241,2026-01-22T21:54:57.799673
mistral:latest_local_baseline_analysis,mistral:latest,analysis,85,Yes,Yes,True,4729.313999999999,2026-01-22T21:55:02.529007
mistral:latest_local_baseline_analysis,mistral:latest,analysis,86,No,Yes,False,3441.889,2026-01-22T21:55:05.970987
mistral:latest_local_baseline_analysis,mistral:latest,analysis,87,Yes,Yes,True,5007.516,2026-01-22T21:55:10.978517
mistral:latest_local_baseline_analysis,mistral:latest,analysis,88,Yes,Yes,True,3957.107,2026-01-22T21:55:14.935634
mistral:latest_local_baseline_analysis,mistral:latest,analysis,89,Yes,Yes,True,2857.8329999999996,2026-01-22T21:55:17.793488
mistral:latest_local_baseline_analysis,mistral:latest,analysis,90,"No, a dessertspoon is bigger than a tablespoon in Britain and Australia.",Yes,False,4843.865,2026-01-22T21:55:22.637368
mistral:latest_local_baseline_analysis,mistral:latest,analysis,91,Yes,Yes,True,3382.3889999999997,2026-01-22T21:55:26.019767
mistral:latest_local_baseline_analysis,mistral:latest,analysis,92,Yes,Yes,True,2650.038,2026-01-22T21:55:28.669821
mistral:latest_local_baseline_analysis,mistral:latest,analysis,93,Yes,Yes,True,3702.314,2026-01-22T21:55:32.372150
mistral:latest_local_baseline_analysis,mistral:latest,analysis,94,Yes,Yes,True,3474.0440000000003,2026-01-22T21:55:35.846206
mistral:latest_local_baseline_analysis,mistral:latest,analysis,95,No,No,True,2977.827,2026-01-22T21:55:38.824042
mistral:latest_local_baseline_analysis,mistral:latest,analysis,96,Yes,Yes,True,3057.363,2026-01-22T21:55:41.881416
