experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-4o_baseline_extraction,gpt-4o,extraction,0,"{""PER"": [], ""ORG"": [], ""LOC"": [""India"", ""Adyar""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""India"", ""Adyar""], ""MISC"": []}",True,4.3759999999999994,211,34,0.0008675,2026-01-19T15:20:41.921485
gpt-4o_baseline_extraction,gpt-4o,extraction,1,"{
  ""PER"": [""Kanye West"", ""Jamie Foxx""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Gold Digger""]
}","{""PER"": [""Kanye West"", ""Jamie Foxx""], ""ORG"": [""Gold Digger""], ""LOC"": [], ""MISC"": []}",True,1.665,205,46,0.0009725,2026-01-19T15:20:41.923170
gpt-4o_baseline_extraction,gpt-4o,extraction,2,"{
    ""PER"": [],
    ""ORG"": [],
    ""LOC"": [],
    ""MISC"": [""Mycalesis perseus lalassis"", ""Hewitson""]
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Mycalesis perseus lalassis""], ""MISC"": []}",False,1.492,206,48,0.000995,2026-01-19T15:20:41.924673
gpt-4o_baseline_extraction,gpt-4o,extraction,3,"{""PER"": [""Jonny Lee Miller"", ""Eli Stone""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Jonny Lee Miller""], ""ORG"": [""Eli Stone""], ""LOC"": [], ""MISC"": []}",True,1.1260000000000001,195,38,0.0008675,2026-01-19T15:20:41.925808
gpt-4o_baseline_extraction,gpt-4o,extraction,4,"{""PER"": [], ""ORG"": [""United States""], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [""Admission to the bar in the United States""], ""LOC"": [], ""MISC"": []}",False,1.487,196,31,0.0007999999999999999,2026-01-19T15:20:41.927305
gpt-4o_baseline_extraction,gpt-4o,extraction,5,"{
  ""PER"": [""Willy Unger""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""Willy Unger""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,1.498,195,38,0.0008675,2026-01-19T15:20:41.928812
gpt-4o_baseline_extraction,gpt-4o,extraction,6,"{""PER"": [], ""ORG"": [], ""LOC"": [""Palermo Cathedral""], ""MISC"": []}","{""PER"": [], ""ORG"": [""Palermo Cathedral""], ""LOC"": [], ""MISC"": []}",False,0.912,203,32,0.0008275,2026-01-19T15:20:41.929732
gpt-4o_baseline_extraction,gpt-4o,extraction,7,"{""PER"": [""The O.C. characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""List of The O.C. characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,0.852,195,34,0.0008275,2026-01-19T15:20:41.930598
gpt-4o_baseline_extraction,gpt-4o,extraction,8,"{""PER"": [], ""ORG"": [""Cardiff Royal Infirmary""], ""LOC"": [""Roath"", ""Cardiff""], ""MISC"": []}","{""PER"": [], ""ORG"": [""Cardiff Royal Infirmary""], ""LOC"": [""Roath , Cardiff""], ""MISC"": []}",False,0.812,199,42,0.0009174999999999999,2026-01-19T15:20:41.931417
gpt-4o_baseline_extraction,gpt-4o,extraction,9,"{
  ""PER"": [""Roger Houdet""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""Roger Houdet""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,0.887,204,37,0.00088,2026-01-19T15:20:41.932312
gpt-4o_baseline_extraction,gpt-4o,extraction,10,"{
    ""PER"": [],
    ""ORG"": [],
    ""LOC"": [],
    ""MISC"": [""Oz"", ""TV series""]
}","{""PER"": [""List of Oz ( TV series ) characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,0.945,196,39,0.0008799999999999999,2026-01-19T15:20:41.933264
gpt-4o_baseline_extraction,gpt-4o,extraction,11,"{
  ""PER"": [""Jack"", ""Diane"", ""John Mellencamp""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Top 11""]
}","{""PER"": [""John Mellencamp""], ""ORG"": [""Jack and Diane""], ""LOC"": [], ""MISC"": []}",False,1.204,206,49,0.0010049999999999998,2026-01-19T15:20:41.934475
gpt-4o_baseline_extraction,gpt-4o,extraction,12,"{
    ""PER"": [],
    ""ORG"": [],
    ""LOC"": [""Antarctic"", ""sub-Antarctic islands""],
    ""MISC"": []
}","{""PER"": [], ""ORG"": [""List of Antarctic and sub-Antarctic islands""], ""LOC"": [], ""MISC"": []}",False,0.871,198,45,0.0009450000000000001,2026-01-19T15:20:41.935353
gpt-4o_baseline_extraction,gpt-4o,extraction,13,"{""PER"": [], ""ORG"": [""1st Foreign Legion Cavalry Regiment""], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [""1st Foreign Legion Cavalry Regiment""], ""LOC"": [], ""MISC"": []}",True,0.756,195,36,0.0008475,2026-01-19T15:20:41.936115
gpt-4o_baseline_extraction,gpt-4o,extraction,14,"{
  ""PER"": [""John Reid""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""John Reid""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,0.825,205,36,0.0008725,2026-01-19T15:20:41.936946
gpt-4o_baseline_extraction,gpt-4o,extraction,15,"{""PER"": [""Manuel \""Flaco\"" Ibáñez""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Manuel `` Flaco '' Ib\u00e1\u00f1ez""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,0.957,197,38,0.0008725,2026-01-19T15:20:41.937909
gpt-4o_baseline_extraction,gpt-4o,extraction,16,"{
    ""PER"": [],
    ""ORG"": [],
    ""LOC"": [],
    ""MISC"": [""Moments and Mine""]
}","{""PER"": [], ""ORG"": [""Moments and Mine""], ""LOC"": [], ""MISC"": []}",False,0.8450000000000001,201,38,0.0008825,2026-01-19T15:20:41.938762
gpt-4o_baseline_extraction,gpt-4o,extraction,17,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Akritas Chlorakas""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Akritas Chlorakas""], ""LOC"": [], ""MISC"": []}",False,0.808,199,39,0.0008875,2026-01-19T15:20:41.939576
gpt-4o_baseline_extraction,gpt-4o,extraction,18,"{""PER"": [], ""ORG"": [""Farmers' Almanac""], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [""Farmers ' Almanac""], ""LOC"": [], ""MISC"": []}",False,0.821,200,34,0.00084,2026-01-19T15:20:41.940404
gpt-4o_baseline_extraction,gpt-4o,extraction,19,"{""PER"": [], ""ORG"": [""Kuomintang""], ""LOC"": [""Tianjin""], ""MISC"": []}","{""PER"": [], ""ORG"": [""Kuomintang""], ""LOC"": [""Tianjin""], ""MISC"": []}",True,0.967,209,36,0.0008825,2026-01-19T15:20:41.941379
gpt-4o_baseline_extraction,gpt-4o,extraction,20,"{""PER"": [], ""ORG"": [], ""LOC"": [""Peru""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Peru""], ""MISC"": []}",True,0.794,193,31,0.0007925,2026-01-19T15:20:41.942180
gpt-4o_baseline_extraction,gpt-4o,extraction,21,"{
  ""PER"": [""Han Suyin""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""Han Suyin""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,0.9349999999999999,199,38,0.0008775,2026-01-19T15:20:41.943124
gpt-4o_baseline_extraction,gpt-4o,extraction,22,"{
  ""PER"": [""Bishop John J. Kinney""],
  ""ORG"": [],
  ""LOC"": [""Bismarck"", ""Saint Cloud""],
  ""MISC"": []
}","{""PER"": [""Bishop John J. Kinney""], ""ORG"": [], ""LOC"": [""Bishop of Bismarck"", ""Bishop of Saint Cloud""], ""MISC"": []}",False,0.772,227,49,0.0010574999999999998,2026-01-19T15:20:41.943902
