experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
gpt-4o_local_baseline_agentic,gpt-4o,agentic,0,No,No,True,5.731,2026-01-23T12:28:48.597881
gpt-4o_local_baseline_agentic,gpt-4o,agentic,1,No,No,True,4.279,2026-01-23T12:28:48.602177
gpt-4o_local_baseline_agentic,gpt-4o,agentic,2,No,No,True,1.933,2026-01-23T12:28:48.604120
gpt-4o_local_baseline_agentic,gpt-4o,agentic,3,No,No,True,1.646,2026-01-23T12:28:48.605772
gpt-4o_local_baseline_agentic,gpt-4o,agentic,4,No,No,True,1.583,2026-01-23T12:28:48.607361
gpt-4o_local_baseline_agentic,gpt-4o,agentic,5,No,Yes,False,4150.121,2026-01-23T12:28:52.757489
gpt-4o_local_baseline_agentic,gpt-4o,agentic,6,Yes,Yes,True,6082.563999999999,2026-01-23T12:28:58.840071
gpt-4o_local_baseline_agentic,gpt-4o,agentic,7,No,No,True,3502.0730000000003,2026-01-23T12:29:02.342164
gpt-4o_local_baseline_agentic,gpt-4o,agentic,8,Yes,No,False,3940.5,2026-01-23T12:29:06.282678
gpt-4o_local_baseline_agentic,gpt-4o,agentic,9,Yes,Yes,True,3211.773,2026-01-23T12:29:09.494461
gpt-4o_local_baseline_agentic,gpt-4o,agentic,10,No,Yes,False,4216.433,2026-01-23T12:29:13.710905
gpt-4o_local_baseline_agentic,gpt-4o,agentic,11,No,No,True,2117.797,2026-01-23T12:29:15.828715
gpt-4o_local_baseline_agentic,gpt-4o,agentic,12,No,No,True,3287.551,2026-01-23T12:29:19.116279
gpt-4o_local_baseline_agentic,gpt-4o,agentic,13,Uncertain,Yes,False,7587.547,2026-01-23T12:29:26.703836
gpt-4o_local_baseline_agentic,gpt-4o,agentic,14,No,No,True,3664.088,2026-01-23T12:29:30.367939
gpt-4o_local_baseline_agentic,gpt-4o,agentic,15,No,No,True,3459.775,2026-01-23T12:29:33.827728
gpt-4o_local_baseline_agentic,gpt-4o,agentic,16,Yes,Yes,True,3735.381,2026-01-23T12:29:37.563122
gpt-4o_local_baseline_agentic,gpt-4o,agentic,17,Yes,Yes,True,2851.474,2026-01-23T12:29:40.414613
gpt-4o_local_baseline_agentic,gpt-4o,agentic,18,No,No,True,3243.962,2026-01-23T12:29:43.658591
gpt-4o_local_baseline_agentic,gpt-4o,agentic,19,No,No,True,2194.753,2026-01-23T12:29:45.853360
gpt-4o_local_baseline_agentic,gpt-4o,agentic,20,No,No,True,4252.920999999999,2026-01-23T12:29:50.106294
gpt-4o_local_baseline_agentic,gpt-4o,agentic,21,No,No,True,2460.8660000000004,2026-01-23T12:29:52.567167
gpt-4o_local_baseline_agentic,gpt-4o,agentic,22,No,Yes,False,5681.0289999999995,2026-01-23T12:29:58.248206
gpt-4o_local_baseline_agentic,gpt-4o,agentic,23,Yes,Yes,True,3855.491,2026-01-23T12:30:02.103711
gpt-4o_local_baseline_agentic,gpt-4o,agentic,24,Yes,Yes,True,2467.226,2026-01-23T12:30:04.570945
gpt-4o_local_baseline_agentic,gpt-4o,agentic,25,Yes,Yes,True,2793.634,2026-01-23T12:30:07.364595
gpt-4o_local_baseline_agentic,gpt-4o,agentic,26,No,No,True,3969.155,2026-01-23T12:30:11.333772
gpt-4o_local_baseline_agentic,gpt-4o,agentic,27,No,No,True,2308.0820000000003,2026-01-23T12:30:13.641872
gpt-4o_local_baseline_agentic,gpt-4o,agentic,28,Yes,Yes,True,3399.2529999999997,2026-01-23T12:30:17.041144
gpt-4o_local_baseline_agentic,gpt-4o,agentic,29,Yes,Yes,True,2981.3740000000003,2026-01-23T12:30:20.022538
gpt-4o_local_baseline_agentic,gpt-4o,agentic,30,Yes,Yes,True,4264.24,2026-01-23T12:30:24.286789
gpt-4o_local_baseline_agentic,gpt-4o,agentic,31,Yes,Yes,True,4038.5609999999997,2026-01-23T12:30:28.325366
gpt-4o_local_baseline_agentic,gpt-4o,agentic,32,No,No,True,3667.552,2026-01-23T12:30:31.993004
gpt-4o_local_baseline_agentic,gpt-4o,agentic,33,Yes,Yes,True,2619.0220000000004,2026-01-23T12:30:34.612045
gpt-4o_local_baseline_agentic,gpt-4o,agentic,34,No,No,True,8067.612999999999,2026-01-23T12:30:42.679679
gpt-4o_local_baseline_agentic,gpt-4o,agentic,35,No,Yes,False,4517.381,2026-01-23T12:30:47.197082
gpt-4o_local_baseline_agentic,gpt-4o,agentic,36,No,No,True,4394.163,2026-01-23T12:30:51.591261
gpt-4o_local_baseline_agentic,gpt-4o,agentic,37,Yes,Yes,True,3121.1639999999998,2026-01-23T12:30:54.712435
gpt-4o_local_baseline_agentic,gpt-4o,agentic,38,Yes,Yes,True,3489.125,2026-01-23T12:30:58.201583
gpt-4o_local_baseline_agentic,gpt-4o,agentic,39,Yes,Yes,True,3687.612,2026-01-23T12:31:01.889208
gpt-4o_local_baseline_agentic,gpt-4o,agentic,40,No,No,True,3132.863,2026-01-23T12:31:05.022082
gpt-4o_local_baseline_agentic,gpt-4o,agentic,41,Yes,Yes,True,4449.817999999999,2026-01-23T12:31:09.471919
gpt-4o_local_baseline_agentic,gpt-4o,agentic,42,Yes,Yes,True,4459.969,2026-01-23T12:31:13.931902
gpt-4o_local_baseline_agentic,gpt-4o,agentic,43,No,Yes,False,3772.29,2026-01-23T12:31:17.704212
gpt-4o_local_baseline_agentic,gpt-4o,agentic,44,No,No,True,3568.179,2026-01-23T12:31:21.272410
gpt-4o_local_baseline_agentic,gpt-4o,agentic,45,No,No,True,2788.493,2026-01-23T12:31:24.060916
gpt-4o_local_baseline_agentic,gpt-4o,agentic,46,No,No,True,3338.724,2026-01-23T12:31:27.399659
gpt-4o_local_baseline_agentic,gpt-4o,agentic,47,No,No,True,2444.904,2026-01-23T12:31:29.844580
gpt-4o_local_baseline_agentic,gpt-4o,agentic,48,Yes,Yes,True,4199.329,2026-01-23T12:31:34.043926
gpt-4o_local_baseline_agentic,gpt-4o,agentic,49,No,No,True,3490.8540000000003,2026-01-23T12:31:37.534789
gpt-4o_local_baseline_agentic,gpt-4o,agentic,50,Yes,Yes,True,4351.14,2026-01-23T12:31:41.885942
gpt-4o_local_baseline_agentic,gpt-4o,agentic,51,No,No,True,2980.8650000000002,2026-01-23T12:31:44.866815
gpt-4o_local_baseline_agentic,gpt-4o,agentic,52,Yes,Yes,True,3006.466,2026-01-23T12:31:47.873288
gpt-4o_local_baseline_agentic,gpt-4o,agentic,53,No,No,True,2887.8599999999997,2026-01-23T12:31:50.761155
gpt-4o_local_baseline_agentic,gpt-4o,agentic,54,Yes,Yes,True,3117.096,2026-01-23T12:31:53.878263
gpt-4o_local_baseline_agentic,gpt-4o,agentic,55,Yes,Yes,True,2218.951,2026-01-23T12:31:56.097229
gpt-4o_local_baseline_agentic,gpt-4o,agentic,56,Yes,Yes,True,3995.714,2026-01-23T12:32:00.092957
gpt-4o_local_baseline_agentic,gpt-4o,agentic,57,No,Yes,False,2951.362,2026-01-23T12:32:03.044328
gpt-4o_local_baseline_agentic,gpt-4o,agentic,58,Yes,Yes,True,6991.027,2026-01-23T12:32:10.035363
gpt-4o_local_baseline_agentic,gpt-4o,agentic,59,Yes,Yes,True,3535.185,2026-01-23T12:32:13.570575
gpt-4o_local_baseline_agentic,gpt-4o,agentic,60,No,No,True,3539.355,2026-01-23T12:32:17.109942
gpt-4o_local_baseline_agentic,gpt-4o,agentic,61,Yes,Yes,True,3263.738,2026-01-23T12:32:20.373691
gpt-4o_local_baseline_agentic,gpt-4o,agentic,62,Yes,Yes,True,3397.531,2026-01-23T12:32:23.771235
gpt-4o_local_baseline_agentic,gpt-4o,agentic,63,No,No,True,3565.768,2026-01-23T12:32:27.337013
gpt-4o_local_baseline_agentic,gpt-4o,agentic,64,No,Yes,False,4562.349,2026-01-23T12:32:31.899371
gpt-4o_local_baseline_agentic,gpt-4o,agentic,65,Yes,Yes,True,3873.636,2026-01-23T12:32:35.773026
gpt-4o_local_baseline_agentic,gpt-4o,agentic,66,No,No,True,1925.158,2026-01-23T12:32:37.698205
gpt-4o_local_baseline_agentic,gpt-4o,agentic,67,No,No,True,2213.01,2026-01-23T12:32:39.911227
gpt-4o_local_baseline_agentic,gpt-4o,agentic,68,No,No,True,1738.631,2026-01-23T12:32:41.649877
gpt-4o_local_baseline_agentic,gpt-4o,agentic,69,Yes,Yes,True,1824.81,2026-01-23T12:32:43.474700
gpt-4o_local_baseline_agentic,gpt-4o,agentic,70,Yes,Yes,True,2730.98,2026-01-23T12:32:46.205693
gpt-4o_local_baseline_agentic,gpt-4o,agentic,71,No,No,True,3819.757,2026-01-23T12:32:50.025470
gpt-4o_local_baseline_agentic,gpt-4o,agentic,72,No,No,True,2291.886,2026-01-23T12:32:52.317378
gpt-4o_local_baseline_agentic,gpt-4o,agentic,73,Yes,Yes,True,2627.898,2026-01-23T12:32:54.945297
