experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_extraction,llama3.2,extraction,0,"{
  ""PER"": [
    ""India"",
    ""him""
  ],
  ""ORG"": [
    ""Adyar""
  ],
  ""LOC"": [
    ""India"",
    ""Adyar""
  ],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""India"", ""Adyar""], ""MISC"": []}",True,2266.7999999999997,2026-01-18T14:14:23.490437
llama3.2_local_baseline_extraction,llama3.2,extraction,1,"{
  ""PER"": [
    ""Kanye West"",
    ""Jamie Foxx""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""Gold Digger""
  ]
}","{""PER"": [""Kanye West"", ""Jamie Foxx""], ""ORG"": [""Gold Digger""], ""LOC"": [], ""MISC"": []}",True,1561.991,2026-01-18T14:14:25.052443
llama3.2_local_baseline_extraction,llama3.2,extraction,2,"{
  ""PER"": [
    ""Hewitson""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""Mycalesis perseus lalassis""
  ]
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Mycalesis perseus lalassis""], ""MISC"": []}",False,1557.7749999999999,2026-01-18T14:14:26.610245
llama3.2_local_baseline_extraction,llama3.2,extraction,3,"{
  ""PER"": [""Jonny Lee Miller""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Eli Stone""]
}","{""PER"": [""Jonny Lee Miller""], ""ORG"": [""Eli Stone""], ""LOC"": [], ""MISC"": []}",True,1233.91,2026-01-18T14:14:27.844163
llama3.2_local_baseline_extraction,llama3.2,extraction,4,"{
  ""PER"": [
    ""United States""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""bar"",
    ""admission""
  ]
}","{""PER"": [], ""ORG"": [""Admission to the bar in the United States""], ""LOC"": [], ""MISC"": []}",False,1442.019,2026-01-18T14:14:29.286190
llama3.2_local_baseline_extraction,llama3.2,extraction,5,"{
  ""PER"": [
    ""Willy Unger""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""Willy Unger""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,1233.754,2026-01-18T14:14:30.519956
llama3.2_local_baseline_extraction,llama3.2,extraction,6,"{
  ""PER"": [],
  ""ORG"": [""Palermo""],
  ""LOC"": [""Palermo"", ""Cathedral""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Palermo Cathedral""], ""LOC"": [], ""MISC"": []}",False,1280.588,2026-01-18T14:14:31.800554
llama3.2_local_baseline_extraction,llama3.2,extraction,7,"{
  ""PER"": [
    ""Ryan Atwood"",
    ""Marissa Cooper"",
    ""Seth Cohen"",
    ""Julie Cooper"",
    ""Steve Harrington""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""California"",
    ""Newport Beach""
  ],
  ""MISC"": []
}","{""PER"": [""List of The O.C. characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,2098.324,2026-01-18T14:14:33.898901
llama3.2_local_baseline_extraction,llama3.2,extraction,8,"{
  ""PER"": [],
  ""ORG"": [""Cardiff Royal Infirmary""],
  ""LOC"": [""Roath"", ""Cardiff""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Cardiff Royal Infirmary""], ""LOC"": [""Roath , Cardiff""], ""MISC"": []}",False,1350.958,2026-01-18T14:14:35.250228
llama3.2_local_baseline_extraction,llama3.2,extraction,9,"{
  ""PER"": [
    ""Roger Houdet""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""Roger Houdet""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,1400.1019999999999,2026-01-18T14:14:36.650660
llama3.2_local_baseline_extraction,llama3.2,extraction,10,"{
  ""PER"": [
    ""Dorothy Gale"",
    ""Scarecrow"",
    ""Tin Man"",
    ""Cowardly Lion""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""Emerald City"",
    ""Munchkinland""
  ],
  ""MISC"": [
    ""Oz""
  ]
}","{""PER"": [""List of Oz ( TV series ) characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,2276.855,2026-01-18T14:14:38.927623
