experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,0,card_linking,card_arrival,False,4.937,518,14,8.61e-05,2026-01-19T15:20:26.366675
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,1,card_delivery_estimate,card_arrival,False,2.645,527,15,8.805e-05,2026-01-19T15:20:26.369336
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,2,card_arrival,card_arrival,True,1.206,524,14,8.7e-05,2026-01-19T15:20:26.370554
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,3,card_delivery_estimate,card_arrival,False,0.8180000000000001,523,15,8.745e-05,2026-01-19T15:20:26.371382
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,4,card_arrival,card_arrival,True,1.6800000000000002,518,14,8.61e-05,2026-01-19T15:20:26.373075
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,5,card_delivery_estimate,card_arrival,False,1.585,518,15,8.67e-05,2026-01-19T15:20:26.374673
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,6,card_delivery_estimate,card_arrival,False,1.0959999999999999,528,15,8.82e-05,2026-01-19T15:20:26.375779
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,7,card_arrival,card_arrival,True,1.2329999999999999,518,14,8.61e-05,2026-01-19T15:20:26.377029
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,8,card_delivery_estimate,card_arrival,False,1.244,517,15,8.655e-05,2026-01-19T15:20:26.378282
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,9,card_delivery_estimate,card_arrival,False,1.517,526,15,8.79e-05,2026-01-19T15:20:26.379809
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,10,card_delivery_estimate,card_arrival,False,0.9079999999999999,518,15,8.67e-05,2026-01-19T15:20:26.380725
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,11,card_delivery_estimate,card_arrival,False,1.221,519,15,8.685000000000001e-05,2026-01-19T15:20:26.381953
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,12,card_delivery_estimate,card_arrival,False,1.111,528,15,8.82e-05,2026-01-19T15:20:26.383073
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,13,card_delivery_estimate,card_arrival,False,1.1789999999999998,518,15,8.67e-05,2026-01-19T15:20:26.384261
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,14,card_delivery_estimate,card_arrival,False,1.421,528,15,8.82e-05,2026-01-19T15:20:26.385690
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,15,card_delivery_estimate,card_arrival,False,1.269,533,15,8.895000000000001e-05,2026-01-19T15:20:26.386967
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,16,card_delivery_estimate,card_arrival,False,0.955,521,15,8.714999999999999e-05,2026-01-19T15:20:26.387930
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,17,card_delivery_estimate,card_arrival,False,0.856,518,15,8.67e-05,2026-01-19T15:20:26.388793
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,18,card_delivery_estimate,card_arrival,False,0.937,524,15,8.76e-05,2026-01-19T15:20:26.389737
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,19,card_arrival,card_arrival,True,0.949,525,14,8.714999999999999e-05,2026-01-19T15:20:26.390695
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,20,card_arrival,card_arrival,True,2.143,523,14,8.685e-05,2026-01-19T15:20:26.392849
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,21,card_delivery_estimate,card_arrival,False,1.211,518,15,8.67e-05,2026-01-19T15:20:26.394070
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,22,card_delivery_estimate,card_arrival,False,2.0500000000000003,521,15,8.714999999999999e-05,2026-01-19T15:20:26.396133
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,23,card_delivery_estimate,card_arrival,False,2.84,530,15,8.85e-05,2026-01-19T15:20:26.398986
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,24,card_arrival,card_arrival,True,1.667,522,14,8.669999999999999e-05,2026-01-19T15:20:26.400670
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,25,card_delivery_estimate,card_arrival,False,1.494,523,15,8.745e-05,2026-01-19T15:20:26.402185
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,26,card_delivery_estimate,card_arrival,False,1.531,527,15,8.805e-05,2026-01-19T15:20:26.403727
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,27,card_delivery_estimate,card_arrival,False,1.3840000000000001,528,15,8.82e-05,2026-01-19T15:20:26.405121
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,28,card_delivery_estimate,card_arrival,False,1.13,530,15,8.85e-05,2026-01-19T15:20:26.406263
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,29,card_delivery_estimate,card_arrival,False,1.446,520,15,8.699999999999999e-05,2026-01-19T15:20:26.407718
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,30,card_arrival,card_arrival,True,0.959,517,14,8.595e-05,2026-01-19T15:20:26.408690
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,31,card_delivery_estimate,card_arrival,False,1.3159999999999998,527,15,8.805e-05,2026-01-19T15:20:26.410015
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,32,card_delivery_estimate,card_arrival,False,1.674,521,15,8.714999999999999e-05,2026-01-19T15:20:26.411702
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,33,card_delivery_estimate,card_arrival,False,1.477,521,15,8.714999999999999e-05,2026-01-19T15:20:26.413199
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,34,card_delivery_estimate,card_arrival,False,1.722,524,15,8.76e-05,2026-01-19T15:20:26.414932
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,35,card_delivery_estimate,card_arrival,False,2.627,532,15,8.88e-05,2026-01-19T15:20:26.417569
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,36,card_arrival,card_arrival,True,2.381,529,14,8.774999999999999e-05,2026-01-19T15:20:26.419962
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,37,card_delivery_estimate,card_arrival,False,1.923,517,15,8.655e-05,2026-01-19T15:20:26.421896
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,38,card_delivery_estimate,card_arrival,False,2.214,522,15,8.73e-05,2026-01-19T15:20:26.424120
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,39,card_delivery_estimate,card_arrival,False,7.455,523,15,8.745e-05,2026-01-19T15:20:26.431727
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,40,card_not_working,card_linking,False,1.236,521,15,8.714999999999999e-05,2026-01-19T15:20:26.432993
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,41,getting_spare_card,card_linking,False,12.068999999999999,520,15,8.699999999999999e-05,2026-01-19T15:20:26.445074
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,42,card_linking,card_linking,True,2.312,519,14,8.625000000000001e-05,2026-01-19T15:20:26.447400
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,43,card_linking,card_linking,True,1.2149999999999999,527,14,8.745e-05,2026-01-19T15:20:26.448626
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,44,card_linking,card_linking,True,0.98,522,14,8.669999999999999e-05,2026-01-19T15:20:26.449615
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,45,card_arrival,card_linking,False,1.017,533,14,8.835e-05,2026-01-19T15:20:26.450639
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,46,card_linking,card_linking,True,2.215,522,14,8.669999999999999e-05,2026-01-19T15:20:26.452862
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,47,card_linking,card_linking,True,2.813,521,14,8.654999999999999e-05,2026-01-19T15:20:26.455687
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,48,card_linking,card_linking,True,1.324,527,14,8.745e-05,2026-01-19T15:20:26.457025
gpt-4o-mini_baseline_classification,gpt-4o-mini,classification,49,card_linking,card_linking,True,1.2329999999999999,525,14,8.714999999999999e-05,2026-01-19T15:20:26.458267
