experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_synthesis,llama3.2,synthesis,0,"The Welsh Government's investment in housing is being questioned by Prison Link Cymru, which claims that investing in housing would be cheaper than jailing homeless repeat offenders.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",0.4043321299638989,5.783,2026-01-18T14:29:21.681891
llama3.2_local_baseline_synthesis,llama3.2,synthesis,1,"A search operation in Edinburgh's Waterfront Park and Colonsay View areas yielded recovered firearms, ammunition, and a large sum of money, resulting in the arrest of a 26-year-old man.","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",0.4647887323943662,5.851,2026-01-18T14:29:21.687750
llama3.2_local_baseline_synthesis,llama3.2,synthesis,2,"The four suspects, all 18 or 24 years old, have been charged with hate crimes and aggravated kidnapping and battery after allegedly abusing an 18-year-old white victim with disabilities.","Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",0.4131736526946108,6.437,2026-01-18T14:29:21.694193
llama3.2_local_baseline_synthesis,llama3.2,synthesis,3,He is a former Arsenal goalkeeper who won two promotions to the Premier League with Reading Royals.,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",0.4390243902439024,5.953,2026-01-18T14:29:21.700152
llama3.2_local_baseline_synthesis,llama3.2,synthesis,4,A modified fasting-mimicking diet has been shown to reverse symptoms of diabetes in animal experiments by regenerating pancreatic beta cells.,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",0.4115226337448559,3.492,2026-01-18T14:29:21.703650
llama3.2_local_baseline_synthesis,llama3.2,synthesis,5,"The proposed merger between Essilor and Luxottica has raised concerns about reduced competition in the eyewear industry, potentially leading to higher prices and reduced quality products.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",0.4405797101449276,5.643,2026-01-18T14:29:21.709297
llama3.2_local_baseline_synthesis,llama3.2,synthesis,6,"Wendy Houvenaghel, a former Olympic silver medallist, has spoken out about the toxic culture at British Cycling, alleging that she was bullied, discriminated against due to her age, and had her well-being ignored in favor of winning medals.","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",0.428169014084507,5.327,2026-01-18T14:29:21.714629
llama3.2_local_baseline_synthesis,llama3.2,synthesis,7,"The US comedy club industry is experiencing growth, driven by increasing revenue, expansion of premises, and the rise of stand-up comedy as a career path, with successful comedians earning six-figure salaries from touring and television appearances.",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,0.3838383838383838,6.7,2026-01-18T14:29:21.721342
llama3.2_local_baseline_synthesis,llama3.2,synthesis,8,"BT will be separated into two entities: Openreach, which will have its own board and articles of association, and the rest of BT, which will still own Openreach but have a duty to serve customers as much as owners.","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",0.4282115869017632,6.768,2026-01-18T14:29:21.728114
llama3.2_local_baseline_synthesis,llama3.2,synthesis,9,"Celtic manager Brendan Rodgers is looking forward to his team's semi-final appearance against Rangers at Hampden Park, aiming to build on their recent 5-1 league victory and impose their style of play on the opposition.",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,0.4958217270194985,5.864,2026-01-18T14:29:21.733983
llama3.2_local_baseline_synthesis,llama3.2,synthesis,10,"Queen's University Belfast plans to reduce its undergraduate places by 1,010 over three years due to a £8m cut in subsidy from the Department of Employment and Learning.",Queen's University Belfast is cutting 236 jobs and 290 student places due to a funding reduction.,0.5037593984962406,3.998,2026-01-18T14:29:21.737986
llama3.2_local_baseline_synthesis,llama3.2,synthesis,11,An East Sussex NHS Trust mix-up led to the wrong patient information leaflet being sent with some appointment letters in March.,Hospital bosses in Sussex have apologised after about 850 patients were sent leaflets in error suggesting they might have cancer.,0.484375,3.625,2026-01-18T14:29:21.741616
llama3.2_local_baseline_synthesis,llama3.2,synthesis,12,"Labour will try to amend the draft Brexit legislation to secure a ""meaningful vote"" and guarantee the status of EU nationals in the UK.",The shadow foreign secretary has suggested Labour will continue to support legislation paving the way for Brexit as it passes through Parliament.,0.4428571428571429,4.048,2026-01-18T14:29:21.745668
llama3.2_local_baseline_synthesis,llama3.2,synthesis,13,"The Gulls sold midfielder O'Kane to Cherries with a 15% sell-on clause, which will help the financially struggling club.",Torquay United boss Kevin Nicholson says none of the money from Eunan O'Kane's move to Leeds from Bournemouth will go to the playing squad.,0.4015444015444016,3.6,2026-01-18T14:29:21.749273
llama3.2_local_baseline_synthesis,llama3.2,synthesis,14,"Iwan Wyn Lewis, 36, died by suicide after being visited by a police officer at a hospital ward in Gwynedd, Wales.",North Wales Police has been criticised at an inquest for sending an officer to speak to a hospital patient with paranoid schizophrenia.,0.5,3.72,2026-01-18T14:29:21.752998
llama3.2_local_baseline_synthesis,llama3.2,synthesis,15,Taylor-Fletcher has joined Sheffield Wednesday on a new one-year deal.,Leicester City striker Gary Taylor-Fletcher has joined Sheffield Wednesday on an initial month-long loan.,0.6857142857142857,2.555,2026-01-18T14:29:21.755558
llama3.2_local_baseline_synthesis,llama3.2,synthesis,16,"Many US scientists are worried that the incoming administration will curb access to climate and other research data, which they believe would be an enormous disservice to the citizens of the country and the world.","Limiting access to federal research would do an ""enormous disservice"" to the US and the world according to former Nasa chief scientist.",0.5,5.614,2026-01-18T14:29:21.761176
llama3.2_local_baseline_synthesis,llama3.2,synthesis,17,"The Specials' drummer, John ""Brad"" Bradbury, has passed away at the age of unknown, leaving behind a legacy as a key contributor to the Two Tone sound and a beloved figure in the world of drumming.","John ""Brad"" Bradbury, drummer with The Specials, has died at the age of 62.",0.4044117647058823,3.676,2026-01-18T14:29:21.764857
llama3.2_local_baseline_synthesis,llama3.2,synthesis,18,Tiger Woods missed the cut at the PGA Tour event at Torrey Pines in San Diego after a level-par second round.,"Tiger Woods missed the cut at the Farmers Insurance Open, as England's Justin Rose maintained a one-shot lead.",0.6118721461187215,3.247,2026-01-18T14:29:21.768108
llama3.2_local_baseline_synthesis,llama3.2,synthesis,19,Gary Neville is recovering from kidney failure contracted in 2015 and hopes to play again if a similar match is staged in the future.,"Former England striker Andy Cole says he faces a ""long road ahead"" as he recovers from his recent kidney transplant.",0.3935742971887551,3.686,2026-01-18T14:29:21.771799
llama3.2_local_baseline_synthesis,llama3.2,synthesis,20,"YouTube's local version in Pakistan has been launched, allowing users to access the site without government filtering.","Pakistan has unblocked the video sharing site, YouTube, more than three years after it was banned for posting a video deemed insulting to Islam.",0.4427480916030534,3.0460000000000003,2026-01-18T14:29:21.774848
llama3.2_local_baseline_synthesis,llama3.2,synthesis,21,"The player's injury, which has plagued him since 2012, is expected to keep him out for several weeks.","Leicester Tigers winger Miles Benjamin is likely to be out for the rest of the season because of a knee injury, reports BBC Radio Leicester.",0.4066390041493776,4.135,2026-01-18T14:29:21.778987
llama3.2_local_baseline_synthesis,llama3.2,synthesis,22,"Geraint Doull won the team pursuit gold medal at the Olympics with Great Britain, helping them set a new world record time.",Owain Doull has won Wales' first gold of the 2016 Olympics as  he helped the Great Britain men's team pursuit defend their cycling title in Rio.,0.5692883895131086,3.943000000000001,2026-01-18T14:29:21.782934
llama3.2_local_baseline_synthesis,llama3.2,synthesis,23,"Floods in India's Assam state have resulted in a significant increase in deaths and displacement, affecting over 450,000 people.","Floods in the western Indian state of Gujarat have killed 218 people, government officials have confirmed.",0.4700854700854701,3.286,2026-01-18T14:29:21.786223
llama3.2_local_baseline_synthesis,llama3.2,synthesis,24,"Bridget and Jonathan Reid, two snowsports enthusiasts, got married at Nevis Range in Scotland, exchanging vows on skis amidst perfect winter conditions.",All images copyrighted.,0.2057142857142856,1.917,2026-01-18T14:29:21.788144
llama3.2_local_baseline_synthesis,llama3.2,synthesis,25,"RBS has been fined £60m by US regulators for violating sanctions against Iran, Sudan, Burma, and Cuba, following an investigation into payments made to US financial institutions from countries such as Iran and Cuba.","Royal Bank of Scotland (RBS) has been fined HK$6m (£460,000) by Hong Kong regulators after it failed to detect a series of unauthorised transactions by one of its traders.",0.4507772020725388,6.606,2026-01-18T14:29:21.794753
llama3.2_local_baseline_synthesis,llama3.2,synthesis,26,"Emma Stone and other Bafta winners discussed their experiences, praised fellow actors, and shared their thoughts on the industry and current events.","The Bafta awards had laughter, passion and plenty of politics.",0.4,2.608,2026-01-18T14:29:21.797365
