experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,0,None,No,False,84221.333,2026-02-08T15:39:06.188819
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,1,No,No,True,64999.382,2026-02-08T15:40:11.188228
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,2,No,No,True,44180.075000000004,2026-02-08T15:40:55.368372
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,3,None,No,False,92202.341,2026-02-08T15:42:27.570776
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,4,No,No,True,51746.909999999996,2026-02-08T15:43:19.317717
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,5,No,Yes,False,60513.521,2026-02-08T15:44:19.831314
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,6,No,Yes,False,82180.779,2026-02-08T15:45:42.012179
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,7,No,No,True,65542.89199999999,2026-02-08T15:46:47.555134
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,8,None,No,False,88108.212,2026-02-08T15:48:15.663396
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,9,Yes,Yes,True,87885.835,2026-02-08T15:49:43.549258
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,10,None,Yes,False,84781.088,2026-02-08T15:51:08.330406
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,11,No,No,True,35210.594,2026-02-08T15:51:43.541032
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,12,No,No,True,38499.197,2026-02-08T15:52:22.040289
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,13,No,Yes,False,178120.632,2026-02-08T15:55:20.161022
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,14,None,No,False,91170.25099999999,2026-02-08T15:56:51.331346
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,15,No,No,True,69134.077,2026-02-08T15:58:00.465449
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,16,None,Yes,False,85087.95999999999,2026-02-08T15:59:25.553467
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,17,None,Yes,False,85861.81000000001,2026-02-08T16:00:51.415312
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,18,No,No,True,17095.067,2026-02-08T16:01:08.510405
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,19,No,No,True,14518.31,2026-02-08T16:01:23.028758
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,20,No,No,True,17174.332,2026-02-08T16:01:40.203126
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,21,None,No,False,24965.695,2026-02-08T16:02:05.168851
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,22,None,Yes,False,28059.833000000002,2026-02-08T16:02:33.228707
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,23,None,Yes,False,24858.551,2026-02-08T16:02:58.087272
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,24,Yes,Yes,True,54446.984000000004,2026-02-08T16:03:52.534263
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,25,Yes,Yes,True,13234.875,2026-02-08T16:04:05.769158
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,26,No,No,True,10759.544,2026-02-08T16:04:16.528722
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,27,No,No,True,10368.721000000001,2026-02-08T16:04:26.897466
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,28,None,Yes,False,49686.298,2026-02-08T16:05:16.583802
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,29,None,Yes,False,24958.113999999998,2026-02-08T16:05:41.541928
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,30,Yes,Yes,True,20014.911,2026-02-08T16:06:01.556859
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,31,None,Yes,False,24766.101,2026-02-08T16:06:26.322993
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,32,None,No,False,24997.883,2026-02-08T16:06:51.320884
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,33,None,Yes,False,24889.026,2026-02-08T16:07:16.209918
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,34,No,No,True,8085.865,2026-02-08T16:07:24.295790
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,35,No,Yes,False,10313.401,2026-02-08T16:07:34.609209
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,36,No,No,True,18147.606,2026-02-08T16:07:52.756846
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,37,None,Yes,False,24814.518,2026-02-08T16:08:17.571395
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,38,Yes,Yes,True,13864.19,2026-02-08T16:08:31.435617
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,39,None,Yes,False,24725.787,2026-02-08T16:08:56.161421
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,40,None,No,False,24740.962,2026-02-08T16:09:20.902392
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,41,No,Yes,False,24451.328,2026-02-08T16:09:45.353728
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,42,None,Yes,False,24790.134,2026-02-08T16:10:10.143886
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,43,None,Yes,False,49835.965000000004,2026-02-08T16:10:59.979857
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,44,No,No,True,23379.376,2026-02-08T16:11:23.359239
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,45,No,No,True,18843.807,2026-02-08T16:11:42.203064
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,46,None,No,False,24697.689000000002,2026-02-08T16:12:06.900769
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,47,No,No,True,10730.563999999998,2026-02-08T16:12:17.631340
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,48,Yes,Yes,True,18254.515000000003,2026-02-08T16:12:35.885874
qwen3:4b_local_baseline_agentic,qwen3:4b,agentic,49,None,No,False,27166.926,2026-02-08T16:13:03.052875
