experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
deepseek-r1:7b_local_baseline_extraction,deepseek-r1:7b,extraction,0,"{
  ""PER"": [],
  ""ORG"": [""JAPAN"", ""CHINA""],
  ""LOC"": [],
  ""MISC"": [""SOCCER"", ""WIN"", ""DEFEAT""]
}","{""PER"": [""CHINA""], ""ORG"": [], ""LOC"": [""JAPAN""], ""MISC"": []}",False,9978.427,2026-02-08T17:31:51.988605
deepseek-r1:7b_local_baseline_extraction,deepseek-r1:7b,extraction,1,"{
  ""PER"": [],
  ""ORG"": [""United Arab Emirates""],
  ""LOC"": [""AL-AIN""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""AL-AIN"", ""United Arab Emirates""], ""MISC"": []}",True,9887.319,2026-02-08T17:32:01.875953
deepseek-r1:7b_local_baseline_extraction,deepseek-r1:7b,extraction,2,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": [""Asian Cup title""]
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": [""Asian Cup""]}",True,11876.062,2026-02-08T17:32:13.752061
deepseek-r1:7b_local_baseline_extraction,deepseek-r1:7b,extraction,3,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbekistan""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""China"", ""Uzbekistan""], ""MISC"": []}",True,15285.51,2026-02-08T17:32:29.037606
deepseek-r1:7b_local_baseline_extraction,deepseek-r1:7b,extraction,4,"{
  ""PER"": [""Igor Shkvyrin""],
  ""ORG"": [""China"", ""Uzbekistan""],
  ""LOC"": [""China"", ""Uzbekistan""],
  ""MISC"": []
}","{""PER"": [""Igor Shkvyrin""], ""ORG"": [], ""LOC"": [""China""], ""MISC"": [""Uzbek"", ""Chinese""]}",False,16897.817,2026-02-08T17:32:45.935454
deepseek-r1:7b_local_baseline_extraction,deepseek-r1:7b,extraction,5,"{
  ""PER"": [""Oleg Shatskiku""],
  ""ORG"": [],
  ""LOC"": [""just outside the area""],
  ""MISC"": []
}","{""PER"": [""Oleg Shatskiku""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,10708.932,2026-02-08T17:32:56.644404
deepseek-r1:7b_local_baseline_extraction,deepseek-r1:7b,extraction,6,"{
  ""PER"": [],
  ""ORG"": [""Soviet republic""],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""Soviet"", ""Asian Cup""]}",False,14469.747,2026-02-08T17:33:11.114175
deepseek-r1:7b_local_baseline_extraction,deepseek-r1:7b,extraction,7,"{
  ""PER"": [""Uzbekistani people""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Uzbekistan""], ""MISC"": [""Asian Games""]}",False,9709.893,2026-02-08T17:33:20.824132
deepseek-r1:7b_local_baseline_extraction,deepseek-r1:7b,extraction,8,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": []}",True,9867.727,2026-02-08T17:33:30.691921
deepseek-r1:7b_local_baseline_extraction,deepseek-r1:7b,extraction,9,"{
  ""PER"": [""Takuya Takagi"", ""Hiroshige Yanagimoto""],
  ""ORG"": [],
  ""LOC"": [""Syrian goal""],
  ""MISC"": [""88th minute""]
}","{""PER"": [""Takuya Takagi"", ""Hiroshige Yanagimoto"", ""Salem Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": [""Syrian""]}",True,13268.053,2026-02-08T17:33:43.959994
deepseek-r1:7b_local_baseline_extraction,deepseek-r1:7b,extraction,10,"{
  ""PER"": [],
  ""ORG"": [""Syria""],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}",False,8275.196,2026-02-08T17:33:52.235226
deepseek-r1:7b_local_baseline_extraction,deepseek-r1:7b,extraction,11,"{
  ""PER"": [""Hassan Abbas""],
  ""ORG"": [""Bitar""],
  ""LOC"": [],
  ""MISC"": [""84th minute""]
}","{""PER"": [""Hassan Abbas"", ""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,10909.963,2026-02-08T17:34:03.145213
