experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_synthesis,llama3.2,synthesis,0,"The Welsh Government's investment in housing is being questioned by Prison Link Cymru, which claims that investing in housing would be cheaper than jailing homeless repeat offenders.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",0.4043321299638989,4985.648,2026-01-18T14:25:45.181738
llama3.2_local_baseline_synthesis,llama3.2,synthesis,1,"A search operation in Edinburgh's Waterfront Park and Colonsay View areas yielded recovered firearms, ammunition, and a large sum of money, resulting in the arrest of a 26-year-old man.","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",0.4647887323943662,2713.076,2026-01-18T14:25:47.894827
llama3.2_local_baseline_synthesis,llama3.2,synthesis,2,"The four suspects, all 18 or 24 years old, have been charged with hate crimes and aggravated kidnapping and battery after allegedly abusing an 18-year-old white victim with disabilities.","Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",0.4131736526946108,3050.089,2026-01-18T14:25:50.944928
llama3.2_local_baseline_synthesis,llama3.2,synthesis,3,He is a former Arsenal goalkeeper who won two promotions to the Premier League with Reading Royals.,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",0.4390243902439024,1957.783,2026-01-18T14:25:52.902732
llama3.2_local_baseline_synthesis,llama3.2,synthesis,4,A modified fasting-mimicking diet has been shown to reverse symptoms of diabetes in animal experiments by regenerating pancreatic beta cells.,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",0.4115226337448559,3547.599,2026-01-18T14:25:56.450350
llama3.2_local_baseline_synthesis,llama3.2,synthesis,5,"The proposed merger between Essilor and Luxottica has raised concerns about reduced competition in the eyewear industry, potentially leading to higher prices and reduced quality products.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",0.4405797101449276,5122.593,2026-01-18T14:26:01.572970
llama3.2_local_baseline_synthesis,llama3.2,synthesis,6,"Wendy Houvenaghel, a former Olympic silver medallist, has spoken out about the toxic culture at British Cycling, alleging that she was bullied, discriminated against due to her age, and had her well-being ignored in favor of winning medals.","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",0.428169014084507,5297.49,2026-01-18T14:26:06.870532
llama3.2_local_baseline_synthesis,llama3.2,synthesis,7,"The US comedy club industry is experiencing growth, driven by increasing revenue, expansion of premises, and the rise of stand-up comedy as a career path, with successful comedians earning six-figure salaries from touring and television appearances.",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,0.3838383838383838,5757.724999999999,2026-01-18T14:26:12.628321
llama3.2_local_baseline_synthesis,llama3.2,synthesis,8,"BT will be separated into two entities: Openreach, which will have its own board and articles of association, and the rest of BT, which will still own Openreach but have a duty to serve customers as much as owners.","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",0.4282115869017632,3613.741,2026-01-18T14:26:16.242086
llama3.2_local_baseline_synthesis,llama3.2,synthesis,9,"Celtic manager Brendan Rodgers is looking forward to his team's semi-final appearance against Rangers at Hampden Park, aiming to build on their recent 5-1 league victory and impose their style of play on the opposition.",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,0.4958217270194985,3581.641,2026-01-18T14:26:19.823756
