experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_classification,llama3.2,classification,0,locate_card,card_arrival,False,3.472,2026-01-20T23:34:53.153043
llama3.2_local_baseline_classification,llama3.2,classification,1,get_physical_card,card_arrival,False,0.823,2026-01-20T23:34:53.153873
llama3.2_local_baseline_classification,llama3.2,classification,2,getting_spare_card,card_arrival,False,2.412,2026-01-20T23:34:53.156290
llama3.2_local_baseline_classification,llama3.2,classification,3,card_arrival,card_arrival,True,4.372,2026-01-20T23:34:53.160669
llama3.2_local_baseline_classification,llama3.2,classification,4,getting_spare_card,card_arrival,False,2.419,2026-01-20T23:34:53.163094
llama3.2_local_baseline_classification,llama3.2,classification,5,card_arrival,card_arrival,True,2324.216,2026-01-20T23:34:55.487316
llama3.2_local_baseline_classification,llama3.2,classification,6,order_physical_card,card_arrival,False,1168.535,2026-01-20T23:34:56.655888
llama3.2_local_baseline_classification,llama3.2,classification,7,actual_feature_request,card_arrival,False,1038.088,2026-01-20T23:34:57.694017
llama3.2_local_baseline_classification,llama3.2,classification,8,card_payment_not_recognised,card_arrival,False,1099.925,2026-01-20T23:34:58.793952
llama3.2_local_baseline_classification,llama3.2,classification,9,exchange_via_app,card_arrival,False,1627.2359999999999,2026-01-20T23:35:00.421198
llama3.2_local_baseline_classification,llama3.2,classification,10,track_card,card_arrival,False,2055.56,2026-01-20T23:35:02.476774
llama3.2_local_baseline_classification,llama3.2,classification,11,card_arrival,card_arrival,True,1267.847,2026-01-20T23:35:03.744632
llama3.2_local_baseline_classification,llama3.2,classification,12,lost_or_stolen_card,card_arrival,False,1360.63,2026-01-20T23:35:05.105280
llama3.2_local_baseline_classification,llama3.2,classification,13,get_physical_card,card_arrival,False,1628.919,2026-01-20T23:35:06.734229
llama3.2_local_baseline_classification,llama3.2,classification,14,actual_feature_request,card_arrival,False,1261.4019999999998,2026-01-20T23:35:07.995664
llama3.2_local_baseline_classification,llama3.2,classification,15,actual_feature_request,card_arrival,False,1319.2489999999998,2026-01-20T23:35:09.314922
llama3.2_local_baseline_classification,llama3.2,classification,16,card_arrival,card_arrival,True,1077.783,2026-01-20T23:35:10.392719
llama3.2_local_baseline_classification,llama3.2,classification,17,card_arrival,card_arrival,True,1296.9409999999998,2026-01-20T23:35:11.689669
llama3.2_local_baseline_classification,llama3.2,classification,18,get_physical_card,card_arrival,False,1245.03,2026-01-20T23:35:12.934707
llama3.2_local_baseline_classification,llama3.2,classification,19,lost_or_stolen_card,card_arrival,False,1275.371,2026-01-20T23:35:14.210088
llama3.2_local_baseline_classification,llama3.2,classification,20,card_arrival,card_arrival,True,1209.155,2026-01-20T23:35:15.419262
llama3.2_local_baseline_classification,llama3.2,classification,21,card_about_to_expire,card_arrival,False,1391.435,2026-01-20T23:35:16.810726
llama3.2_local_baseline_classification,llama3.2,classification,22,get_physical_card,card_arrival,False,1059.7179999999998,2026-01-20T23:35:17.870461
llama3.2_local_baseline_classification,llama3.2,classification,23,order_physical_card,card_arrival,False,1612.097,2026-01-20T23:35:19.482583
llama3.2_local_baseline_classification,llama3.2,classification,24,card_arrival,card_arrival,True,1176.127,2026-01-20T23:35:20.658739
llama3.2_local_baseline_classification,llama3.2,classification,25,card_arrival,card_arrival,True,1145.021,2026-01-20T23:35:21.803772
llama3.2_local_baseline_classification,llama3.2,classification,26,card_arrival,card_arrival,True,1181.079,2026-01-20T23:35:22.984869
llama3.2_local_baseline_classification,llama3.2,classification,27,order_physical_card,card_arrival,False,1498.6950000000002,2026-01-20T23:35:24.483579
llama3.2_local_baseline_classification,llama3.2,classification,28,order_physical_card,card_arrival,False,1153.716,2026-01-20T23:35:25.637305
llama3.2_local_baseline_classification,llama3.2,classification,29,track_card,card_arrival,False,1091.07,2026-01-20T23:35:26.728394
llama3.2_local_baseline_classification,llama3.2,classification,30,getting_spare_card,card_arrival,False,1082.1499999999999,2026-01-20T23:35:27.810565
llama3.2_local_baseline_classification,llama3.2,classification,31,get_physical_card,card_arrival,False,1439.1119999999999,2026-01-20T23:35:29.249702
llama3.2_local_baseline_classification,llama3.2,classification,32,card_arrival,card_arrival,True,1485.947,2026-01-20T23:35:30.735679
llama3.2_local_baseline_classification,llama3.2,classification,33,getting_spare_card,card_arrival,False,932.9889999999999,2026-01-20T23:35:31.668697
llama3.2_local_baseline_classification,llama3.2,classification,34,card_arrival,card_arrival,True,1099.4550000000002,2026-01-20T23:35:32.768171
llama3.2_local_baseline_classification,llama3.2,classification,35,get_physical_card,card_arrival,False,1554.41,2026-01-20T23:35:34.322601
llama3.2_local_baseline_classification,llama3.2,classification,36,card_not_working,card_arrival,False,1529.681,2026-01-20T23:35:35.852298
llama3.2_local_baseline_classification,llama3.2,classification,37,actual_feature_request,card_arrival,False,1102.769,2026-01-20T23:35:36.955094
