experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-4o_baseline_analysis,gpt-4o,analysis,0,No,No,True,3.598,477,134,0.0025325,2026-01-19T15:20:13.216010
gpt-4o_baseline_analysis,gpt-4o,analysis,1,Yes,Yes,True,1.363,464,58,0.00174,2026-01-19T15:20:13.217384
gpt-4o_baseline_analysis,gpt-4o,analysis,2,Yes,Yes,True,1.251,274,89,0.001575,2026-01-19T15:20:13.218643
gpt-4o_baseline_analysis,gpt-4o,analysis,3,Yes,Yes,True,1.411,325,55,0.0013625,2026-01-19T15:20:13.220063
gpt-4o_baseline_analysis,gpt-4o,analysis,4,Yes,Yes,True,0.892,311,91,0.0016875000000000002,2026-01-19T15:20:13.220962
gpt-4o_baseline_analysis,gpt-4o,analysis,5,No,No,True,0.768,296,50,0.00124,2026-01-19T15:20:13.221737
gpt-4o_baseline_analysis,gpt-4o,analysis,6,No,Yes,False,1.2249999999999999,342,87,0.001725,2026-01-19T15:20:13.222969
gpt-4o_baseline_analysis,gpt-4o,analysis,7,Yes,Yes,True,0.9859999999999999,342,70,0.001555,2026-01-19T15:20:13.223968
gpt-4o_baseline_analysis,gpt-4o,analysis,8,No,Yes,False,0.9219999999999999,225,70,0.0012624999999999997,2026-01-19T15:20:13.224897
gpt-4o_baseline_analysis,gpt-4o,analysis,9,Yes,Yes,True,0.825,317,67,0.0014625,2026-01-19T15:20:13.225729
gpt-4o_baseline_analysis,gpt-4o,analysis,10,Yes,Yes,True,1.001,384,98,0.0019399999999999999,2026-01-19T15:20:13.226736
gpt-4o_baseline_analysis,gpt-4o,analysis,11,No,No,True,0.754,319,81,0.0016075,2026-01-19T15:20:13.227496
gpt-4o_baseline_analysis,gpt-4o,analysis,12,No,Yes,False,0.815,323,92,0.0017274999999999999,2026-01-19T15:20:13.228316
gpt-4o_baseline_analysis,gpt-4o,analysis,13,Yes,Yes,True,0.844,330,132,0.002145,2026-01-19T15:20:13.229167
