experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_rag,llama3.2,rag,0,Denver Broncos,Denver Broncos,True,4.037,2026-01-22T20:04:48.568882
llama3.2_local_baseline_rag,llama3.2,rag,1,Carolina Panthers,Carolina Panthers,True,2.601,2026-01-22T20:04:48.571491
llama3.2_local_baseline_rag,llama3.2,rag,2,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California","Santa Clara, California",True,1.421,2026-01-22T20:04:48.572917
llama3.2_local_baseline_rag,llama3.2,rag,3,Denver Broncos,Denver Broncos,True,4.9750000000000005,2026-01-22T20:04:48.577897
llama3.2_local_baseline_rag,llama3.2,rag,4,gold,gold,True,6.272,2026-01-22T20:04:48.584174
llama3.2_local_baseline_rag,llama3.2,rag,5,"The ""golden anniversary"" theme, emphasizing the 50th Super Bowl.","""golden anniversary""",True,2.1519999999999997,2026-01-22T20:04:48.586332
llama3.2_local_baseline_rag,llama3.2,rag,6,"February 7, 2016","February 7, 2016",True,1.895,2026-01-22T20:04:48.588232
llama3.2_local_baseline_rag,llama3.2,rag,7,American Football Conference,American Football Conference,True,1.9020000000000001,2026-01-22T20:04:48.590143
llama3.2_local_baseline_rag,llama3.2,rag,8,"The ""golden anniversary"" theme, emphasizing the 50th Super Bowl.","""golden anniversary""",True,0.662,2026-01-22T20:04:48.590809
llama3.2_local_baseline_rag,llama3.2,rag,9,American Football Conference,American Football Conference,True,1.895,2026-01-22T20:04:48.592708
llama3.2_local_baseline_rag,llama3.2,rag,10,"February 7, 2016","February 7, 2016",True,1.9009999999999998,2026-01-22T20:04:48.594613
llama3.2_local_baseline_rag,llama3.2,rag,11,Denver Broncos,Denver Broncos,True,2.02,2026-01-22T20:04:48.596637
llama3.2_local_baseline_rag,llama3.2,rag,12,"Levi's Stadium in Santa Clara, California",Levi's Stadium,True,1.898,2026-01-22T20:04:48.598541
llama3.2_local_baseline_rag,llama3.2,rag,13,"Santa Clara, California",Santa Clara,True,1.887,2026-01-22T20:04:48.600432
llama3.2_local_baseline_rag,llama3.2,rag,14,Super Bowl L,Super Bowl L,True,2.041,2026-01-22T20:04:48.602477
llama3.2_local_baseline_rag,llama3.2,rag,15,2015 season,2015,True,1.8699999999999999,2026-01-22T20:04:48.604350
llama3.2_local_baseline_rag,llama3.2,rag,16,2016,2015,False,1.853,2026-01-22T20:04:48.606208
llama3.2_local_baseline_rag,llama3.2,rag,17,"Santa Clara, California",Santa Clara,True,0.666,2026-01-22T20:04:48.606877
llama3.2_local_baseline_rag,llama3.2,rag,18,Levi's Stadium,Levi's Stadium,True,1.846,2026-01-22T20:04:48.608727
llama3.2_local_baseline_rag,llama3.2,rag,19,24–10,24–10,True,1.9009999999999998,2026-01-22T20:04:48.610632
llama3.2_local_baseline_rag,llama3.2,rag,20,"February 7, 2016","February 7, 2016",True,1.859,2026-01-22T20:04:48.612494
llama3.2_local_baseline_rag,llama3.2,rag,21,2016,2015,False,1.97,2026-01-22T20:04:48.614468
llama3.2_local_baseline_rag,llama3.2,rag,22,Denver Broncos,Denver Broncos,True,1.792,2026-01-22T20:04:48.616263
llama3.2_local_baseline_rag,llama3.2,rag,23,Carolina Panthers,Carolina Panthers,True,1.81,2026-01-22T20:04:48.618077
llama3.2_local_baseline_rag,llama3.2,rag,24,Denver Broncos,Denver Broncos,True,0.642,2026-01-22T20:04:48.618722
llama3.2_local_baseline_rag,llama3.2,rag,25,2015 season,2015,True,1.794,2026-01-22T20:04:48.620519
llama3.2_local_baseline_rag,llama3.2,rag,26,Denver Broncos,Denver Broncos,True,1.84,2026-01-22T20:04:48.622363
llama3.2_local_baseline_rag,llama3.2,rag,27,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California","Santa Clara, California.",False,1.842,2026-01-22T20:04:48.624208
llama3.2_local_baseline_rag,llama3.2,rag,28,Super Bowl,Super Bowl,True,1.875,2026-01-22T20:04:48.626087
llama3.2_local_baseline_rag,llama3.2,rag,29,Denver Broncos,Denver Broncos,True,1.846,2026-01-22T20:04:48.627937
llama3.2_local_baseline_rag,llama3.2,rag,30,Cam Newton,Cam Newton,True,1.997,2026-01-22T20:04:48.629938
llama3.2_local_baseline_rag,llama3.2,rag,31,eight,8,False,1.7619999999999998,2026-01-22T20:04:48.631703
llama3.2_local_baseline_rag,llama3.2,rag,32,1995,1995,True,1.896,2026-01-22T20:04:48.633604
llama3.2_local_baseline_rag,llama3.2,rag,33,the Arizona Cardinals,Arizona Cardinals,True,1.758,2026-01-22T20:04:48.635365
llama3.2_local_baseline_rag,llama3.2,rag,34,the New England Patriots,New England Patriots,True,1.866,2026-01-22T20:04:48.637234
llama3.2_local_baseline_rag,llama3.2,rag,35,the Arizona Cardinals,Arizona Cardinals,True,1.786,2026-01-22T20:04:48.639027
llama3.2_local_baseline_rag,llama3.2,rag,36,the New England Patriots,New England Patriots,True,1.7619999999999998,2026-01-22T20:04:48.640794
llama3.2_local_baseline_rag,llama3.2,rag,37,The New England Patriots,New England Patriots,True,1.9889999999999999,2026-01-22T20:04:48.642786
llama3.2_local_baseline_rag,llama3.2,rag,38,four,four,True,1.823,2026-01-22T20:04:48.644612
llama3.2_local_baseline_rag,llama3.2,rag,39,Cam Newton,Cam Newton,True,1.803,2026-01-22T20:04:48.646418
llama3.2_local_baseline_rag,llama3.2,rag,40,15–1,15–1,True,2.04,2026-01-22T20:04:48.648462
llama3.2_local_baseline_rag,llama3.2,rag,41,Cam Newton,Cam Newton,True,1.888,2026-01-22T20:04:48.650354
llama3.2_local_baseline_rag,llama3.2,rag,42,12–4,12–4,True,1.918,2026-01-22T20:04:48.652276
llama3.2_local_baseline_rag,llama3.2,rag,43,four,4,False,1.974,2026-01-22T20:04:48.654254
llama3.2_local_baseline_rag,llama3.2,rag,44,the New England Patriots,New England Patriots,True,1.859,2026-01-22T20:04:48.656118
llama3.2_local_baseline_rag,llama3.2,rag,45,Cam Newton,Cam Newton,True,1.803,2026-01-22T20:04:48.657924
llama3.2_local_baseline_rag,llama3.2,rag,46,the Arizona Cardinals,Arizona Cardinals,True,1.797,2026-01-22T20:04:48.659724
llama3.2_local_baseline_rag,llama3.2,rag,47,2,2,True,1.8159999999999998,2026-01-22T20:04:48.661544
llama3.2_local_baseline_rag,llama3.2,rag,48,the New England Patriots,New England Patriots,True,1.7550000000000001,2026-01-22T20:04:48.663303
llama3.2_local_baseline_rag,llama3.2,rag,49,Cam Newton,Cam Newton,True,1.895,2026-01-22T20:04:48.665201
llama3.2_local_baseline_rag,llama3.2,rag,50,New England Patriots,New England Patriots,True,1.771,2026-01-22T20:04:48.666976
llama3.2_local_baseline_rag,llama3.2,rag,51,the Arizona Cardinals,Arizona Cardinals,True,1.73,2026-01-22T20:04:48.668710
llama3.2_local_baseline_rag,llama3.2,rag,52,Cam Newton,Cam Newton,True,2.021,2026-01-22T20:04:48.670734
llama3.2_local_baseline_rag,llama3.2,rag,53,the Arizona Cardinals,Arizona Cardinals,True,1.8090000000000002,2026-01-22T20:04:48.672547
llama3.2_local_baseline_rag,llama3.2,rag,54,1995,1995.,True,1.7979999999999998,2026-01-22T20:04:48.674350
llama3.2_local_baseline_rag,llama3.2,rag,55,Von Miller,Von Miller,True,1.9629999999999999,2026-01-22T20:04:48.676317
llama3.2_local_baseline_rag,llama3.2,rag,56,two,2,False,1.821,2026-01-22T20:04:48.678142
llama3.2_local_baseline_rag,llama3.2,rag,57,The Broncos,Broncos,True,2.076,2026-01-22T20:04:48.680222
llama3.2_local_baseline_rag,llama3.2,rag,58,Von Miller,linebacker Von Miller,True,2.0010000000000003,2026-01-22T20:04:48.682226
llama3.2_local_baseline_rag,llama3.2,rag,59,5,five solo tackles,False,1.81,2026-01-22T20:04:48.684039
llama3.2_local_baseline_rag,llama3.2,rag,60,Cam Newton,Newton was limited by Denver's defense,False,1.7930000000000001,2026-01-22T20:04:48.685836
llama3.2_local_baseline_rag,llama3.2,rag,61,seven,seven,True,1.925,2026-01-22T20:04:48.687765
llama3.2_local_baseline_rag,llama3.2,rag,62,Von Miller,Von Miller,True,1.843,2026-01-22T20:04:48.689611
llama3.2_local_baseline_rag,llama3.2,rag,63,three,three,True,1.8090000000000002,2026-01-22T20:04:48.691424
llama3.2_local_baseline_rag,llama3.2,rag,64,two,two,True,1.907,2026-01-22T20:04:48.693334
llama3.2_local_baseline_rag,llama3.2,rag,65,Von Miller,Von Miller,True,1.986,2026-01-22T20:04:48.695324
llama3.2_local_baseline_rag,llama3.2,rag,66,linebacker,linebacker,True,1.7750000000000001,2026-01-22T20:04:48.697102
llama3.2_local_baseline_rag,llama3.2,rag,67,5,5,True,1.9819999999999998,2026-01-22T20:04:48.699089
llama3.2_local_baseline_rag,llama3.2,rag,68,2,2,True,1.797,2026-01-22T20:04:48.700890
llama3.2_local_baseline_rag,llama3.2,rag,69,Von Miller,Von Miller,True,1.7309999999999999,2026-01-22T20:04:48.702626
llama3.2_local_baseline_rag,llama3.2,rag,70,5,5,True,1.732,2026-01-22T20:04:48.704361
llama3.2_local_baseline_rag,llama3.2,rag,71,seven,seven,True,1.7550000000000001,2026-01-22T20:04:48.706119
llama3.2_local_baseline_rag,llama3.2,rag,72,three,three,True,2.1870000000000003,2026-01-22T20:04:48.708309
llama3.2_local_baseline_rag,llama3.2,rag,73,fumble which they recovered for a touchdown,a fumble,False,1.7570000000000001,2026-01-22T20:04:48.710070
llama3.2_local_baseline_rag,llama3.2,rag,74,Von Miller,Von Miller,True,1.7979999999999998,2026-01-22T20:04:48.711871
llama3.2_local_baseline_rag,llama3.2,rag,75,linebacker,linebacker,True,1.735,2026-01-22T20:04:48.713611
llama3.2_local_baseline_rag,llama3.2,rag,76,seven,seven,True,2.2230000000000003,2026-01-22T20:04:48.715838
llama3.2_local_baseline_rag,llama3.2,rag,77,three,three,True,1.9220000000000002,2026-01-22T20:04:48.717764
llama3.2_local_baseline_rag,llama3.2,rag,78,Von Miller,Von Miller,True,2.002,2026-01-22T20:04:48.719776
llama3.2_local_baseline_rag,llama3.2,rag,79,5,five,False,2.038,2026-01-22T20:04:48.721819
