experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,0,getting_physical_card,card_arrival,False,3105.516,2026-01-18T17:12:58.663921
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,1,getting_spare_card,card_arrival,False,1059.655,2026-01-18T17:12:59.723591
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,2,card_delivery_estimate,card_arrival,False,1002.152,2026-01-18T17:13:00.725751
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,3,card_delivery_estimate,card_arrival,False,998.965,2026-01-18T17:13:01.724727
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,4,card_arrival,card_arrival,True,1003.832,2026-01-18T17:13:02.728566
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,5,card_delivery_estimate,card_arrival,False,1000.26,2026-01-18T17:13:03.728837
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,6,card_delivery_estimate,card_arrival,False,989.048,2026-01-18T17:13:04.717898
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,7,getting_spare_card,card_arrival,False,1037.357,2026-01-18T17:13:05.755276
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,8,getting_physical_card,card_arrival,False,995.519,2026-01-18T17:13:06.750811
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,9,card_delivery_estimate,card_arrival,False,991.763,2026-01-18T17:13:07.742581
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,10,card_delivery_estimate,card_arrival,False,1022.694,2026-01-18T17:13:08.765283
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,11,card_delivery_estimate,card_arrival,False,994.563,2026-01-18T17:13:09.759857
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,12,card_delivery_estimate,card_arrival,False,998.0,2026-01-18T17:13:10.757863
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,13,card_delivery_estimate,card_arrival,False,1003.045,2026-01-18T17:13:11.760916
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,14,card_delivery_estimate,card_arrival,False,1002.487,2026-01-18T17:13:12.763426
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,15,card_delivery_estimate,card_arrival,False,1003.017,2026-01-18T17:13:13.766459
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,16,card_delivery_estimate,card_arrival,False,992.87,2026-01-18T17:13:14.759350
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,17,card_delivery_estimate,card_arrival,False,1005.054,2026-01-18T17:13:15.764418
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,18,card_delivery_estimate,card_arrival,False,997.181,2026-01-18T17:13:16.761612
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,19,card_delivery_estimate,card_arrival,False,1001.193,2026-01-18T17:13:17.762815
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,20,lost_or_stolen_card,card_arrival,False,1093.607,2026-01-18T17:13:18.856435
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,21,getting_physical_card,card_arrival,False,997.493,2026-01-18T17:13:19.853951
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,22,card_delivery_estimate,card_arrival,False,993.677,2026-01-18T17:13:20.847640
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,23,card_delivery_estimate,card_arrival,False,1028.254,2026-01-18T17:13:21.875915
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,24,card_arrival,card_arrival,True,1017.385,2026-01-18T17:13:22.893327
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,25,card_delivery_estimate,card_arrival,False,999.502,2026-01-18T17:13:23.892838
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,26,card_delivery_estimate,card_arrival,False,1005.576,2026-01-18T17:13:24.898424
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,27,card_delivery_estimate,card_arrival,False,1010.636,2026-01-18T17:13:25.909069
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,28,card_delivery_estimate,card_arrival,False,999.881,2026-01-18T17:13:26.908959
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,29,getting_physical_card,card_arrival,False,986.304,2026-01-18T17:13:27.895272
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,30,card_arrival,card_arrival,True,1000.48,2026-01-18T17:13:28.895773
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,31,card_delivery_estimate,card_arrival,False,999.035,2026-01-18T17:13:29.894822
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,32,card_arrival,card_arrival,True,998.701,2026-01-18T17:13:30.893539
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,33,card_delivery_estimate,card_arrival,False,997.983,2026-01-18T17:13:31.891531
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,34,card_delivery_estimate,card_arrival,False,987.916,2026-01-18T17:13:32.879464
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,35,card_delivery_estimate,card_arrival,False,1001.396,2026-01-18T17:13:33.880874
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,36,lost_or_stolen_card,card_arrival,False,1086.549,2026-01-18T17:13:34.967439
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,37,card_delivery_estimate,card_arrival,False,986.643,2026-01-18T17:13:35.954091
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,38,card_delivery_estimate,card_arrival,False,993.927,2026-01-18T17:13:36.948032
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,39,card_delivery_estimate,card_arrival,False,1012.274,2026-01-18T17:13:37.960316
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,40,card_payment_not_recognised,card_linking,False,1132.271,2026-01-18T17:13:39.092603
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,41,card_not_working,card_linking,False,1001.871,2026-01-18T17:13:40.094482
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,42,card_linking,card_linking,True,983.647,2026-01-18T17:13:41.078146
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,43,get_physical_card,card_linking,False,1001.243,2026-01-18T17:13:42.079408
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,44,card_linking,card_linking,True,1001.912,2026-01-18T17:13:43.081346
qwen2.5:7b_local_baseline_classification,qwen2.5:7b,classification,45,getting_physical_card,card_linking,False,1006.792,2026-01-18T17:13:44.088156
