experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
phi4_local_baseline_extraction,phi4,extraction,0,"{
    ""PER"": [],
    ""ORG"": [""Adyar""],
    ""LOC"": [""India""],
    ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""India"", ""Adyar""], ""MISC"": []}",True,13160.745,2026-01-18T16:15:58.604562
phi4_local_baseline_extraction,phi4,extraction,1,"{
    ""PER"": [""Kanye West"", ""Jamie Foxx""],
    ""ORG"": [],
    ""LOC"": [],
    ""MISC"": []
}","{""PER"": [""Kanye West"", ""Jamie Foxx""], ""ORG"": [""Gold Digger""], ""LOC"": [], ""MISC"": []}",True,4302.204,2026-01-18T16:16:02.907119
phi4_local_baseline_extraction,phi4,extraction,2,"{
    ""PER"": [""Hewitson""],
    ""ORG"": [],
    ""LOC"": [],
    ""MISC"": [""Mycalesis perseus lalassis"", ""1864""]
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Mycalesis perseus lalassis""], ""MISC"": []}",False,5014.9220000000005,2026-01-18T16:16:07.922266
phi4_local_baseline_extraction,phi4,extraction,3,"{
  ""PER"": [""Jonny Lee Miller"", ""Eli Stone""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""Jonny Lee Miller""], ""ORG"": [""Eli Stone""], ""LOC"": [], ""MISC"": []}",True,4165.73,2026-01-18T16:16:12.090120
phi4_local_baseline_extraction,phi4,extraction,4,"{
  ""PER"": [],
  ""ORG"": [""United States""],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Admission to the bar in the United States""], ""LOC"": [], ""MISC"": []}",False,3553.823,2026-01-18T16:16:15.643994
phi4_local_baseline_extraction,phi4,extraction,5,"{
    ""PER"": [""Willy Unger""],
    ""ORG"": [],
    ""LOC"": [],
    ""MISC"": []
}","{""PER"": [""Willy Unger""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,3705.746,2026-01-18T16:16:19.349785
phi4_local_baseline_extraction,phi4,extraction,6,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Palermo""],
  ""MISC"": [""Palermo Cathedral""]
}","{""PER"": [], ""ORG"": [""Palermo Cathedral""], ""LOC"": [], ""MISC"": []}",False,4038.286,2026-01-18T16:16:23.388110
phi4_local_baseline_extraction,phi4,extraction,7,"{
  ""PER"": [
    ""Ryan Atwood"",
    ""Seth Cohen"",
    ""Marissa Cooper"",
    ""Summer Roberts"",
    ""Kaitlin Cooper"",
    ""Luke Ward"",
    ""Taylor Townsend"",
    ""Alex Kelly"",
    ""Caleb Nichol"",
    ""Julie Cooper"",
    ""Freddie Benson"",
    ""George Williams"",
    ""Kenny"",
    ""Sandy Cohen"",
    "" Kirsten Cohen"",
    ""Martha Plimpton""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""The O.C.""
  ],
  ""MISC"": []
}","{""PER"": [""List of The O.C. characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,11946.83,2026-01-18T16:16:35.335147
phi4_local_baseline_extraction,phi4,extraction,8,"{
  ""PER"": [],
  ""ORG"": [""Cardiff Royal Infirmary""],
  ""LOC"": [""Roath"", ""Cardiff""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Cardiff Royal Infirmary""], ""LOC"": [""Roath , Cardiff""], ""MISC"": []}",False,4784.899,2026-01-18T16:16:40.120251
phi4_local_baseline_extraction,phi4,extraction,9,"{
    ""PER"": [""Roger Houdet""],
    ""ORG"": [],
    ""LOC"": [],
    ""MISC"": []
}","{""PER"": [""Roger Houdet""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,3981.366,2026-01-18T16:16:44.103466
phi4_local_baseline_extraction,phi4,extraction,10,"{
  ""PER"": [],
  ""ORG"": [""Oz""],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""List of Oz ( TV series ) characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,3582.065,2026-01-18T16:16:47.685571
phi4_local_baseline_extraction,phi4,extraction,11,"{
    ""PER"": [""Jack"", ""Diane"", ""John Mellencamp""],
    ""ORG"": [],
    ""LOC"": [],
    ""MISC"": []
}","{""PER"": [""John Mellencamp""], ""ORG"": [""Jack and Diane""], ""LOC"": [], ""MISC"": []}",False,4323.063999999999,2026-01-18T16:16:52.008665
phi4_local_baseline_extraction,phi4,extraction,12,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [
    ""Antarctic"",
    ""sub-Antarctic islands""
  ],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""List of Antarctic and sub-Antarctic islands""], ""LOC"": [], ""MISC"": []}",False,4675.2919999999995,2026-01-18T16:16:56.683996
phi4_local_baseline_extraction,phi4,extraction,13,"{
  ""PER"": [],
  ""ORG"": [""1st Foreign Legion Cavalry Regiment""],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""1st Foreign Legion Cavalry Regiment""], ""LOC"": [], ""MISC"": []}",True,3972.435,2026-01-18T16:17:00.656469
phi4_local_baseline_extraction,phi4,extraction,14,"{
    ""PER"": [""John Reid""],
    ""ORG"": [],
    ""LOC"": [],
    ""MISC"": []
}","{""PER"": [""John Reid""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,3557.776,2026-01-18T16:17:04.214307
phi4_local_baseline_extraction,phi4,extraction,15,"{
  ""PER"": [""Manuel 'Flaco' Ibáñez""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""Manuel `` Flaco '' Ib\u00e1\u00f1ez""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,4395.825999999999,2026-01-18T16:17:08.610227
phi4_local_baseline_extraction,phi4,extraction,16,"```json
{
    ""PER"": [],
    ""ORG"": [""Moments and Mine""],
    ""LOC"": [],
    ""MISC"": []
}
```","{""PER"": [], ""ORG"": [""Moments and Mine""], ""LOC"": [], ""MISC"": []}",True,4178.033,2026-01-18T16:17:12.788607
phi4_local_baseline_extraction,phi4,extraction,17,"{
  ""PER"": [],
  ""ORG"": [""Akritas Chlorakas""],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Akritas Chlorakas""], ""LOC"": [], ""MISC"": []}",True,3879.385,2026-01-18T16:17:16.668036
phi4_local_baseline_extraction,phi4,extraction,18,"{
    ""PER"": [],
    ""ORG"": [""Farmers' Almanac""],
    ""LOC"": [],
    ""MISC"": []
}","{""PER"": [], ""ORG"": [""Farmers ' Almanac""], ""LOC"": [], ""MISC"": []}",False,3894.482,2026-01-18T16:17:20.562576
phi4_local_baseline_extraction,phi4,extraction,19,"{
    ""PER"": [],
    ""ORG"": [""Kuomintang""],
    ""LOC"": [""Tianjin""],
    ""MISC"": []
}","{""PER"": [], ""ORG"": [""Kuomintang""], ""LOC"": [""Tianjin""], ""MISC"": []}",True,4141.139,2026-01-18T16:17:24.704704
phi4_local_baseline_extraction,phi4,extraction,20,"{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Peru""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Peru""], ""MISC"": []}",True,3558.0080000000003,2026-01-18T16:17:28.262928
phi4_local_baseline_extraction,phi4,extraction,21,"{
  ""PER"": [""Han Suyin""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""Han Suyin""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,3702.51,2026-01-18T16:17:31.965485
phi4_local_baseline_extraction,phi4,extraction,22,"{
    ""PER"": [""Bishop John J. Kinney""],
    ""ORG"": [],
    ""LOC"": [""Bismarck"", ""Saint Cloud""],
    ""MISC"": []
}","{""PER"": [""Bishop John J. Kinney""], ""ORG"": [], ""LOC"": [""Bishop of Bismarck"", ""Bishop of Saint Cloud""], ""MISC"": []}",False,4978.048000000001,2026-01-18T16:17:36.943569
