experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2_baseline_qa,gpt-5.2,qa,0,yes,yes,True,2502.9249999999997,829,76,0.01057,2026-02-07T12:34:24.123090
gpt-5.2_baseline_qa,gpt-5.2,qa,1,United States Ambassador to Ghana,Chief of Protocol,False,2182.874,838,122,0.01204,2026-02-07T12:34:26.305991
gpt-5.2_baseline_qa,gpt-5.2,qa,2,Animorphs,Animorphs,True,3434.918,847,169,0.01354,2026-02-07T12:34:29.740934
gpt-5.2_baseline_qa,gpt-5.2,qa,3,no,no,True,2349.763,833,105,0.01148,2026-02-07T12:34:32.090720
gpt-5.2_baseline_qa,gpt-5.2,qa,4,Greenwich Village,"Greenwich Village, New York City",False,2233.369,836,93,0.01115,2026-02-07T12:34:34.324115
gpt-5.2_baseline_qa,gpt-5.2,qa,5,YG Entertainment,YG Entertainment,True,1824.9489999999998,837,74,0.010589999999999999,2026-02-07T12:34:36.149096
gpt-5.2_baseline_qa,gpt-5.2,qa,6,Ison Glasgow,Eenasul Fateh,False,2896.882,836,114,0.011780000000000002,2026-02-07T12:34:39.046006
gpt-5.2_baseline_qa,gpt-5.2,qa,7,"3,677","3,677 seated",False,1982.335,836,89,0.011030000000000002,2026-02-07T12:34:41.028398
gpt-5.2_baseline_qa,gpt-5.2,qa,8,Terry Richardson,Terry Richardson,True,1941.435,827,99,0.01124,2026-02-07T12:34:42.969863
gpt-5.2_baseline_qa,gpt-5.2,qa,9,yes,yes,True,1860.808,829,76,0.01057,2026-02-07T12:34:44.830698
gpt-5.2_baseline_qa,gpt-5.2,qa,10,I'm a Jayhawk,Kansas Song,False,2202.621,848,105,0.01163,2026-02-07T12:34:47.033344
gpt-5.2_baseline_qa,gpt-5.2,qa,11,David Diamond,David Weissman,False,2351.496,840,127,0.012210000000000002,2026-02-07T12:34:49.384863
gpt-5.2_baseline_qa,gpt-5.2,qa,12,1999,1999,True,3455.669,841,135,0.012459999999999999,2026-02-07T12:34:52.840558
gpt-5.2_baseline_qa,gpt-5.2,qa,13,yes,no,False,2157.93,834,106,0.01152,2026-02-07T12:34:54.998510
gpt-5.2_baseline_qa,gpt-5.2,qa,14,1986–2013,from 1986 to 2013,False,2138.928,831,102,0.01137,2026-02-07T12:34:57.137463
gpt-5.2_baseline_qa,gpt-5.2,qa,15,"331,000,000","9,984",False,2355.651,834,103,0.01143,2026-02-07T12:34:59.493143
gpt-5.2_baseline_qa,gpt-5.2,qa,16,North Atlantic Conference,the North Atlantic Conference,False,2421.547,846,89,0.011129999999999998,2026-02-07T12:35:01.914718
gpt-5.2_baseline_qa,gpt-5.2,qa,17,yes,yes,True,2878.9790000000003,830,114,0.011720000000000001,2026-02-07T12:35:04.793728
gpt-5.2_baseline_qa,gpt-5.2,qa,18,1969 to 1974,1969 until 1974,False,2061.523,843,103,0.011519999999999999,2026-02-07T12:35:06.855280
