experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
gpt-4o_local_baseline_qa,gpt-4o,qa,0,yes,yes,True,3.9909999999999997,2026-02-05T22:26:36.782337
gpt-4o_local_baseline_qa,gpt-4o,qa,1,U.S. Ambassador,Chief of Protocol,False,0.717,2026-02-05T22:26:36.783063
gpt-4o_local_baseline_qa,gpt-4o,qa,2,Animorphs,Animorphs,True,0.6759999999999999,2026-02-05T22:26:36.783745
gpt-4o_local_baseline_qa,gpt-4o,qa,3,no,no,True,0.642,2026-02-05T22:26:36.784394
gpt-4o_local_baseline_qa,gpt-4o,qa,4,New York City,"Greenwich Village, New York City",False,0.45899999999999996,2026-02-05T22:26:36.784857
gpt-4o_local_baseline_qa,gpt-4o,qa,5,YG Entertainment,YG Entertainment,True,2650.2819999999997,2026-02-05T22:26:39.435155
gpt-4o_local_baseline_qa,gpt-4o,qa,6,Unknown or not enough information provided.,Eenasul Fateh,False,3111.408,2026-02-05T22:26:42.546592
gpt-4o_local_baseline_qa,gpt-4o,qa,7,"3,677 people","3,677 seated",False,1294.4199999999998,2026-02-05T22:26:43.841057
gpt-4o_local_baseline_qa,gpt-4o,qa,8,Terry Richardson,Terry Richardson,True,1211.3259999999998,2026-02-05T22:26:45.052497
gpt-4o_local_baseline_qa,gpt-4o,qa,9,yes,yes,True,1914.202,2026-02-05T22:26:46.966712
gpt-4o_local_baseline_qa,gpt-4o,qa,10,"""I'm a Jayhawk""",Kansas Song,False,1459.271,2026-02-05T22:26:48.426002
gpt-4o_local_baseline_qa,gpt-4o,qa,11,David Weissman,David Weissman,True,1448.118,2026-02-05T22:26:49.874147
gpt-4o_local_baseline_qa,gpt-4o,qa,12,1999,1999,True,1556.763,2026-02-05T22:26:51.430929
gpt-4o_local_baseline_qa,gpt-4o,qa,13,yes,no,False,2029.229,2026-02-05T22:26:53.460190
gpt-4o_local_baseline_qa,gpt-4o,qa,14,1986 to 2013,from 1986 to 2013,False,1946.1589999999999,2026-02-05T22:26:55.406395
gpt-4o_local_baseline_qa,gpt-4o,qa,15,approximately 331 million inhabitants,"9,984",False,1319.493,2026-02-05T22:26:56.725926
gpt-4o_local_baseline_qa,gpt-4o,qa,16,North Atlantic Conference,the North Atlantic Conference,False,1548.668,2026-02-05T22:26:58.274626
gpt-4o_local_baseline_qa,gpt-4o,qa,17,yes,yes,True,1789.213,2026-02-05T22:27:00.063861
gpt-4o_local_baseline_qa,gpt-4o,qa,18,1969 to 1974,1969 until 1974,False,2509.153,2026-02-05T22:27:02.573052
gpt-4o_local_baseline_qa,gpt-4o,qa,19,Robert Erskine Childers,Robert Erskine Childers DSC,False,1481.519,2026-02-05T22:27:04.054597
gpt-4o_local_baseline_qa,gpt-4o,qa,20,Pedro Rodríguez,Pedro Rodríguez,True,1798.0020000000002,2026-02-05T22:27:05.852621
gpt-4o_local_baseline_qa,gpt-4o,qa,21,Sterling Holloway did not voice a hedgehog.,Sonic,False,2563.991,2026-02-05T22:27:08.416639
gpt-4o_local_baseline_qa,gpt-4o,qa,22,keyboard and mouse,keyboard function keys,False,1549.119,2026-02-05T22:27:09.965774
gpt-4o_local_baseline_qa,gpt-4o,qa,23,Badly Drawn Boy,Badly Drawn Boy,True,2131.317,2026-02-05T22:27:12.097112
gpt-4o_local_baseline_qa,gpt-4o,qa,24,World's Best Goalkeeper,World's Best Goalkeeper,True,1534.089,2026-02-05T22:27:13.631237
gpt-4o_local_baseline_qa,gpt-4o,qa,25,Lee Hazlewood,Barton Lee Hazlewood,False,1845.643,2026-02-05T22:27:15.476920
gpt-4o_local_baseline_qa,gpt-4o,qa,26,1838,1838,True,1811.0790000000002,2026-02-05T22:27:17.288031
gpt-4o_local_baseline_qa,gpt-4o,qa,27,yes,yes,True,1473.602,2026-02-05T22:27:18.761666
gpt-4o_local_baseline_qa,gpt-4o,qa,28,Henry J. Kaiser,Henry J. Kaiser,True,2040.3739999999998,2026-02-05T22:27:20.802075
gpt-4o_local_baseline_qa,gpt-4o,qa,29,Buffalo Castle,Arena of Khazan,False,2608.18,2026-02-05T22:27:23.410296
gpt-4o_local_baseline_qa,gpt-4o,qa,30,2000,2000,True,2508.123,2026-02-05T22:27:25.918449
gpt-4o_local_baseline_qa,gpt-4o,qa,31,Japan,"Fujioka, Gunma",False,2528.19,2026-02-05T22:27:28.446658
gpt-4o_local_baseline_qa,gpt-4o,qa,32,Charles Nungesser,Charles Eugène,False,1900.142,2026-02-05T22:27:30.346822
gpt-4o_local_baseline_qa,gpt-4o,qa,33,no,no,True,1821.034,2026-02-05T22:27:32.167886
gpt-4o_local_baseline_qa,gpt-4o,qa,34,Letters to Cleo,Letters to Cleo,True,2003.2169999999999,2026-02-05T22:27:34.171135
gpt-4o_local_baseline_qa,gpt-4o,qa,35,1922,October 1922,False,2910.609,2026-02-05T22:27:37.081774
gpt-4o_local_baseline_qa,gpt-4o,qa,36,2000,2000,True,1744.116,2026-02-05T22:27:38.825924
gpt-4o_local_baseline_qa,gpt-4o,qa,37,World War II,World War II,True,1196.914,2026-02-05T22:27:40.022874
gpt-4o_local_baseline_qa,gpt-4o,qa,38,no,no,True,1053.8220000000001,2026-02-05T22:27:41.076728
gpt-4o_local_baseline_qa,gpt-4o,qa,39,New York City,New York City,True,921.96,2026-02-05T22:27:41.998725
gpt-4o_local_baseline_qa,gpt-4o,qa,40,Scotch Collie,Scotch Collie,True,1575.873,2026-02-05T22:27:43.574627
gpt-4o_local_baseline_qa,gpt-4o,qa,41,"Bangalore, India",Mumbai,False,912.989,2026-02-05T22:27:44.487638
gpt-4o_local_baseline_qa,gpt-4o,qa,42,1962,1962,True,1105.539,2026-02-05T22:27:45.593201
gpt-4o_local_baseline_qa,gpt-4o,qa,43,Ethiopian independence,sovereignty,False,2137.548,2026-02-05T22:27:47.730771
gpt-4o_local_baseline_qa,gpt-4o,qa,44,Hubert Humphrey,Nelson Rockefeller,False,2049.868,2026-02-05T22:27:49.780665
gpt-4o_local_baseline_qa,gpt-4o,qa,45,Firth of Forth,Yellowcraig,False,1642.841,2026-02-05T22:27:51.423529
gpt-4o_local_baseline_qa,gpt-4o,qa,46,Phil Spector,Phil Spector,True,1278.963,2026-02-05T22:27:52.702514
gpt-4o_local_baseline_qa,gpt-4o,qa,47,political forum,Organizations could come together to address global issues,False,2423.152,2026-02-05T22:27:55.125693
gpt-4o_local_baseline_qa,gpt-4o,qa,48,yes,yes,True,1824.072,2026-02-05T22:27:56.949797
gpt-4o_local_baseline_qa,gpt-4o,qa,49,None,English Electric Canberra,False,4525.353,2026-02-05T22:28:01.475181
