experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,0,"The article discusses the struggles faced by ex-offenders in finding suitable accommodation upon release from prison in Wales, with some living rough for up to a year before finding housing.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",0.42105263157894735,25385.305,2026-02-06T18:54:54.942355
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,1,Edinburgh police arrest man and recover weapons and money after searches.,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",0.40697674418604646,16720.531000000003,2026-02-06T18:55:11.662906
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,2,"Four Chicago residents have been charged with hate crimes, aggravated kidnapping, and battery after allegedly beating an 18-year-old victim with disabilities and making derogatory statements against white people and Donald Trump during a Facebook Live video.","Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",0.45812807881773393,8426.523,2026-02-06T18:55:20.089449
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,3,Former Arsenal goalkeeper David Seaman appointed as director of football at Reading.,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",0.4736842105263158,3464.0550000000003,2026-02-06T18:55:23.553527
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,4,A diet can reverse symptoms of diabetes in mice by regenerating a special type of cell in the pancreas.,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",0.47804878048780486,20953.098,2026-02-06T18:55:44.506645
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,5,"A proposed merger between Essilor and Luxottica could create a dominant player in the global eyewear market, potentially leading to reduced competition and higher prices for customers.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",0.4444444444444445,24207.736,2026-02-06T18:56:08.714403
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,6,Olympic Silver Medallist Wendy Houvenaghel Accuses British Cycling of Ageism and Poor Treatment,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",0.45714285714285713,21801.114999999998,2026-02-06T18:56:30.515543
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,7,Kareem Badr turned a struggling comedy club into a successful business.,Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,0.46788990825688076,18991.942000000003,2026-02-06T18:56:49.507508
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,8,Ofcom decides against breaking up BT due to practical obstacles related to land deals and the company's giant pension scheme.,"The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",0.4025974025974026,20492.993,2026-02-06T18:57:10.000526
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,9,Brendan Rodgers discusses Celtic's Scottish Cup semi-final against Rangers and prioritizing the League Cup as their first opportunity for a trophy this season.,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,0.5016722408026756,8285.497,2026-02-06T18:57:18.286041
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,10,"Queen's University Belfast faces budget cuts, resulting in a reduction of 1,010 undergraduate places over the next three years.",Queen's University Belfast is cutting 236 jobs and 290 student places due to a funding reduction.,0.5714285714285715,7582.567,2026-02-06T18:57:25.868630
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,11,East Sussex NHS Trust apologizes for sending out incorrect patient information leaflets with hospital appointment letters.,Hospital bosses in Sussex have apologised after about 850 patients were sent leaflets in error suggesting they might have cancer.,0.5099601593625498,4751.54,2026-02-06T18:57:30.620189
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,12,Labour will not block Brexit but will seek amendments for a meaningful vote and EU citizen rights.,The shadow foreign secretary has suggested Labour will continue to support legislation paving the way for Brexit as it passes through Parliament.,0.40329218106995884,7769.1990000000005,2026-02-06T18:57:38.389422
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,13,"Torquay United receive a 15% sell-on fee from Bournemouth for Republic of Ireland midfielder O'Kane, with the money going towards helping the cash-strapped club.",Torquay United boss Kevin Nicholson says none of the money from Eunan O'Kane's move to Leeds from Bournemouth will go to the playing squad.,0.48,19397.627,2026-02-06T18:57:57.787069
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,14,"An inquest is being held into the death of Iwan Wyn Lewis, who took his own life while receiving treatment at a psychiatric hospital after a police officer visited him.",North Wales Police has been criticised at an inquest for sending an officer to speak to a hospital patient with paranoid schizophrenia.,0.44884488448844884,6645.8279999999995,2026-02-06T18:58:04.432921
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,15,Leicester City player Taylor-Fletcher joins Sheffield Wednesday on loan.,Leicester City striker Gary Taylor-Fletcher has joined Sheffield Wednesday on an initial month-long loan.,0.7570621468926554,3463.947,2026-02-06T18:58:07.896896
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,16,US scientists are concerned about potential restrictions on access to climate and other research data under the Trump administration and are taking steps to copy information onto servers outside of federal government control.,"Limiting access to federal research would do an ""enormous disservice"" to the US and the world according to former Nasa chief scientist.",0.4333333333333333,23034.241,2026-02-06T18:58:30.931173
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,17,"The Specials' drummer John ""Brad"" Bradbury has died at the age of 62.","John ""Brad"" Bradbury, drummer with The Specials, has died at the age of 62.",0.6527777777777777,19382.14,2026-02-06T18:58:50.313357
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,18,Tiger Woods misses the cut at Torrey Pines PGA Tour event.,"Tiger Woods missed the cut at the Farmers Insurance Open, as England's Justin Rose maintained a one-shot lead.",0.5714285714285714,4742.39,2026-02-06T18:58:55.055767
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,19,"Former Manchester United, Newcastle and Blackburn forward Andy Cole undergoes a kidney transplant from his nephew.","Former England striker Andy Cole says he faces a ""long road ahead"" as he recovers from his recent kidney transplant.",0.5304347826086957,5534.796,2026-02-06T18:59:00.590588
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,20,Pakistan lifts YouTube ban after launch of local version.,"Pakistan has unblocked the video sharing site, YouTube, more than three years after it was banned for posting a video deemed insulting to Islam.",0.4378109452736319,5931.291,2026-02-06T18:59:06.521912
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,21,"Rugby player Benjamin injured, expected to recover in 8-10 weeks; Sam Harrison signs new contract.","Leicester Tigers winger Miles Benjamin is likely to be out for the rest of the season because of a knee injury, reports BBC Radio Leicester.",0.4117647058823529,4896.759,2026-02-06T18:59:11.418689
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,22,"Great Britain wins gold in men's team pursuit cycling at the Rio Olympics, with Welsh rider Doull contributing to the victory.",Owain Doull has won Wales' first gold of the 2016 Olympics as  he helped the Great Britain men's team pursuit defend their cycling title in Rio.,0.437037037037037,7126.984,2026-02-06T18:59:18.545721
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,23,India faces severe flooding with high death toll and displacement of hundreds of thousands.,"Floods in the western Indian state of Gujarat have killed 218 people, government officials have confirmed.",0.4263959390862944,4770.985,2026-02-06T18:59:23.316728
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,24,Two snow sports enthusiasts get married on skis at a Scottish ski resort.,All images copyrighted.,0.2708333333333333,5695.691,2026-02-06T18:59:29.012445
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,25,Royal Bank of Scotland fined for fraudulent trading.,"Royal Bank of Scotland (RBS) has been fined HK$6m (£460,000) by Hong Kong regulators after it failed to detect a series of unauthorised transactions by one of its traders.",0.4125560538116591,5268.492,2026-02-06T18:59:34.280952
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,26,"The BAFTA awards ceremony took place in London, with winners including Emma Stone, Tom Holland, Viola Davis, Casey Affleck, Dev Patel, and Justin Hurwitz.","The Bafta awards had laughter, passion and plenty of politics.",0.40740740740740744,20263.285,2026-02-06T18:59:54.544265
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,27,Andy Murray struggles with hip injury ahead of Wimbledon.,"Of his last 30 matches in 2016, Andy Murray won 28 and lost just two.",0.380952380952381,22477.07,2026-02-06T19:00:17.021768
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,28,South African radio DJ Mandla Hlatshwayo shot dead in Soweto.,South African police say four people have been arrested in connection with the murder of former actor on popular local TV series Generations.,0.396039603960396,17453.497,2026-02-06T19:00:34.475292
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,29,Shooting incident near Liverpool primary schools causes lockdown and police investigation.,"A shot was reportedly fired at a car outside a primary school in Liverpool as parents were taking their children inside, police have said.",0.49122807017543857,4021.241,2026-02-06T19:00:38.496563
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,30,Jessica Ennis-Hill is on course to qualify for the Rio Olympics after a promising first day in a heptathlon competition.,Jessica Ennis-Hill has fallen from fourth to eighth place after six events at the Hypo-Meeting in Gotzis.,0.5422222222222222,5028.225,2026-02-06T19:00:43.524807
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,31,"Manor F1 team collapses, leaving 10 teams on the grid in Melbourne.",The Manor team have collapsed after administrators failed to find a buyer for the stricken business.,0.5269461077844311,6694.05,2026-02-06T19:00:50.218887
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,32,Northern Ireland Assembly election will take place on March 2nd with a total of 228 candidates running.,A total of 228 candidates will contest the Northern Ireland Assembly election next month - 48 fewer than last time.,0.48623853211009177,23360.803,2026-02-06T19:01:13.579749
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,33,"The document provides advice on whether to buy travel money now or wait for a trip to New York in December, taking into account the current exchange rate and potential future changes due to upcoming events.","With the value of the pound falling dramatically since Brexit, a ""flash crash"" last week when the currency lost 6% of its value against the dollar, and news on Tuesday that the pound had fallen again, when would be a good time to change those pounds to dollars?",0.4282655246252676,8030.642999999999,2026-02-06T19:01:21.610410
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,34,Zoe Waters wins Alternative Model of the Year in Newcastle.,A philosophy student who wears vintage clothing has won a national contest for alternative models.,0.42038216560509556,4171.036,2026-02-06T19:01:25.781471
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,35,Yomper statue may be moved from Eastney to Portsmouth Historic Dockyard.,Plans to move a statue depicting a Royal Marine in the Falklands conflict away from Portsmouth seafront have been criticised.,0.4467005076142132,5764.357,2026-02-06T19:01:31.545846
mistral:latest_local_baseline_synthesis,mistral:latest,synthesis,36,"A suspect appears in court for allegedly breaching Terrorism Prevention and Investigation Measures (TPim) orders, which are believed to be the first such case since their introduction in 2012.",A suspected terrorist has been charged with breaching conditions imposed as part of the government's new terror monitoring powers.,0.4658385093167702,7479.497,2026-02-06T19:01:39.025377
