experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
mistral:latest_local_baseline_extraction,mistral:latest,extraction,0,"{
  ""PER"": [""He""],
  ""LOC"": [""India"", ""Adyar""]
}","{""PER"": [], ""ORG"": [], ""LOC"": [""India"", ""Adyar""], ""MISC"": []}",True,3.3800000000000003,2026-01-22T23:39:53.949350
mistral:latest_local_baseline_extraction,mistral:latest,extraction,1,"{
  ""PER"": [""Kanye West"", ""Jamie Foxx""],
  ""MISC"": [""Gold Digger"", ""2005""]
}","{""PER"": [""Kanye West"", ""Jamie Foxx""], ""ORG"": [""Gold Digger""], ""LOC"": [], ""MISC"": []}",True,3.251,2026-01-22T23:39:53.952612
mistral:latest_local_baseline_extraction,mistral:latest,extraction,2,"{
  ""PER"": [""Hewitson""],
  ""ORG"": [""Mycalesis""],
  ""MISC"": [""perseus"", ""lalassis""]
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Mycalesis perseus lalassis""], ""MISC"": []}",False,4.12,2026-01-22T23:39:53.956738
mistral:latest_local_baseline_extraction,mistral:latest,extraction,3,"{
  ""PER"": [""Jonny Lee Miller""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Eli Stone""]
}","{""PER"": [""Jonny Lee Miller""], ""ORG"": [""Eli Stone""], ""LOC"": [], ""MISC"": []}",True,2.185,2026-01-22T23:39:53.958929
mistral:latest_local_baseline_extraction,mistral:latest,extraction,4,"{
  ""PER"": [],
  ""ORG"": [""Bar""],
  ""LOC"": [""United States""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Admission to the bar in the United States""], ""LOC"": [], ""MISC"": []}",False,1.609,2026-01-22T23:39:53.960543
mistral:latest_local_baseline_extraction,mistral:latest,extraction,5,"{
  ""PER"": [""Willy Unger""],
  ""LOC"": [""11""]
}","{""PER"": [""Willy Unger""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,1.494,2026-01-22T23:39:53.962042
mistral:latest_local_baseline_extraction,mistral:latest,extraction,6,"{
  ""LOC"": [""Palermo Cathedral""],
  ""MISC"": [],
  ""PER"": [],
  ""ORG"": []
}","{""PER"": [], ""ORG"": [""Palermo Cathedral""], ""LOC"": [], ""MISC"": []}",False,1.418,2026-01-22T23:39:53.963465
mistral:latest_local_baseline_extraction,mistral:latest,extraction,7,"{
  ""PER"": [""Seth Cohen"", ""Ryan Atwood"", ""Marissa Cooper"", ""Summer Roberts"", ""Kirsten Cohen"", ""Sandy Cohen"", ""Caleb Nichol"", ""Julie Cooper"", ""John Rowland""],
  ""ORG"": [""The O.C.""],
  ""LOC"": [""Newport Beach""]
}","{""PER"": [""List of The O.C. characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,1.682,2026-01-22T23:39:53.965157
mistral:latest_local_baseline_extraction,mistral:latest,extraction,8,"{
  ""PER"": [],
  ""ORG"": [""Cardiff Royal Infirmary""],
  ""LOC"": [""Cardiff"", ""Roath""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Cardiff Royal Infirmary""], ""LOC"": [""Roath , Cardiff""], ""MISC"": []}",False,1.462,2026-01-22T23:39:53.966623
mistral:latest_local_baseline_extraction,mistral:latest,extraction,9,"{
  ""PER"": [""Roger Houdet""],
  ""LOC"": [""1958-06-09 to 1959-05-27""]
}","{""PER"": [""Roger Houdet""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,1.247,2026-01-22T23:39:53.967873
