experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,0,"{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""China""], ""MISC"": []}","{""PER"": [""CHINA""], ""ORG"": [], ""LOC"": [""JAPAN""], ""MISC"": []}",False,5731.996,2026-02-06T21:18:05.970633
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,1,"{""PER"": [], ""ORG"": [], ""LOC"": [""AL-AIN"", ""United Arab Emirates""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""AL-AIN"", ""United Arab Emirates""], ""MISC"": []}",True,3101.906,2026-02-06T21:18:09.072555
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,2,"{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": [""Asian Cup""]}",True,3837.3309999999997,2026-02-06T21:18:12.909915
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,3,"{""PER"": [], ""ORG"": [""China"", ""Uzbekistan""], ""LOC"": [""China"", ""Uzbekistan""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""China"", ""Uzbekistan""], ""MISC"": []}",True,3867.101,2026-02-06T21:18:16.777053
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,4,"{""PER"": [""Igor Shkvyrin""], ""ORG"": [], ""LOC"": [""China"", ""Uzbek""], ""MISC"": []}","{""PER"": [""Igor Shkvyrin""], ""ORG"": [], ""LOC"": [""China""], ""MISC"": [""Uzbek"", ""Chinese""]}",True,4091.3079999999995,2026-02-06T21:18:20.868387
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,5,"{""PER"": [""Oleg Shatskiku""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Oleg Shatskiku""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,4417.253,2026-02-06T21:18:25.285679
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,6,"{""PER"": [], ""ORG"": [], ""LOC"": [""Soviet republic""], ""MISC"": [""Asian Cup""]}","{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""Soviet"", ""Asian Cup""]}",True,3998.4350000000004,2026-02-06T21:18:29.284149
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,7,"{""PER"": [], ""ORG"": [], ""LOC"": [""Uzbekistan""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Uzbekistan""], ""MISC"": [""Asian Games""]}",True,2996.997,2026-02-06T21:18:32.281203
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,8,"{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": []}",True,3218.7070000000003,2026-02-06T21:18:35.499928
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,9,"{""PER"": [""Takuya Takagi"", ""Hiroshige Yanagimoto"", ""Salem Bitar""], ""ORG"": [], ""LOC"": [""Syrian""], ""MISC"": []}","{""PER"": [""Takuya Takagi"", ""Hiroshige Yanagimoto"", ""Salem Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": [""Syrian""]}",True,4938.619,2026-02-06T21:18:40.438581
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,10,"{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}",True,2769.476,2026-02-06T21:18:43.208094
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,11,"{""PER"": [""Hassan Abbas"", ""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Hassan Abbas"", ""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,3567.38,2026-02-06T21:18:46.775500
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,12,"{""PER"": [""Nader Jokhadar""], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}","{""PER"": [""Nader Jokhadar""], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}",True,3422.5629999999996,2026-02-06T21:18:50.198121
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,13,"{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan""], ""MISC"": [""Syrian"", ""Syrian""]}",True,3261.6360000000004,2026-02-06T21:18:53.459791
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,14,"{""PER"": [""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,2880.824,2026-02-06T21:18:56.340666
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,15,"{""PER"": [""Shu Kamo""], ""ORG"": [], ""LOC"": [""Japan""], ""MISC"": []}","{""PER"": [""Shu Kamo""], ""ORG"": [], ""LOC"": [""Japan""], ""MISC"": [""Syrian""]}",True,4034.2770000000005,2026-02-06T21:19:00.374987
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,16,"{""PER"": [""Syrians""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""Syrians""]}",False,3008.849,2026-02-06T21:19:03.383872
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,17,"{""PER"": [], ""ORG"": [""FIFA""], ""LOC"": [""Japan""], ""MISC"": [""World Cup"", ""2002"", ""title""]}","{""PER"": [], ""ORG"": [""FIFA""], ""LOC"": [""Japan""], ""MISC"": [""World Cup""]}",True,4040.3729999999996,2026-02-06T21:19:07.424276
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,18,"{""PER"": [], ""ORG"": [], ""LOC"": [""UAE"", ""Kuwait"", ""South Korea"", ""Indonesia""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""UAE"", ""Kuwait"", ""South Korea"", ""Indonesia""], ""MISC"": []}",True,3920.359,2026-02-06T21:19:11.344665
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,19,"{""PER"": [""Cuttitta""], ""ORG"": [""Italy""], ""LOC"": [], ""MISC"": []}","{""PER"": [""CUTTITTA""], ""ORG"": [""RUGBY UNION""], ""LOC"": [""ITALY""], ""MISC"": []}",False,3740.0229999999997,2026-02-06T21:19:15.084716
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,20,"{""PER"": [""wing""], ""ORG"": [], ""LOC"": [""Scotland"", ""Murrayfield""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Scotland"", ""Murrayfield""], ""MISC"": []}",True,3561.235,2026-02-06T21:19:18.645967
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,21,"{""PER"": [""George Coste""], ""ORG"": [], ""LOC"": [""Cuttitta"", ""Twickenham""], ""MISC"": [""21-man squad"", ""England"", ""54-21""]}","{""PER"": [""Cuttitta"", ""George Coste""], ""ORG"": [], ""LOC"": [""England"", ""Twickenham""], ""MISC"": []}",False,4894.246,2026-02-06T21:19:23.540228
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,22,"{""PER"": [""Stefano Bordon"", ""Coste"", ""Corrado Covi""], ""ORG"": [""England""], ""LOC"": [], ""MISC"": []}","{""PER"": [""Stefano Bordon"", ""Coste"", ""Corrado Covi""], ""ORG"": [], ""LOC"": [""England""], ""MISC"": []}",True,4642.883000000001,2026-02-06T21:19:28.183142
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,23,"{""PER"": [""Cuttitta""], ""ORG"": [], ""LOC"": [""Italy""], ""MISC"": []}","{""PER"": [""Cuttitta""], ""ORG"": [], ""LOC"": [""Italy"", ""England""], ""MISC"": [""1995 World Cup""]}",True,3035.729,2026-02-06T21:19:31.218891
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,24,"{""PER"": [""Coste"", ""player""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Coste""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,2952.56,2026-02-06T21:19:34.171467
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,25,"{""PER"": [""Coste""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Coste""], ""ORG"": [], ""LOC"": [], ""MISC"": [""World Cup""]}",True,2842.132,2026-02-06T21:19:37.013617
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,26,"{""PER"": [""Javier Pertile"", ""Paolo Vaccari"", ""Marcello Cuttitta"", ""Ivan Francescato"", ""Leandro Manteri"", ""Diego Dominguez"", ""Francesco Mazzariol"", ""Alessandro Troncon"", ""Orazio Arancio"", ""Andrea Sgorlon"", ""Massimo Giovanelli"", ""Carlo Checchinato"", ""Walter Cristofoletto"", ""Franco Properzi Curti"", ""Carlo Orlandi"", ""Massimo Cuttitta"", ""Giambatista Croci"", ""Gianluca Guidi"", ""Nicola Mazzucato"", ""Alessandro Moscardi"", ""Andrea Castellani""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Javier Pertile"", ""Paolo Vaccari"", ""Marcello Cuttitta"", ""Ivan Francescato"", ""Leandro Manteri"", ""Diego Dominguez"", ""Francesco Mazzariol"", ""Alessandro Troncon"", ""Orazio Arancio"", ""Andrea Sgorlon"", ""Massimo Giovanelli"", ""Carlo Checchinato"", ""Walter Cristofoletto"", ""Franco Properzi Curti"", ""Carlo Orlandi"", ""Massimo Cuttitta"", ""Giambatista Croci"", ""Gianluca Guidi"", ""Nicola Mazzucato"", ""Alessandro Moscardi"", ""Andrea Castellani""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,9002.502,2026-02-06T21:19:46.016149
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,27,"{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""JAPAN"", ""SYRIA""], ""MISC"": []}",False,3255.1420000000003,2026-02-06T21:19:49.271314
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,28,"{""PER"": [], ""ORG"": [], ""LOC"": [""AL-AIN"", ""United Arab Emirates""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""AL-AIN"", ""United Arab Emirates""], ""MISC"": []}",True,1.27,2026-02-06T21:19:49.272607
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,29,"{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": [""Asian Cup""]}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": [""Asian Cup""]}",True,3785.379,2026-02-06T21:19:53.057996
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,30,"{""PER"": [""Takuya Takagi"", ""Salem Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Takuya Takagi"", ""Salem Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,4280.411,2026-02-06T21:19:57.338428
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,31,"{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""Syrian""]}",False,3213.85,2026-02-06T21:20:00.552291
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,32,"{""PER"": [""Hassan Abbas"", ""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Hassan Abbas"", ""Bitar""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,1.281,2026-02-06T21:20:00.553595
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,33,"{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}",True,3081.816,2026-02-06T21:20:03.635426
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,34,"{""PER"": [""Nader Jokhadar"", ""Ammar Awad"", ""Kenichi Shimokawa""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Nader Jokhadar"", ""Ammar Awad"", ""Kenichi Shimokawa""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,5521.14,2026-02-06T21:20:09.156595
