experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_extraction,llama3.2,extraction,0,"{
  ""PER"": [
    ""India"",
    ""him""
  ],
  ""ORG"": [
    ""Adyar""
  ],
  ""LOC"": [
    ""India"",
    ""Adyar""
  ],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [], ""LOC"": [""India"", ""Adyar""], ""MISC"": []}",True,3.151,2026-01-18T14:29:05.957803
llama3.2_local_baseline_extraction,llama3.2,extraction,1,"{
  ""PER"": [
    ""Kanye West"",
    ""Jamie Foxx""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""Gold Digger""
  ]
}","{""PER"": [""Kanye West"", ""Jamie Foxx""], ""ORG"": [""Gold Digger""], ""LOC"": [], ""MISC"": []}",True,2.244,2026-01-18T14:29:05.960055
llama3.2_local_baseline_extraction,llama3.2,extraction,2,"{
  ""PER"": [
    ""Hewitson""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""Mycalesis perseus lalassis""
  ]
}","{""PER"": [], ""ORG"": [], ""LOC"": [""Mycalesis perseus lalassis""], ""MISC"": []}",False,3.541,2026-01-18T14:29:05.963605
llama3.2_local_baseline_extraction,llama3.2,extraction,3,"{
  ""PER"": [""Jonny Lee Miller""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Eli Stone""]
}","{""PER"": [""Jonny Lee Miller""], ""ORG"": [""Eli Stone""], ""LOC"": [], ""MISC"": []}",True,4.484,2026-01-18T14:29:05.968098
llama3.2_local_baseline_extraction,llama3.2,extraction,4,"{
  ""PER"": [
    ""United States""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""bar"",
    ""admission""
  ]
}","{""PER"": [], ""ORG"": [""Admission to the bar in the United States""], ""LOC"": [], ""MISC"": []}",False,0.957,2026-01-18T14:29:05.969062
llama3.2_local_baseline_extraction,llama3.2,extraction,5,"{
  ""PER"": [
    ""Willy Unger""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""Willy Unger""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,2.554,2026-01-18T14:29:05.971622
llama3.2_local_baseline_extraction,llama3.2,extraction,6,"{
  ""PER"": [],
  ""ORG"": [""Palermo""],
  ""LOC"": [""Palermo"", ""Cathedral""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Palermo Cathedral""], ""LOC"": [], ""MISC"": []}",False,1.392,2026-01-18T14:29:05.973018
llama3.2_local_baseline_extraction,llama3.2,extraction,7,"{
  ""PER"": [
    ""Ryan Atwood"",
    ""Marissa Cooper"",
    ""Seth Cohen"",
    ""Julie Cooper"",
    ""Steve Harrington""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""California"",
    ""Newport Beach""
  ],
  ""MISC"": []
}","{""PER"": [""List of The O.C. characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,1.4,2026-01-18T14:29:05.974430
llama3.2_local_baseline_extraction,llama3.2,extraction,8,"{
  ""PER"": [],
  ""ORG"": [""Cardiff Royal Infirmary""],
  ""LOC"": [""Roath"", ""Cardiff""],
  ""MISC"": []
}","{""PER"": [], ""ORG"": [""Cardiff Royal Infirmary""], ""LOC"": [""Roath , Cardiff""], ""MISC"": []}",False,1.511,2026-01-18T14:29:05.975945
llama3.2_local_baseline_extraction,llama3.2,extraction,9,"{
  ""PER"": [
    ""Roger Houdet""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}","{""PER"": [""Roger Houdet""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,1.355,2026-01-18T14:29:05.977304
