experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,0,No,No,True,25461.847999999998,2026-02-08T14:15:33.637097
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,1,Yes,Yes,True,16152.591,2026-02-08T14:15:49.789733
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,2,None,Yes,False,24959.144,2026-02-08T14:16:14.748933
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,3,Yes,Yes,True,7696.085,2026-02-08T14:16:22.445051
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,4,Yes,Yes,True,14209.687,2026-02-08T14:16:36.654790
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,5,No,No,True,9509.147,2026-02-08T14:16:46.164012
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,6,None,Yes,False,25268.972999999998,2026-02-08T14:17:11.433063
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,7,None,Yes,False,25247.399999999998,2026-02-08T14:17:36.680540
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,8,None,Yes,False,24840.695,2026-02-08T14:18:01.521268
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,9,Yes,Yes,True,16856.383,2026-02-08T14:18:18.377676
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,10,Yes,Yes,True,10164.975999999999,2026-02-08T14:18:28.542718
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,11,No,No,True,9597.333,2026-02-08T14:18:38.140119
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,12,No,Yes,False,11755.393,2026-02-08T14:18:49.895575
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,13,None,Yes,False,25148.194,2026-02-08T14:19:15.043837
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,14,Yes,Yes,True,8148.485000000001,2026-02-08T14:19:23.192354
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,15,None,Yes,False,24916.951999999997,2026-02-08T14:19:48.109369
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,16,None,Yes,False,25162.976,2026-02-08T14:20:13.272376
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,17,Yes,Yes,True,23004.418999999998,2026-02-08T14:20:36.276820
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,18,None,Yes,False,25309.286,2026-02-08T14:21:01.586189
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,19,None,Yes,False,25032.682,2026-02-08T14:21:26.618907
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,20,No,No,True,22531.641,2026-02-08T14:21:49.150570
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,21,Yes,Yes,True,20773.464,2026-02-08T14:22:09.924089
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,22,No,Yes,False,21789.368,2026-02-08T14:22:31.713517
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,23,Yes,Yes,True,39139.726,2026-02-08T14:23:10.853298
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,24,No,Yes,False,12867.654999999999,2026-02-08T14:23:23.721036
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,25,Yes,Yes,True,21021.547000000002,2026-02-08T14:23:44.742631
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,26,No,Yes,False,25192.058,2026-02-08T14:24:09.934761
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,27,No,No,True,11172.269999999999,2026-02-08T14:24:21.107089
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,28,Yes,Yes,True,8973.345,2026-02-08T14:24:30.080506
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,29,Yes,Yes,True,11552.778,2026-02-08T14:24:41.633330
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,30,Yes,Yes,True,10856.557,2026-02-08T14:24:52.489916
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,31,Yes,Yes,True,7793.562,2026-02-08T14:25:00.283532
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,32,No,No,True,11356.762,2026-02-08T14:25:11.643756
qwen3:4b_local_baseline_analysis,qwen3:4b,analysis,33,None,Yes,False,25140.392,2026-02-08T14:25:36.784228
