experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen3:4b_local_baseline_math,qwen3:4b,math,0,18,18,True,23876.09,2026-02-08T13:36:04.161404
qwen3:4b_local_baseline_math,qwen3:4b,math,1,3,3,True,5793.947,2026-02-08T13:36:09.955395
qwen3:4b_local_baseline_math,qwen3:4b,math,2,None,70000,False,24897.272,2026-02-08T13:36:34.852688
qwen3:4b_local_baseline_math,qwen3:4b,math,3,540,540,True,14725.891000000001,2026-02-08T13:36:49.578596
qwen3:4b_local_baseline_math,qwen3:4b,math,4,None,20,False,25034.88,2026-02-08T13:37:14.613497
qwen3:4b_local_baseline_math,qwen3:4b,math,5,64,64,True,50717.658,2026-02-08T13:38:05.331175
qwen3:4b_local_baseline_math,qwen3:4b,math,6,260,260,True,15129.761,2026-02-08T13:38:20.460955
qwen3:4b_local_baseline_math,qwen3:4b,math,7,None,160,False,25040.728000000003,2026-02-08T13:38:45.501716
qwen3:4b_local_baseline_math,qwen3:4b,math,8,None,45,False,25219.024,2026-02-08T13:39:10.720761
qwen3:4b_local_baseline_math,qwen3:4b,math,9,$460,460,False,12301.918000000001,2026-02-08T13:39:23.022704
qwen3:4b_local_baseline_math,qwen3:4b,math,10,366,366,True,53018.772,2026-02-08T13:40:16.041521
qwen3:4b_local_baseline_math,qwen3:4b,math,11,$694,694,False,16040.573999999999,2026-02-08T13:40:32.082141
qwen3:4b_local_baseline_math,qwen3:4b,math,12,None,13,False,24977.617,2026-02-08T13:40:57.059809
qwen3:4b_local_baseline_math,qwen3:4b,math,13,None,18,False,24925.662,2026-02-08T13:41:21.985528
qwen3:4b_local_baseline_math,qwen3:4b,math,14,None,60,False,50089.937999999995,2026-02-08T13:42:12.075488
qwen3:4b_local_baseline_math,qwen3:4b,math,15,None,125,False,25228.645,2026-02-08T13:42:37.304208
qwen3:4b_local_baseline_math,qwen3:4b,math,16,230,230,True,20083.535,2026-02-08T13:42:57.387797
qwen3:4b_local_baseline_math,qwen3:4b,math,17,57500,57500,True,49537.384000000005,2026-02-08T13:43:46.925201
qwen3:4b_local_baseline_math,qwen3:4b,math,18,7,7,True,17108.732,2026-02-08T13:44:04.033984
qwen3:4b_local_baseline_math,qwen3:4b,math,19,None,6,False,24909.941,2026-02-08T13:44:28.943972
qwen3:4b_local_baseline_math,qwen3:4b,math,20,None,15,False,50043.426,2026-02-08T13:45:18.987466
qwen3:4b_local_baseline_math,qwen3:4b,math,21,None,14,False,25023.254999999997,2026-02-08T13:45:44.010775
qwen3:4b_local_baseline_math,qwen3:4b,math,22,7,7,True,10849.282000000001,2026-02-08T13:45:54.860123
qwen3:4b_local_baseline_math,qwen3:4b,math,23,8,8,True,12246.59,2026-02-08T13:46:07.106772
qwen3:4b_local_baseline_math,qwen3:4b,math,24,$26.00,26,False,14710.482,2026-02-08T13:46:21.817313
qwen3:4b_local_baseline_math,qwen3:4b,math,25,2,2,True,19160.558999999997,2026-02-08T13:46:40.977946
qwen3:4b_local_baseline_math,qwen3:4b,math,26,243,243,True,45852.921,2026-02-08T13:47:26.830930
qwen3:4b_local_baseline_math,qwen3:4b,math,27,$16.00,16,False,15895.611,2026-02-08T13:47:42.726596
qwen3:4b_local_baseline_math,qwen3:4b,math,28,25,25,True,14373.753,2026-02-08T13:47:57.100410
qwen3:4b_local_baseline_math,qwen3:4b,math,29,104,104,True,21311.12,2026-02-08T13:48:18.411591
qwen3:4b_local_baseline_math,qwen3:4b,math,30,109,109,True,16601.404,2026-02-08T13:48:35.013066
qwen3:4b_local_baseline_math,qwen3:4b,math,31,None,80,False,24901.458000000002,2026-02-08T13:48:59.914591
qwen3:4b_local_baseline_math,qwen3:4b,math,32,35,35,True,9003.554,2026-02-08T13:49:08.918209
qwen3:4b_local_baseline_math,qwen3:4b,math,33,70,70,True,11125.673,2026-02-08T13:49:20.043958
qwen3:4b_local_baseline_math,qwen3:4b,math,34,23,23,True,17932.173,2026-02-08T13:49:37.976253
qwen3:4b_local_baseline_math,qwen3:4b,math,35,9,9,True,18516.469,2026-02-08T13:49:56.492933
qwen3:4b_local_baseline_math,qwen3:4b,math,36,$75.00,75,False,13435.055999999999,2026-02-08T13:50:09.928040
qwen3:4b_local_baseline_math,qwen3:4b,math,37,None,2,False,24890.523999999998,2026-02-08T13:50:34.818626
qwen3:4b_local_baseline_math,qwen3:4b,math,38,None,10,False,24813.973,2026-02-08T13:50:59.632668
qwen3:4b_local_baseline_math,qwen3:4b,math,39,None,18,False,24918.226000000002,2026-02-08T13:51:24.550958
qwen3:4b_local_baseline_math,qwen3:4b,math,40,None,8,False,24813.369000000002,2026-02-08T13:51:49.364392
qwen3:4b_local_baseline_math,qwen3:4b,math,41,None,200,False,25101.545000000002,2026-02-08T13:52:14.465992
qwen3:4b_local_baseline_math,qwen3:4b,math,42,26,26,True,9440.172,2026-02-08T13:52:23.906229
qwen3:4b_local_baseline_math,qwen3:4b,math,43,None,48,False,49963.83,2026-02-08T13:53:13.870106
qwen3:4b_local_baseline_math,qwen3:4b,math,44,20,20,True,56373.381,2026-02-08T13:54:10.243553
qwen3:4b_local_baseline_math,qwen3:4b,math,45,None,104,False,25176.935,2026-02-08T13:54:35.420558
qwen3:4b_local_baseline_math,qwen3:4b,math,46,163,163,True,13971.086,2026-02-08T13:54:49.391713
qwen3:4b_local_baseline_math,qwen3:4b,math,47,None,800,False,24841.144,2026-02-08T13:55:14.232921
qwen3:4b_local_baseline_math,qwen3:4b,math,48,8,8,True,10153.33,2026-02-08T13:55:24.386407
qwen3:4b_local_baseline_math,qwen3:4b,math,49,30,30,True,14947.893,2026-02-08T13:55:39.334372
