experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
mistral:latest_local_baseline_classification,mistral:latest,classification,0,lost_or_stolen_card,card_arrival,False,3.798,2026-01-22T23:01:02.135210
mistral:latest_local_baseline_classification,mistral:latest,classification,1,order_physical_card,card_arrival,False,1.048,2026-01-22T23:01:02.136268
mistral:latest_local_baseline_classification,mistral:latest,classification,2,card_delivery_estimate,card_arrival,False,3.3089999999999997,2026-01-22T23:01:02.139582
mistral:latest_local_baseline_classification,mistral:latest,classification,3,card_delivery_estimate,card_arrival,False,3.349,2026-01-22T23:01:02.142938
mistral:latest_local_baseline_classification,mistral:latest,classification,4,order_physical_card,card_arrival,False,2.505,2026-01-22T23:01:02.145449
mistral:latest_local_baseline_classification,mistral:latest,classification,5,card_delivery_estimate,card_arrival,False,5.6499999999999995,2026-01-22T23:01:02.151104
mistral:latest_local_baseline_classification,mistral:latest,classification,6,card_delivery_estimate,card_arrival,False,2.493,2026-01-22T23:01:02.153602
mistral:latest_local_baseline_classification,mistral:latest,classification,7,card_delivery_estimate,card_arrival,False,1.578,2026-01-22T23:01:02.155190
mistral:latest_local_baseline_classification,mistral:latest,classification,8,card_delivery_estimate,card_arrival,False,1.4569999999999999,2026-01-22T23:01:02.156651
mistral:latest_local_baseline_classification,mistral:latest,classification,9,card_delivery_estimate,card_arrival,False,1.529,2026-01-22T23:01:02.158186
mistral:latest_local_baseline_classification,mistral:latest,classification,10,card_tracking,card_arrival,False,1.276,2026-01-22T23:01:02.159465
mistral:latest_local_baseline_classification,mistral:latest,classification,11,card_delivery_estimate,card_arrival,False,1.4929999999999999,2026-01-22T23:01:02.160961
mistral:latest_local_baseline_classification,mistral:latest,classification,12,getting_physical_card,card_arrival,False,1.59,2026-01-22T23:01:02.162555
mistral:latest_local_baseline_classification,mistral:latest,classification,13,card_delivery_estimate,card_arrival,False,1.648,2026-01-22T23:01:02.164207
mistral:latest_local_baseline_classification,mistral:latest,classification,14,card_delivery_estimate,card_arrival,False,1.56,2026-01-22T23:01:02.165772
mistral:latest_local_baseline_classification,mistral:latest,classification,15,card_delivery_estimate,card_arrival,False,1.5430000000000001,2026-01-22T23:01:02.167319
mistral:latest_local_baseline_classification,mistral:latest,classification,16,getting_physical_card,card_arrival,False,1.4989999999999999,2026-01-22T23:01:02.168821
mistral:latest_local_baseline_classification,mistral:latest,classification,17,card_delivery_estimate,card_arrival,False,1.539,2026-01-22T23:01:02.170364
mistral:latest_local_baseline_classification,mistral:latest,classification,18,card_delivery_estimate,card_arrival,False,1.4569999999999999,2026-01-22T23:01:02.171826
mistral:latest_local_baseline_classification,mistral:latest,classification,19,lost_or_stolen_card,card_arrival,False,1.512,2026-01-22T23:01:02.173341
mistral:latest_local_baseline_classification,mistral:latest,classification,20,lost_or_stolen_card,card_arrival,False,1.373,2026-01-22T23:01:02.174717
mistral:latest_local_baseline_classification,mistral:latest,classification,21,card_delivery_estimate,card_arrival,False,1.487,2026-01-22T23:01:02.176211
mistral:latest_local_baseline_classification,mistral:latest,classification,22,card_delivery_estimate,card_arrival,False,1.838,2026-01-22T23:01:02.178052
mistral:latest_local_baseline_classification,mistral:latest,classification,23,order_physical_card,card_arrival,False,1.659,2026-01-22T23:01:02.179716
mistral:latest_local_baseline_classification,mistral:latest,classification,24,card_delivery_estimate,card_arrival,False,1.681,2026-01-22T23:01:02.181400
mistral:latest_local_baseline_classification,mistral:latest,classification,25,card_delivery_estimate,card_arrival,False,1.5690000000000002,2026-01-22T23:01:02.182973
mistral:latest_local_baseline_classification,mistral:latest,classification,26,order_physical_card,card_arrival,False,1.426,2026-01-22T23:01:02.184402
mistral:latest_local_baseline_classification,mistral:latest,classification,27,card_delivery_estimate,card_arrival,False,1.3290000000000002,2026-01-22T23:01:02.185734
mistral:latest_local_baseline_classification,mistral:latest,classification,28,"order_physical_card, getting_spare_card",card_arrival,False,1.234,2026-01-22T23:01:02.186972
mistral:latest_local_baseline_classification,mistral:latest,classification,29,order_physical_card,card_arrival,False,1.466,2026-01-22T23:01:02.188441
