experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2_baseline_agentic,gpt-5.2,agentic,0,No,No,True,85.669,0,0,0.0,2026-02-07T12:23:32.502782
gpt-5.2_baseline_agentic,gpt-5.2,agentic,1,No,No,True,1.135,0,0,0.0,2026-02-07T12:23:32.503939
gpt-5.2_baseline_agentic,gpt-5.2,agentic,2,No,No,True,1.124,0,0,0.0,2026-02-07T12:23:32.505076
gpt-5.2_baseline_agentic,gpt-5.2,agentic,3,Yes,No,False,1.206,0,0,0.0,2026-02-07T12:23:32.506295
gpt-5.2_baseline_agentic,gpt-5.2,agentic,4,No,No,True,1.1800000000000002,0,0,0.0,2026-02-07T12:23:32.507490
gpt-5.2_baseline_agentic,gpt-5.2,agentic,5,Yes,Yes,True,3262.315,192,96,0.0048000000000000004,2026-02-07T12:23:35.769818
gpt-5.2_baseline_agentic,gpt-5.2,agentic,6,No,Yes,False,2751.578,185,122,0.00551,2026-02-07T12:23:38.521422
gpt-5.2_baseline_agentic,gpt-5.2,agentic,7,No,No,True,4235.927000000001,185,128,0.00569,2026-02-07T12:23:42.757386
gpt-5.2_baseline_agentic,gpt-5.2,agentic,8,No,No,True,4636.577,193,244,0.00925,2026-02-07T12:23:47.393989
gpt-5.2_baseline_agentic,gpt-5.2,agentic,9,Yes,Yes,True,2642.732,184,113,0.00523,2026-02-07T12:23:50.036744
gpt-5.2_baseline_agentic,gpt-5.2,agentic,10,No,Yes,False,3022.153,184,82,0.0043,2026-02-07T12:23:53.058919
gpt-5.2_baseline_agentic,gpt-5.2,agentic,11,No,No,True,1586.147,191,85,0.00446,2026-02-07T12:23:54.645084
gpt-5.2_baseline_agentic,gpt-5.2,agentic,12,No,No,True,2657.773,186,71,0.00399,2026-02-07T12:23:57.302879
gpt-5.2_baseline_agentic,gpt-5.2,agentic,13,No,Yes,False,2257.05,189,112,0.00525,2026-02-07T12:23:59.559950
gpt-5.2_baseline_agentic,gpt-5.2,agentic,14,Yes,No,False,2724.9370000000004,192,136,0.006,2026-02-07T12:24:02.284907
gpt-5.2_baseline_agentic,gpt-5.2,agentic,15,No,No,True,2196.8849999999998,185,106,0.00503,2026-02-07T12:24:04.481812
gpt-5.2_baseline_agentic,gpt-5.2,agentic,16,Yes,Yes,True,2399.862,189,93,0.00468,2026-02-07T12:24:06.881701
gpt-5.2_baseline_agentic,gpt-5.2,agentic,17,Yes,Yes,True,2071.444,187,61,0.0037,2026-02-07T12:24:08.953174
gpt-5.2_baseline_agentic,gpt-5.2,agentic,18,No,No,True,1777.3220000000001,185,88,0.00449,2026-02-07T12:24:10.730518
gpt-5.2_baseline_agentic,gpt-5.2,agentic,19,No,No,True,1520.26,183,51,0.00336,2026-02-07T12:24:12.250803
gpt-5.2_baseline_agentic,gpt-5.2,agentic,20,No,No,True,2848.4669999999996,190,135,0.00595,2026-02-07T12:24:15.099297
gpt-5.2_baseline_agentic,gpt-5.2,agentic,21,No,No,True,2806.779,189,139,0.00606,2026-02-07T12:24:17.906102
gpt-5.2_baseline_agentic,gpt-5.2,agentic,22,Yes,Yes,True,3841.246,187,168,0.0069099999999999995,2026-02-07T12:24:21.747370
gpt-5.2_baseline_agentic,gpt-5.2,agentic,23,No,Yes,False,2256.735,182,61,0.00365,2026-02-07T12:24:24.004127
gpt-5.2_baseline_agentic,gpt-5.2,agentic,24,Yes,Yes,True,3887.85,191,166,0.00689,2026-02-07T12:24:27.891997
gpt-5.2_baseline_agentic,gpt-5.2,agentic,25,Yes,Yes,True,1427.4309999999998,184,56,0.00352,2026-02-07T12:24:29.319452
