experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
gpt-4o_local_baseline_synthesis,gpt-4o,synthesis,0,"Document: News article or document  
Reasoning: Let's think step by step in order to produce the summary. We start by identifying the main points of the document: Prison Link Cymru highlights the issue of ex-offenders facing homelessness due to a lack of suitable accommodation, with some living rough for up to a year. The charity argues that investing in housing would be more cost-effective than incarcerating homeless repeat offenders. The Welsh Government acknowledges the problem and is working on providing more affordable homes, but there is still a significant demand for one-bedroom flats. The document also includes personal accounts from ex-offenders and charity workers, emphasizing the need for better support and housing solutions.  
Summary: Ex-offenders in Wales face homelessness due to a lack of suitable housing, prompting calls for investment in accommodation as a cost-effective alternative to incarceration, while the Welsh Government works to address the demand for affordable homes.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",0.1560798548094374,5143.871,2026-02-05T22:28:42.142295
gpt-4o_local_baseline_synthesis,gpt-4o,synthesis,1,"Police in Edinburgh recovered firearms, ammunition, and a significant amount of money during searches, leading to the arrest and charging of a 26-year-old man.","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",0.45736434108527124,2054.97,2026-02-05T22:28:44.197300
gpt-4o_local_baseline_synthesis,gpt-4o,synthesis,2,"Four individuals in Chicago have been charged with hate crimes and other offenses for allegedly kidnapping and abusing an 18-year-old white male with disabilities, an incident that was broadcast on Facebook Live.","Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",0.4666666666666667,3977.29,2026-02-05T22:28:48.174608
gpt-4o_local_baseline_synthesis,gpt-4o,synthesis,3,"Document: The 48-year-old former Arsenal goalkeeper played for the Royals for four years. He was appointed youth academy director in 2000 and has been director of football since 2003. A West Brom statement said: ""He played a key role in the Championship club twice winning promotion to the Premier League in 2006 and 2012.""
Reasoning: Let's think step by step in order to produce the summary. We need to identify the key points in the document, such as the subject, their role, and any significant achievements or events mentioned. The document discusses a former Arsenal goalkeeper who played for the Royals, became youth academy director in 2000, and has been director of football since 2003, with a notable contribution to the club's promotions to the Premier League in 2006 and 2012.
Summary: The former Arsenal goalkeeper, who became Reading's director of football in 2003, played a key role in the club's promotions to the Premier League in 2006 and 2012.","West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",0.1780693533270853,4706.615,2026-02-05T22:28:52.881241
gpt-4o_local_baseline_synthesis,gpt-4o,synthesis,4,"A fasting-mimicking diet has shown potential in reversing diabetes symptoms in mice by regenerating pancreatic beta cells, but further human studies are needed, and experts advise against unsupervised attempts.","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",0.4102564102564103,2549.809,2026-02-05T22:28:55.431064
gpt-4o_local_baseline_synthesis,gpt-4o,synthesis,5,"The proposed merger between eyewear giants Essilor and Luxottica raises concerns about market dominance and reduced competition, prompting scrutiny from competition authorities.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",0.4417910447761194,3015.909,2026-02-05T22:28:58.446987
gpt-4o_local_baseline_synthesis,gpt-4o,synthesis,6,"Former Olympic cyclist Wendy Houvenaghel has accused British Cycling of ageism and neglecting athlete welfare, amid broader criticisms of a win-at-all-costs culture within the organization.","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",0.375,2823.96,2026-02-05T22:29:01.270963
gpt-4o_local_baseline_synthesis,gpt-4o,synthesis,7,"Kareem Badr revitalized the Hideout comedy club in Austin, capitalizing on a national resurgence in comedy, while the industry benefits from digital media and diverse revenue streams.",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,0.4484848484848485,4905.4710000000005,2026-02-05T22:29:06.176466
gpt-4o_local_baseline_synthesis,gpt-4o,synthesis,8,"Document: News article or document  
Reasoning: Let's think step by step in order to produce the summary. We start by identifying the main points of the document: BT's shares rose after Ofcom decided not to break up the company due to practical obstacles, particularly related to its pension scheme. Ofcom plans to enforce separation by introducing a new board and articles of association for Openreach, which could lead to conflicts with BT's management. BT's CEO is open to compromise but acknowledges potential legal challenges if the new regulations conflict with BT's interests.  
Summary: BT's shares rose after Ofcom decided against breaking up the company due to pension scheme complications, but plans to enforce Openreach's separation could lead to future conflicts and legal challenges.","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",0.29591836734693877,4442.443,2026-02-05T22:29:10.618933
gpt-4o_local_baseline_synthesis,gpt-4o,synthesis,9,"Brendan Rodgers is preparing for his first visit to Hampden Park as Celtic manager, aiming to replicate their previous victory against Rangers and improve on past performances at the venue.",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,0.46808510638297873,2007.5669999999998,2026-02-05T22:29:12.626518
