experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_analysis,llama3.2,analysis,0,Yes,No,False,3.628,2026-01-18T14:28:52.116011
llama3.2_local_baseline_analysis,llama3.2,analysis,1,No,Yes,False,0.8109999999999999,2026-01-18T14:28:52.116829
llama3.2_local_baseline_analysis,llama3.2,analysis,2,Yes,Yes,True,3.2889999999999997,2026-01-18T14:28:52.120123
llama3.2_local_baseline_analysis,llama3.2,analysis,3,Yes,Yes,True,6.247,2026-01-18T14:28:52.126375
llama3.2_local_baseline_analysis,llama3.2,analysis,4,Yes,Yes,True,1.638,2026-01-18T14:28:52.128018
llama3.2_local_baseline_analysis,llama3.2,analysis,5,No,No,True,1.188,2026-01-18T14:28:52.129212
llama3.2_local_baseline_analysis,llama3.2,analysis,6,No,Yes,False,0.9700000000000001,2026-01-18T14:28:52.130186
llama3.2_local_baseline_analysis,llama3.2,analysis,7,No,Yes,False,2.415,2026-01-18T14:28:52.132614
llama3.2_local_baseline_analysis,llama3.2,analysis,8,No,Yes,False,1.5250000000000001,2026-01-18T14:28:52.134143
llama3.2_local_baseline_analysis,llama3.2,analysis,9,Yes,Yes,True,1.492,2026-01-18T14:28:52.135639
llama3.2_local_baseline_analysis,llama3.2,analysis,10,Yes,Yes,True,1.5610000000000002,2026-01-18T14:28:52.137203
llama3.2_local_baseline_analysis,llama3.2,analysis,11,No,No,True,1.452,2026-01-18T14:28:52.138658
llama3.2_local_baseline_analysis,llama3.2,analysis,12,Yes,Yes,True,1.4300000000000002,2026-01-18T14:28:52.140091
llama3.2_local_baseline_analysis,llama3.2,analysis,13,Yes,Yes,True,1.369,2026-01-18T14:28:52.141464
llama3.2_local_baseline_analysis,llama3.2,analysis,14,Yes,Yes,True,1.4020000000000001,2026-01-18T14:28:52.142871
llama3.2_local_baseline_analysis,llama3.2,analysis,15,No,Yes,False,1.408,2026-01-18T14:28:52.144282
llama3.2_local_baseline_analysis,llama3.2,analysis,16,No,Yes,False,1.3639999999999999,2026-01-18T14:28:52.145649
llama3.2_local_baseline_analysis,llama3.2,analysis,17,Yes,Yes,True,1.464,2026-01-18T14:28:52.147117
llama3.2_local_baseline_analysis,llama3.2,analysis,18,No,Yes,False,1.436,2026-01-18T14:28:52.148556
llama3.2_local_baseline_analysis,llama3.2,analysis,19,Yes,Yes,True,1.3860000000000001,2026-01-18T14:28:52.149945
llama3.2_local_baseline_analysis,llama3.2,analysis,20,No,No,True,1.3960000000000001,2026-01-18T14:28:52.151344
llama3.2_local_baseline_analysis,llama3.2,analysis,21,Yes,Yes,True,1.236,2026-01-18T14:28:52.152583
llama3.2_local_baseline_analysis,llama3.2,analysis,22,No,Yes,False,1.4909999999999999,2026-01-18T14:28:52.154077
llama3.2_local_baseline_analysis,llama3.2,analysis,23,Yes,Yes,True,1.351,2026-01-18T14:28:52.155433
llama3.2_local_baseline_analysis,llama3.2,analysis,24,No,Yes,False,1.596,2026-01-18T14:28:52.157032
llama3.2_local_baseline_analysis,llama3.2,analysis,25,Yes,Yes,True,1.667,2026-01-18T14:28:52.158703
llama3.2_local_baseline_analysis,llama3.2,analysis,26,Yes,Yes,True,1.603,2026-01-18T14:28:52.160310
llama3.2_local_baseline_analysis,llama3.2,analysis,27,Yes,No,False,1.673,2026-01-18T14:28:52.161988
llama3.2_local_baseline_analysis,llama3.2,analysis,28,Yes,Yes,True,1.542,2026-01-18T14:28:52.163533
llama3.2_local_baseline_analysis,llama3.2,analysis,29,Yes,Yes,True,1.524,2026-01-18T14:28:52.165061
llama3.2_local_baseline_analysis,llama3.2,analysis,30,Yes,Yes,True,1.549,2026-01-18T14:28:52.166614
