experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,0,Denver Broncos,Denver Broncos,True,8270.706,2026-02-06T21:34:02.495784
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,1,Carolina Panthers,Carolina Panthers,True,3389.484,2026-02-06T21:34:05.885286
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,2,"Levi's Stadium in Santa Clara, California","Santa Clara, California",True,2204.8559999999998,2026-02-06T21:34:08.090178
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,3,Denver Broncos,Denver Broncos,True,2661.101,2026-02-06T21:34:10.751311
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,4,gold,gold,True,2080.4680000000003,2026-02-06T21:34:12.831808
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,5,gold,"""golden anniversary""",True,1926.463,2026-02-06T21:34:14.758289
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,6,"February 7, 2016","February 7, 2016",True,2342.7039999999997,2026-02-06T21:34:17.101031
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,7,AFC,American Football Conference,False,2095.252,2026-02-06T21:34:19.196355
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,8,gold,"""golden anniversary""",True,3.2680000000000002,2026-02-06T21:34:19.199665
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,9,American Football Conference,American Football Conference,True,1674.364,2026-02-06T21:34:20.874046
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,10,"February 7, 2016","February 7, 2016",True,2275.283,2026-02-06T21:34:23.149371
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,11,Denver Broncos,Denver Broncos,True,2652.38,2026-02-06T21:34:25.801790
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,12,Levi's Stadium,Levi's Stadium,True,2641.4339999999997,2026-02-06T21:34:28.443239
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,13,Santa Clara,Santa Clara,True,2190.405,2026-02-06T21:34:30.633662
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,14,Super Bowl L,Super Bowl L,True,3509.0150000000003,2026-02-06T21:34:34.142707
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,15,the 2015 season,2015,True,2507.31,2026-02-06T21:34:36.650037
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,16,2016,2015,False,3622.5049999999997,2026-02-06T21:34:40.272565
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,17,Santa Clara,Santa Clara,True,2.702,2026-02-06T21:34:40.275295
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,18,Levi's Stadium,Levi's Stadium,True,2650.684,2026-02-06T21:34:42.925997
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,19,24–10,24–10,True,2760.532,2026-02-06T21:34:45.686548
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,20,"February 7, 2016","February 7, 2016",True,2274.4230000000002,2026-02-06T21:34:47.961009
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,21,2016,2015,False,2832.334,2026-02-06T21:34:50.793369
qwen2.5:7b_local_baseline_rag,qwen2.5:7b,rag,22,Denver Broncos,Denver Broncos,True,2377.245,2026-02-06T21:34:53.170633
