experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-4o_baseline_qa,gpt-4o,qa,0,"Yes, both Scott Derrickson and Ed Wood were American.",yes,False,6.315,179,102,0.0014675,2026-01-19T15:21:02.545434
gpt-4o_baseline_qa,gpt-4o,qa,1,U.S. Ambassador,Chief of Protocol,False,4.333,188,112,0.0015899999999999,2026-01-19T15:21:02.549785
gpt-4o_baseline_qa,gpt-4o,qa,2,Animorphs,Animorphs,True,5.388999999999999,197,121,0.0017025,2026-01-19T15:21:02.555191
gpt-4o_baseline_qa,gpt-4o,qa,3,"No, they are not located in the same neighborhood.",no,False,4.209,183,123,0.0016875,2026-01-19T15:21:02.559415
gpt-4o_baseline_qa,gpt-4o,qa,4,New York City,"Greenwich Village, New York City",False,2.529,186,76,0.001225,2026-01-19T15:21:02.561959
gpt-4o_baseline_qa,gpt-4o,qa,5,YG Entertainment,YG Entertainment,True,2.143,187,102,0.0014875,2026-01-19T15:21:02.564115
gpt-4o_baseline_qa,gpt-4o,qa,6,The specific individual known as Aladin in this context is not widely recognized in public records.,Eenasul Fateh,False,1.049,186,115,0.001615,2026-01-19T15:21:02.565174
gpt-4o_baseline_qa,gpt-4o,qa,7,"3,677","3,677 seated",False,1.0970000000000002,186,87,0.001335,2026-01-19T15:21:02.566289
gpt-4o_baseline_qa,gpt-4o,qa,8,Terry Richardson,Terry Richardson,True,1.732,177,82,0.0012625,2026-01-19T15:21:02.568031
gpt-4o_baseline_qa,gpt-4o,qa,9,"Yes, both Local H and For Against are from the United States.",yes,False,1.117,179,95,0.0013975,2026-01-19T15:21:02.569159
gpt-4o_baseline_qa,gpt-4o,qa,10,I'm a Jayhawk,Kansas Song,False,1.017,198,63,0.001125,2026-01-19T15:21:02.570184
gpt-4o_baseline_qa,gpt-4o,qa,11,David Diamond and David Weissman,David Weissman,False,2.315,190,92,0.001395,2026-01-19T15:21:02.572510
gpt-4o_baseline_qa,gpt-4o,qa,12,1999,1999,True,1.662,191,90,0.0013775,2026-01-19T15:21:02.574182
gpt-4o_baseline_qa,gpt-4o,qa,13,"Yes, both are used for real estate.",no,False,1.3259999999999998,184,152,0.00198,2026-01-19T15:21:02.575517
gpt-4o_baseline_qa,gpt-4o,qa,14,1986 to 2013,from 1986 to 2013,False,1.503,181,87,0.0013224999999999,2026-01-19T15:21:02.577029
gpt-4o_baseline_qa,gpt-4o,qa,15,Approximately 331 million inhabitants,"9,984",False,1.851,184,54,0.001,2026-01-19T15:21:02.578888
gpt-4o_baseline_qa,gpt-4o,qa,16,North Atlantic Conference,the North Atlantic Conference,False,1.242,196,67,0.00116,2026-01-19T15:21:02.580139
gpt-4o_baseline_qa,gpt-4o,qa,17,"Yes, Giuseppe Verdi and Ambroise Thomas are both opera composers.",yes,False,1.42,180,144,0.00189,2026-01-19T15:21:02.581569
