experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen3:4b_local_baseline_code,qwen3:4b,code,0,None,"    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False
",False,25674.082,2026-02-08T16:21:57.381531
qwen3:4b_local_baseline_code,qwen3:4b,code,1,None,"    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
",False,26315.273999999998,2026-02-08T16:22:23.696816
qwen3:4b_local_baseline_code,qwen3:4b,code,2,None,"    return number % 1.0
",False,50237.788,2026-02-08T16:23:13.934620
qwen3:4b_local_baseline_code,qwen3:4b,code,3,"def below_zero(operations: List[int]) -> bool:
    balance = 0
    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
",True,19056.968999999997,2026-02-08T16:23:32.991618
qwen3:4b_local_baseline_code,qwen3:4b,code,4,def mean_absolute_deviation(numbers: List[float]) -> float:\n    mean = sum(numbers) / len(numbers)\n    return sum(abs(x - mean) for x in numbers) / len(numbers),"    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
",False,52484.398,2026-02-08T16:24:25.476072
qwen3:4b_local_baseline_code,qwen3:4b,code,5,None,"    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
",False,50492.493,2026-02-08T16:25:15.968589
qwen3:4b_local_baseline_code,qwen3:4b,code,6,None,"    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
",False,25244.167,2026-02-08T16:25:41.212769
qwen3:4b_local_baseline_code,qwen3:4b,code,7,"def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [s for s in strings if substring in s]","    return [x for x in strings if substring in x]
",True,17585.853,2026-02-08T16:25:58.798658
qwen3:4b_local_baseline_code,qwen3:4b,code,8,None,"    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
",False,25118.314000000002,2026-02-08T16:26:23.917021
qwen3:4b_local_baseline_code,qwen3:4b,code,9,None,"    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
",False,25126.563000000002,2026-02-08T16:26:49.043596
qwen3:4b_local_baseline_code,qwen3:4b,code,10,None,"    if not string:
        return ''

    beginning_of_suffix = 0

    while not is_palindrome(string[beginning_of_suffix:]):
        beginning_of_suffix += 1

    return string + string[:beginning_of_suffix][::-1]
",False,25343.83,2026-02-08T16:27:14.387447
qwen3:4b_local_baseline_code,qwen3:4b,code,11,None,"    def xor(i, j):
        if i == j:
            return '0'
        else:
            return '1'

    return ''.join(xor(x, y) for x, y in zip(a, b))
",False,25039.465,2026-02-08T16:27:39.426919
qwen3:4b_local_baseline_code,qwen3:4b,code,12,None,"    if not strings:
        return None

    maxlen = max(len(x) for x in strings)
    for s in strings:
        if len(s) == maxlen:
            return s
",False,25082.089,2026-02-08T16:28:04.509015
qwen3:4b_local_baseline_code,qwen3:4b,code,13,None,"    while b:
        a, b = b, a % b
    return a
",False,24972.409,2026-02-08T16:28:29.481437
