experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
phi4_local_baseline_agentic,phi4,agentic,0,Yes,No,False,47871.561,2026-01-18T15:08:22.521822
phi4_local_baseline_agentic,phi4,agentic,1,No,No,True,18258.502,2026-01-18T15:08:40.780436
phi4_local_baseline_agentic,phi4,agentic,2,No,No,True,10898.356,2026-01-18T15:08:51.678833
phi4_local_baseline_agentic,phi4,agentic,3,No,No,True,16021.899000000001,2026-01-18T15:09:07.700817
phi4_local_baseline_agentic,phi4,agentic,4,No,No,True,24946.659,2026-01-18T15:09:32.648611
phi4_local_baseline_agentic,phi4,agentic,5,No,Yes,False,28851.171000000002,2026-01-18T15:10:01.500350
phi4_local_baseline_agentic,phi4,agentic,6,No,Yes,False,24955.675,2026-01-18T15:10:26.456262
phi4_local_baseline_agentic,phi4,agentic,7,No,No,True,23564.013,2026-01-18T15:10:50.020623
phi4_local_baseline_agentic,phi4,agentic,8,Yes,No,False,49448.814,2026-01-18T15:11:39.469984
phi4_local_baseline_agentic,phi4,agentic,9,Yes,Yes,True,29591.035,2026-01-18T15:12:09.063900
phi4_local_baseline_agentic,phi4,agentic,10,No,Yes,False,14825.957,2026-01-18T15:12:23.891043
phi4_local_baseline_agentic,phi4,agentic,11,No,No,True,13843.994,2026-01-18T15:12:37.735330
phi4_local_baseline_agentic,phi4,agentic,12,No,No,True,22025.167,2026-01-18T15:12:59.761950
phi4_local_baseline_agentic,phi4,agentic,13,No,Yes,False,30574.246,2026-01-18T15:13:30.337185
phi4_local_baseline_agentic,phi4,agentic,14,No,No,True,33725.199,2026-01-18T15:14:04.063348
phi4_local_baseline_agentic,phi4,agentic,15,No,No,True,24777.245,2026-01-18T15:14:28.840817
phi4_local_baseline_agentic,phi4,agentic,16,Yes,Yes,True,19268.703999999998,2026-01-18T15:14:48.109709
phi4_local_baseline_agentic,phi4,agentic,17,No,Yes,False,16372.312000000002,2026-01-18T15:15:04.483575
phi4_local_baseline_agentic,phi4,agentic,18,No,No,True,12582.595,2026-01-18T15:15:17.068343
phi4_local_baseline_agentic,phi4,agentic,19,No,No,True,30216.871000000003,2026-01-18T15:15:47.285268
phi4_local_baseline_agentic,phi4,agentic,20,Yes,No,False,16446.555,2026-01-18T15:16:03.733196
phi4_local_baseline_agentic,phi4,agentic,21,No,No,True,17653.607,2026-01-18T15:16:21.388096
phi4_local_baseline_agentic,phi4,agentic,22,No,Yes,False,26892.456,2026-01-18T15:16:48.280806
phi4_local_baseline_agentic,phi4,agentic,23,Yes,Yes,True,20493.17,2026-01-18T15:17:08.774049
phi4_local_baseline_agentic,phi4,agentic,24,Yes,Yes,True,18083.996,2026-01-18T15:17:26.858406
phi4_local_baseline_agentic,phi4,agentic,25,Yes,Yes,True,19152.667,2026-01-18T15:17:46.012080
phi4_local_baseline_agentic,phi4,agentic,26,No,No,True,17900.999,2026-01-18T15:18:03.913302
phi4_local_baseline_agentic,phi4,agentic,27,No,No,True,19889.237,2026-01-18T15:18:23.804749
phi4_local_baseline_agentic,phi4,agentic,28,No,Yes,False,21972.493,2026-01-18T15:18:45.778026
phi4_local_baseline_agentic,phi4,agentic,29,Yes,Yes,True,21182.786,2026-01-18T15:19:06.961450
phi4_local_baseline_agentic,phi4,agentic,30,Yes,Yes,True,37491.71,2026-01-18T15:19:44.453689
phi4_local_baseline_agentic,phi4,agentic,31,Yes,Yes,True,25349.516,2026-01-18T15:20:09.803386
phi4_local_baseline_agentic,phi4,agentic,32,No,No,True,17450.748,2026-01-18T15:20:27.254212
phi4_local_baseline_agentic,phi4,agentic,33,Yes,Yes,True,20630.469999999998,2026-01-18T15:20:47.885119
phi4_local_baseline_agentic,phi4,agentic,34,No,No,True,13932.905,2026-01-18T15:21:01.835036
phi4_local_baseline_agentic,phi4,agentic,35,No,Yes,False,21263.001,2026-01-18T15:21:23.098517
phi4_local_baseline_agentic,phi4,agentic,36,No,No,True,17464.003,2026-01-18T15:21:40.564559
phi4_local_baseline_agentic,phi4,agentic,37,No,Yes,False,16772.19,2026-01-18T15:21:57.337563
phi4_local_baseline_agentic,phi4,agentic,38,Yes,Yes,True,19183.157000000003,2026-01-18T15:22:16.521268
phi4_local_baseline_agentic,phi4,agentic,39,Yes,Yes,True,31463.182,2026-01-18T15:22:47.984716
phi4_local_baseline_agentic,phi4,agentic,40,No,No,True,24437.95,2026-01-18T15:23:12.423448
phi4_local_baseline_agentic,phi4,agentic,41,Yes,Yes,True,26977.515,2026-01-18T15:23:39.402949
phi4_local_baseline_agentic,phi4,agentic,42,Yes,Yes,True,32167.005000000005,2026-01-18T15:24:11.571418
phi4_local_baseline_agentic,phi4,agentic,43,No,Yes,False,22480.801,2026-01-18T15:24:34.053078
phi4_local_baseline_agentic,phi4,agentic,44,No,No,True,15465.023000000001,2026-01-18T15:24:49.520130
phi4_local_baseline_agentic,phi4,agentic,45,No,No,True,25575.795,2026-01-18T15:25:15.097209
phi4_local_baseline_agentic,phi4,agentic,46,No,No,True,12213.046999999999,2026-01-18T15:25:27.310672
phi4_local_baseline_agentic,phi4,agentic,47,No,No,True,17736.775,2026-01-18T15:25:45.052219
phi4_local_baseline_agentic,phi4,agentic,48,Yes,Yes,True,23203.786999999997,2026-01-18T15:26:08.260627
phi4_local_baseline_agentic,phi4,agentic,49,No,No,True,32155.137000000002,2026-01-18T15:26:40.420538
