experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-4o_baseline_classification,gpt-4o,classification,0,card_arrival,card_arrival,True,3.764,518,14,0.001435,2026-01-19T15:20:22.020021
gpt-4o_baseline_classification,gpt-4o,classification,1,card_arrival,card_arrival,True,2.392,527,14,0.0014575,2026-01-19T15:20:22.022427
gpt-4o_baseline_classification,gpt-4o,classification,2,card_arrival,card_arrival,True,1.642,524,14,0.0014500000000000001,2026-01-19T15:20:22.024081
gpt-4o_baseline_classification,gpt-4o,classification,3,card_arrival,card_arrival,True,1.661,523,14,0.0014475,2026-01-19T15:20:22.025752
gpt-4o_baseline_classification,gpt-4o,classification,4,card_arrival,card_arrival,True,1.1800000000000002,518,14,0.001435,2026-01-19T15:20:22.026940
gpt-4o_baseline_classification,gpt-4o,classification,5,card_arrival,card_arrival,True,0.8260000000000001,518,14,0.001435,2026-01-19T15:20:22.027774
gpt-4o_baseline_classification,gpt-4o,classification,6,card_delivery_estimate,card_arrival,False,0.8069999999999999,528,15,0.00147,2026-01-19T15:20:22.028588
gpt-4o_baseline_classification,gpt-4o,classification,7,card_arrival,card_arrival,True,0.9990000000000001,518,14,0.001435,2026-01-19T15:20:22.029603
gpt-4o_baseline_classification,gpt-4o,classification,8,card_arrival,card_arrival,True,0.9169999999999999,517,14,0.0014325,2026-01-19T15:20:22.030528
gpt-4o_baseline_classification,gpt-4o,classification,9,card_delivery_estimate,card_arrival,False,0.955,526,15,0.001465,2026-01-19T15:20:22.031488
gpt-4o_baseline_classification,gpt-4o,classification,10,card_arrival,card_arrival,True,0.771,518,14,0.001435,2026-01-19T15:20:22.032265
gpt-4o_baseline_classification,gpt-4o,classification,11,card_delivery_estimate,card_arrival,False,0.796,519,15,0.0014475,2026-01-19T15:20:22.033067
gpt-4o_baseline_classification,gpt-4o,classification,12,card_arrival,card_arrival,True,0.9079999999999999,528,14,0.00146,2026-01-19T15:20:22.033981
gpt-4o_baseline_classification,gpt-4o,classification,13,card_arrival,card_arrival,True,0.838,518,14,0.001435,2026-01-19T15:20:22.034825
gpt-4o_baseline_classification,gpt-4o,classification,14,card_delivery_estimate,card_arrival,False,0.829,528,15,0.00147,2026-01-19T15:20:22.035660
gpt-4o_baseline_classification,gpt-4o,classification,15,card_arrival,card_arrival,True,0.8260000000000001,533,14,0.0014725,2026-01-19T15:20:22.036491
gpt-4o_baseline_classification,gpt-4o,classification,16,card_delivery_estimate,card_arrival,False,0.911,521,15,0.0014524999999999998,2026-01-19T15:20:22.037408
gpt-4o_baseline_classification,gpt-4o,classification,17,card_delivery_estimate,card_arrival,False,0.733,518,15,0.001445,2026-01-19T15:20:22.038146
gpt-4o_baseline_classification,gpt-4o,classification,18,card_arrival,card_arrival,True,0.7969999999999999,524,14,0.0014500000000000001,2026-01-19T15:20:22.038949
gpt-4o_baseline_classification,gpt-4o,classification,19,card_arrival,card_arrival,True,0.687,525,14,0.0014524999999999998,2026-01-19T15:20:22.039642
gpt-4o_baseline_classification,gpt-4o,classification,20,card_arrival,card_arrival,True,0.855,523,14,0.0014475,2026-01-19T15:20:22.040503
gpt-4o_baseline_classification,gpt-4o,classification,21,card_delivery_estimate,card_arrival,False,0.886,518,15,0.001445,2026-01-19T15:20:22.041394
gpt-4o_baseline_classification,gpt-4o,classification,22,card_arrival,card_arrival,True,0.8899999999999999,521,14,0.0014424999999999998,2026-01-19T15:20:22.042291
gpt-4o_baseline_classification,gpt-4o,classification,23,card_delivery_estimate,card_arrival,False,1.006,530,15,0.001475,2026-01-19T15:20:22.043303
gpt-4o_baseline_classification,gpt-4o,classification,24,card_arrival,card_arrival,True,0.671,522,14,0.0014449999999999999,2026-01-19T15:20:22.043979
gpt-4o_baseline_classification,gpt-4o,classification,25,card_delivery_estimate,card_arrival,False,0.824,523,15,0.0014575,2026-01-19T15:20:22.044808
gpt-4o_baseline_classification,gpt-4o,classification,26,card_delivery_estimate,card_arrival,False,0.6859999999999999,527,15,0.0014675,2026-01-19T15:20:22.045499
gpt-4o_baseline_classification,gpt-4o,classification,27,card_delivery_estimate,card_arrival,False,1.014,528,15,0.00147,2026-01-19T15:20:22.046519
gpt-4o_baseline_classification,gpt-4o,classification,28,card_delivery_estimate,card_arrival,False,0.754,530,15,0.001475,2026-01-19T15:20:22.047279
gpt-4o_baseline_classification,gpt-4o,classification,29,card_delivery_estimate,card_arrival,False,0.754,520,15,0.00145,2026-01-19T15:20:22.048039
gpt-4o_baseline_classification,gpt-4o,classification,30,card_arrival,card_arrival,True,0.732,517,14,0.0014325,2026-01-19T15:20:22.048778
gpt-4o_baseline_classification,gpt-4o,classification,31,card_delivery_estimate,card_arrival,False,0.703,527,15,0.0014675,2026-01-19T15:20:22.049487
gpt-4o_baseline_classification,gpt-4o,classification,32,card_delivery_estimate,card_arrival,False,0.6849999999999999,521,15,0.0014524999999999998,2026-01-19T15:20:22.050177
gpt-4o_baseline_classification,gpt-4o,classification,33,card_delivery_estimate,card_arrival,False,0.892,521,15,0.0014524999999999998,2026-01-19T15:20:22.051076
gpt-4o_baseline_classification,gpt-4o,classification,34,card_delivery_estimate,card_arrival,False,0.905,524,15,0.0014600000000000001,2026-01-19T15:20:22.051986
gpt-4o_baseline_classification,gpt-4o,classification,35,card_delivery_estimate,card_arrival,False,0.9359999999999999,532,15,0.00148,2026-01-19T15:20:22.052929
gpt-4o_baseline_classification,gpt-4o,classification,36,card_arrival,card_arrival,True,0.837,529,14,0.0014624999999999998,2026-01-19T15:20:22.053772
gpt-4o_baseline_classification,gpt-4o,classification,37,card_delivery_estimate,card_arrival,False,1.0399999999999998,517,15,0.0014425,2026-01-19T15:20:22.054819
gpt-4o_baseline_classification,gpt-4o,classification,38,card_delivery_estimate,card_arrival,False,0.982,522,15,0.001455,2026-01-19T15:20:22.055807
gpt-4o_baseline_classification,gpt-4o,classification,39,card_delivery_estimate,card_arrival,False,0.799,523,15,0.0014575,2026-01-19T15:20:22.056615
gpt-4o_baseline_classification,gpt-4o,classification,40,card_linking,card_linking,True,0.773,521,14,0.0014424999999999998,2026-01-19T15:20:22.057394
gpt-4o_baseline_classification,gpt-4o,classification,41,card_not_working,card_linking,False,1.183,520,15,0.00145,2026-01-19T15:20:22.058584
gpt-4o_baseline_classification,gpt-4o,classification,42,card_linking,card_linking,True,0.607,519,14,0.0014375,2026-01-19T15:20:22.059196
gpt-4o_baseline_classification,gpt-4o,classification,43,card_linking,card_linking,True,1.004,527,14,0.0014575,2026-01-19T15:20:22.060205
gpt-4o_baseline_classification,gpt-4o,classification,44,card_linking,card_linking,True,0.758,522,14,0.0014449999999999999,2026-01-19T15:20:22.060971
gpt-4o_baseline_classification,gpt-4o,classification,45,card_linking,card_linking,True,0.76,533,14,0.0014725,2026-01-19T15:20:22.061738
