experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_qa,llama3.2,qa,0,Yes,yes,True,4.341,2026-01-21T06:44:38.159817
llama3.2_local_baseline_qa,llama3.2,qa,1,Governor of California,Chief of Protocol,False,2.735,2026-01-21T06:44:38.162560
llama3.2_local_baseline_qa,llama3.2,qa,2,"The Hunger Games trilogy, specifically the companion books ""The Ballad of Songbirds and Snakes"", ""The Burning World"", and ""The Road Before Us"".",Animorphs,False,3.284,2026-01-21T06:44:38.165849
llama3.2_local_baseline_qa,llama3.2,qa,3,Yes,no,False,2.9299999999999997,2026-01-21T06:44:38.168784
llama3.2_local_baseline_qa,llama3.2,qa,4,Buffalo,"Greenwich Village, New York City",False,5.704,2026-01-21T06:44:38.174494
llama3.2_local_baseline_qa,llama3.2,qa,5,SM Entertainment,YG Entertainment,False,2626.5809999999997,2026-01-21T06:44:40.801082
llama3.2_local_baseline_qa,llama3.2,qa,6,Sam Walton,Eenasul Fateh,False,873.467,2026-01-21T06:44:41.674575
llama3.2_local_baseline_qa,llama3.2,qa,7,"3,000","3,677 seated",False,892.559,2026-01-21T06:44:42.567170
llama3.2_local_baseline_qa,llama3.2,qa,8,Terry Richardson,Terry Richardson,True,893.645,2026-01-21T06:44:43.460835
llama3.2_local_baseline_qa,llama3.2,qa,9,Yes,yes,True,848.84,2026-01-21T06:44:44.309693
llama3.2_local_baseline_qa,llama3.2,qa,10,Massachusetts Marching Song (also known as the University of Kansas fight song),Kansas Song,False,1247.3110000000001,2026-01-21T06:44:45.557022
llama3.2_local_baseline_qa,llama3.2,qa,11,John Brancato,David Weissman,False,983.5500000000001,2026-01-21T06:44:46.540593
llama3.2_local_baseline_qa,llama3.2,qa,12,1991,1999,False,919.8870000000001,2026-01-21T06:44:47.460492
llama3.2_local_baseline_qa,llama3.2,qa,13,No,no,True,1500.8680000000002,2026-01-21T06:44:48.961382
llama3.2_local_baseline_qa,llama3.2,qa,14,Sir Alex Ferguson,from 1986 to 2013,False,889.273,2026-01-21T06:44:49.850665
llama3.2_local_baseline_qa,llama3.2,qa,15,approximately 11 million inhabitants,"9,984",False,1230.0690000000002,2026-01-21T06:44:51.080747
llama3.2_local_baseline_qa,llama3.2,qa,16,American North Conference,the North Atlantic Conference,False,974.924,2026-01-21T06:44:52.055699
llama3.2_local_baseline_qa,llama3.2,qa,17,Yes,yes,True,1088.212,2026-01-21T06:44:53.143958
llama3.2_local_baseline_qa,llama3.2,qa,18,George W. Bush,1969 until 1974,False,977.193,2026-01-21T06:44:54.121168
llama3.2_local_baseline_qa,llama3.2,qa,19,Robert Erskine Childers,Robert Erskine Childers DSC,False,968.85,2026-01-21T06:44:55.090042
llama3.2_local_baseline_qa,llama3.2,qa,20,Sergio Pérez,Pedro Rodríguez,False,1001.3080000000001,2026-01-21T06:44:56.091374
llama3.2_local_baseline_qa,llama3.2,qa,21,Miss Trunchbull from Matilda,Sonic,False,1222.15,2026-01-21T06:44:57.313545
llama3.2_local_baseline_qa,llama3.2,qa,22,iPod,keyboard function keys,False,1116.886,2026-01-21T06:44:58.430484
