experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
mistral:latest_local_baseline_qa,mistral:latest,qa,0,Yes,yes,True,7.877999999999999,2026-01-23T03:38:37.393077
mistral:latest_local_baseline_qa,mistral:latest,qa,1,Marla Maples is an American actress and not a government official.,Chief of Protocol,False,5.632,2026-01-23T03:38:37.398729
mistral:latest_local_baseline_qa,mistral:latest,qa,2,Mass Effect,Animorphs,False,7.438000000000001,2026-01-23T03:38:37.406189
mistral:latest_local_baseline_qa,mistral:latest,qa,3,No,no,True,7.117,2026-01-23T03:38:37.413319
mistral:latest_local_baseline_qa,mistral:latest,qa,4,New York City (unspecified location),"Greenwich Village, New York City",False,11.779,2026-01-23T03:38:37.425112
mistral:latest_local_baseline_qa,mistral:latest,qa,5,Big Hit Entertainment,YG Entertainment,False,22896.39,2026-01-23T03:39:00.321531
mistral:latest_local_baseline_qa,mistral:latest,qa,6,Alain Beltran (also known as Aladin),Eenasul Fateh,False,24807.597,2026-01-23T03:39:25.132132
mistral:latest_local_baseline_qa,mistral:latest,qa,7,"6,500","3,677 seated",False,17546.606,2026-01-23T03:39:42.678841
mistral:latest_local_baseline_qa,mistral:latest,qa,8,Annie Leibovitz,Terry Richardson,False,16561.413,2026-01-23T03:39:59.240311
mistral:latest_local_baseline_qa,mistral:latest,qa,9,Yes,yes,True,18282.775999999998,2026-01-23T03:40:17.523158
mistral:latest_local_baseline_qa,mistral:latest,qa,10,"""Crimson and Blue""",Kansas Song,False,13466.739,2026-01-23T03:40:30.989999
mistral:latest_local_baseline_qa,mistral:latest,qa,11,Ivan Raimi,David Weissman,False,11374.67,2026-01-23T03:40:42.364708
mistral:latest_local_baseline_qa,mistral:latest,qa,12,1993,1999,False,9823.222,2026-01-23T03:40:52.187953
mistral:latest_local_baseline_qa,mistral:latest,qa,13,Yes,no,False,13124.322,2026-01-23T03:41:05.312317
mistral:latest_local_baseline_qa,mistral:latest,qa,14,Alex Ferguson (1986-2013),from 1986 to 2013,False,12706.894999999999,2026-01-23T03:41:18.019296
mistral:latest_local_baseline_qa,mistral:latest,qa,15,The population of the United States (where Brown State Fishing Lake is located) was approximately 328 million inhabitants as of 2019.,"9,984",False,16803.712,2026-01-23T03:41:34.823058
mistral:latest_local_baseline_qa,mistral:latest,qa,16,Yankee Conference,the North Atlantic Conference,False,10509.351,2026-01-23T03:41:45.332476
mistral:latest_local_baseline_qa,mistral:latest,qa,17,Yes,yes,True,7463.099999999999,2026-01-23T03:41:52.795620
mistral:latest_local_baseline_qa,mistral:latest,qa,18,1977-1981,1969 until 1974,False,11716.824,2026-01-23T03:42:04.512491
mistral:latest_local_baseline_qa,mistral:latest,qa,19,Robert Erskine Childers,Robert Erskine Childers DSC,False,12813.643,2026-01-23T03:42:17.326235
mistral:latest_local_baseline_qa,mistral:latest,qa,20,Pedro Rodriguez,Pedro Rodríguez,False,15610.354,2026-01-23T03:42:32.936605
mistral:latest_local_baseline_qa,mistral:latest,qa,21,Gerald (Tuke),Sonic,False,12106.023000000001,2026-01-23T03:42:45.042730
mistral:latest_local_baseline_qa,mistral:latest,qa,22,Apple TV,keyboard function keys,False,11620.283000000001,2026-01-23T03:42:56.663032
mistral:latest_local_baseline_qa,mistral:latest,qa,23,Badly Drawn Boy,Badly Drawn Boy,True,13671.527,2026-01-23T03:43:10.334589
mistral:latest_local_baseline_qa,mistral:latest,qa,24,Peter Schmeichel,World's Best Goalkeeper,False,16209.423999999999,2026-01-23T03:43:26.544131
mistral:latest_local_baseline_qa,mistral:latest,qa,25,Lee Hazlewood,Barton Lee Hazlewood,False,17131.156,2026-01-23T03:43:43.675307
mistral:latest_local_baseline_qa,mistral:latest,qa,26,1838,1838,True,14398.587,2026-01-23T03:43:58.073935
mistral:latest_local_baseline_qa,mistral:latest,qa,27,Yes,yes,True,14795.263,2026-01-23T03:44:12.869248
mistral:latest_local_baseline_qa,mistral:latest,qa,28,Henry J. Kaiser,Henry J. Kaiser,True,18706.357,2026-01-23T03:44:31.575758
mistral:latest_local_baseline_qa,mistral:latest,qa,29,The Classic Quest,Arena of Khazan,False,14138.626,2026-01-23T03:44:45.714878
mistral:latest_local_baseline_qa,mistral:latest,qa,30,"October 26, 1990",2000,False,15387.017,2026-01-23T03:45:01.102011
mistral:latest_local_baseline_qa,mistral:latest,qa,31,Japan,"Fujioka, Gunma",False,12731.817,2026-01-23T03:45:13.833858
mistral:latest_local_baseline_qa,mistral:latest,qa,32,Charles Nungesser,Charles Eugène,False,18455.455,2026-01-23T03:45:32.289405
mistral:latest_local_baseline_qa,mistral:latest,qa,33,Freakonomics,no,False,19452.516,2026-01-23T03:45:51.741983
mistral:latest_local_baseline_qa,mistral:latest,qa,34,Screaming Trees,Letters to Cleo,False,13175.406,2026-01-23T03:46:04.917487
mistral:latest_local_baseline_qa,mistral:latest,qa,35,The Russian Revolution of 1917,October 1922,False,14984.234,2026-01-23T03:46:19.901766
mistral:latest_local_baseline_qa,mistral:latest,qa,36,Enrico Fermi worked in the United States since the late 1930s.,2000,False,21629.183999999997,2026-01-23T03:46:41.530976
mistral:latest_local_baseline_qa,mistral:latest,qa,37,World War I,World War II,False,12267.791000000001,2026-01-23T03:46:53.798832
mistral:latest_local_baseline_qa,mistral:latest,qa,38,Gerald R. Ford International Airport,no,False,9993.054,2026-01-23T03:47:03.791897
mistral:latest_local_baseline_qa,mistral:latest,qa,39,"Pittsburgh, Pennsylvania",New York City,False,10327.78,2026-01-23T03:47:14.119717
mistral:latest_local_baseline_qa,mistral:latest,qa,40,Manchester Terrier,Scotch Collie,False,17209.261000000002,2026-01-23T03:47:31.329025
mistral:latest_local_baseline_qa,mistral:latest,qa,41,"ThoughtWorks (headquartered in Chicago, United States)",Mumbai,False,17580.22,2026-01-23T03:47:48.909264
mistral:latest_local_baseline_qa,mistral:latest,qa,42,Akira Hiramoto (born in 1985),1962,False,17528.866,2026-01-23T03:48:06.438223
mistral:latest_local_baseline_qa,mistral:latest,qa,43,The Battle of Adwa secured Ethiopia's independence from Italian colonial rule.,sovereignty,False,16826.443000000003,2026-01-23T03:48:23.264730
mistral:latest_local_baseline_qa,mistral:latest,qa,44,Harry S. Truman,Nelson Rockefeller,False,15643.966,2026-01-23T03:48:38.908787
mistral:latest_local_baseline_qa,mistral:latest,qa,45,Firth of Forth,Yellowcraig,False,14590.27,2026-01-23T03:48:53.499113
mistral:latest_local_baseline_qa,mistral:latest,qa,46,John Lennon,Phil Spector,False,23614.564000000002,2026-01-23T03:49:17.113820
mistral:latest_local_baseline_qa,mistral:latest,qa,47,Mikhail Gorbachev initiated the Conference on Security and Cooperation in Europe (CSCE),Organizations could come together to address global issues,False,31674.771,2026-01-23T03:49:48.788726
mistral:latest_local_baseline_qa,mistral:latest,qa,48,Yes,yes,True,17638.096,2026-01-23T03:50:06.426964
mistral:latest_local_baseline_qa,mistral:latest,qa,49,de Havilland DH.100 Vampire,English Electric Canberra,False,26475.363,2026-01-23T03:50:32.902388
mistral:latest_local_baseline_qa,mistral:latest,qa,50,The 14th season for the Pac-12 Conference was in 2013-2014.,2009 Big 12 Conference,False,36300.280999999995,2026-01-23T03:51:09.202776
mistral:latest_local_baseline_qa,mistral:latest,qa,51,Carrefour,"1,462",False,22614.023,2026-01-23T03:51:31.816935
mistral:latest_local_baseline_qa,mistral:latest,qa,52,Indianapolis Motor Speedway,Indianapolis Motor Speedway,True,16916.685999999998,2026-01-23T03:51:48.733686
mistral:latest_local_baseline_qa,mistral:latest,qa,53,Paris,Rome,False,16381.859999999999,2026-01-23T03:52:05.115590
mistral:latest_local_baseline_qa,mistral:latest,qa,54,"Max Martin, Jack Antonoff, Greg Kurstin, among others.","Max Martin, Savan Kotecha and Ilya Salmanzadeh",False,16279.616999999998,2026-01-23T03:52:21.395240
mistral:latest_local_baseline_qa,mistral:latest,qa,55,St. John's School (Canberra),"Marion, South Australia",False,15810.742,2026-01-23T03:52:37.206124
mistral:latest_local_baseline_qa,mistral:latest,qa,56,Drifting,Drifting,True,13480.335000000001,2026-01-23T03:52:50.686540
mistral:latest_local_baseline_qa,mistral:latest,qa,57,Keith Bostic,Keith Bostic,True,14922.183,2026-01-23T03:53:05.608852
mistral:latest_local_baseline_qa,mistral:latest,qa,58,"The population of Essex, according to the 2001 census, was approximately 1,518,375 people.","35,124",False,20129.995000000003,2026-01-23T03:53:25.738870
mistral:latest_local_baseline_qa,mistral:latest,qa,59,Yes,no,False,16027.857000000002,2026-01-23T03:53:41.766787
mistral:latest_local_baseline_qa,mistral:latest,qa,60,Bernie Bickerstaff,shortest player ever to play in the National Basketball Association,False,18357.003,2026-01-23T03:54:00.123918
mistral:latest_local_baseline_qa,mistral:latest,qa,61,Harve Bennett,Ronald Shusett,False,15998.028,2026-01-23T03:54:16.122011
mistral:latest_local_baseline_qa,mistral:latest,qa,62,Virginia Woolf,Adeline Virginia Woolf,False,15325.958,2026-01-23T03:54:31.448820
mistral:latest_local_baseline_qa,mistral:latest,qa,63,"N/A (The nursery rhyme ""What Are Little Girls Made Of"" is not a traditional English folk song and therefore does not have an entry in the Roud Folk Song Index.)",821,False,26691.911,2026-01-23T03:54:58.140851
mistral:latest_local_baseline_qa,mistral:latest,qa,64,ExxonMobil operates in over 50 countries worldwide.,more than 70 countries,False,21132.202,2026-01-23T03:55:19.273172
mistral:latest_local_baseline_qa,mistral:latest,qa,65,"""Charmed""",Charmed,False,15443.497000000001,2026-01-23T03:55:34.716779
mistral:latest_local_baseline_qa,mistral:latest,qa,66,International Boxing Hall of Fame,International Boxing Hall of Fame,True,16606.716,2026-01-23T03:55:51.323608
mistral:latest_local_baseline_qa,mistral:latest,qa,67,Jude Demorest,Usher,False,21086.518,2026-01-23T03:56:12.410252
