experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2_baseline_analysis,gpt-5.2,analysis,0,No,No,True,1931.1000000000001,476,84,0.00728,2026-01-18T13:45:42.597348
gpt-5.2_baseline_analysis,gpt-5.2,analysis,1,Yes,Yes,True,759.211,463,39,0.0058,2026-01-18T13:45:43.356591
gpt-5.2_baseline_analysis,gpt-5.2,analysis,2,Yes,Yes,True,1203.537,273,79,0.0051,2026-01-18T13:45:44.560154
gpt-5.2_baseline_analysis,gpt-5.2,analysis,3,Yes,Yes,True,886.873,324,36,0.00432,2026-01-18T13:45:45.447053
gpt-5.2_baseline_analysis,gpt-5.2,analysis,4,Yes,Yes,True,1334.1119999999999,310,61,0.00493,2026-01-18T13:45:46.781197
gpt-5.2_baseline_analysis,gpt-5.2,analysis,5,No,No,True,1130.419,295,37,0.00406,2026-01-18T13:45:47.911647
gpt-5.2_baseline_analysis,gpt-5.2,analysis,6,No,Yes,False,1097.54,341,63,0.0053,2026-01-18T13:45:49.009210
gpt-5.2_baseline_analysis,gpt-5.2,analysis,7,Yes,Yes,True,1148.6799999999998,341,54,0.00503,2026-01-18T13:45:50.157913
gpt-5.2_baseline_analysis,gpt-5.2,analysis,8,No,Yes,False,999.394,224,52,0.0037999999999999996,2026-01-18T13:45:51.157332
gpt-5.2_baseline_analysis,gpt-5.2,analysis,9,Yes,Yes,True,1151.739,316,43,0.00445,2026-01-18T13:45:52.309103
gpt-5.2_baseline_analysis,gpt-5.2,analysis,10,Yes,Yes,True,1331.037,383,65,0.00578,2026-01-18T13:45:53.640163
gpt-5.2_baseline_analysis,gpt-5.2,analysis,11,No,No,True,1535.1390000000001,318,68,0.00522,2026-01-18T13:45:55.175321
gpt-5.2_baseline_analysis,gpt-5.2,analysis,12,No,Yes,False,1123.7299999999998,322,54,0.0048400000000000006,2026-01-18T13:45:56.299068
gpt-5.2_baseline_analysis,gpt-5.2,analysis,13,Yes,Yes,True,1802.6299999999999,329,49,0.0047599999999999995,2026-01-18T13:45:58.101714
gpt-5.2_baseline_analysis,gpt-5.2,analysis,14,Yes,Yes,True,864.527,368,39,0.00485,2026-01-18T13:45:58.966269
gpt-5.2_baseline_analysis,gpt-5.2,analysis,15,Yes,Yes,True,715.293,289,42,0.004149999999999999,2026-01-18T13:45:59.681593
gpt-5.2_baseline_analysis,gpt-5.2,analysis,16,Yes,Yes,True,1023.2399999999999,358,67,0.0055899999999999995,2026-01-18T13:46:00.704875
gpt-5.2_baseline_analysis,gpt-5.2,analysis,17,Yes,Yes,True,740.764,268,48,0.00412,2026-01-18T13:46:01.445669
gpt-5.2_baseline_analysis,gpt-5.2,analysis,18,Yes,Yes,True,1007.877,373,46,0.00511,2026-01-18T13:46:02.453558
gpt-5.2_baseline_analysis,gpt-5.2,analysis,19,Yes,Yes,True,1114.972,273,52,0.00429,2026-01-18T13:46:03.568550
gpt-5.2_baseline_analysis,gpt-5.2,analysis,20,No,No,True,1231.8400000000001,384,77,0.00615,2026-01-18T13:46:04.800406
gpt-5.2_baseline_analysis,gpt-5.2,analysis,21,Yes,Yes,True,1128.8100000000002,404,60,0.00584,2026-01-18T13:46:05.929243
gpt-5.2_baseline_analysis,gpt-5.2,analysis,22,Yes,Yes,True,1019.6160000000001,268,43,0.0039700000000000004,2026-01-18T13:46:06.948890
gpt-5.2_baseline_analysis,gpt-5.2,analysis,23,Yes,Yes,True,1015.045,291,48,0.004350000000000001,2026-01-18T13:46:07.963956
gpt-5.2_baseline_analysis,gpt-5.2,analysis,24,No,Yes,False,1140.622,363,68,0.00567,2026-01-18T13:46:09.104613
gpt-5.2_baseline_analysis,gpt-5.2,analysis,25,Yes,Yes,True,1126.3829999999998,309,57,0.0048000000000000004,2026-01-18T13:46:10.231032
gpt-5.2_baseline_analysis,gpt-5.2,analysis,26,Yes,Yes,True,1280.078,337,56,0.005050000000000001,2026-01-18T13:46:11.511138
gpt-5.2_baseline_analysis,gpt-5.2,analysis,27,No,No,True,1173.231,423,50,0.005729999999999999,2026-01-18T13:46:12.684393
gpt-5.2_baseline_analysis,gpt-5.2,analysis,28,Yes,Yes,True,923.064,279,40,0.0039900000000000005,2026-01-18T13:46:13.607482
gpt-5.2_baseline_analysis,gpt-5.2,analysis,29,Yes,Yes,True,1212.8429999999998,328,66,0.00526,2026-01-18T13:46:14.820349
gpt-5.2_baseline_analysis,gpt-5.2,analysis,30,Yes,Yes,True,629.1170000000001,339,34,0.00441,2026-01-18T13:46:15.449491
gpt-5.2_baseline_analysis,gpt-5.2,analysis,31,Yes,Yes,True,1024.688,270,50,0.004200000000000001,2026-01-18T13:46:16.474206
gpt-5.2_baseline_analysis,gpt-5.2,analysis,32,No,No,True,742.423,294,37,0.00405,2026-01-18T13:46:17.216667
gpt-5.2_baseline_analysis,gpt-5.2,analysis,33,Yes,Yes,True,1206.3410000000001,303,49,0.0045,2026-01-18T13:46:18.423026
gpt-5.2_baseline_analysis,gpt-5.2,analysis,34,Yes,Yes,True,751.113,316,41,0.00439,2026-01-18T13:46:19.174172
gpt-5.2_baseline_analysis,gpt-5.2,analysis,35,Yes,Yes,True,1169.054,352,58,0.00526,2026-01-18T13:46:20.343247
gpt-5.2_baseline_analysis,gpt-5.2,analysis,36,No,No,True,2711.162,325,57,0.00496,2026-01-18T13:46:23.054432
gpt-5.2_baseline_analysis,gpt-5.2,analysis,37,Yes,Yes,True,1309.506,374,62,0.0056,2026-01-18T13:46:24.363969
gpt-5.2_baseline_analysis,gpt-5.2,analysis,38,No,No,True,976.9449999999999,428,60,0.00608,2026-01-18T13:46:25.340940
gpt-5.2_baseline_analysis,gpt-5.2,analysis,39,No,No,True,1066.9930000000002,250,43,0.00379,2026-01-18T13:46:26.407952
gpt-5.2_baseline_analysis,gpt-5.2,analysis,40,Yes,Yes,True,757.008,468,49,0.00615,2026-01-18T13:46:27.164991
gpt-5.2_baseline_analysis,gpt-5.2,analysis,41,No,No,True,1085.7259999999999,354,46,0.00492,2026-01-18T13:46:28.250738
gpt-5.2_baseline_analysis,gpt-5.2,analysis,42,No,Yes,False,1127.4979999999998,348,55,0.00513,2026-01-18T13:46:29.378269
gpt-5.2_baseline_analysis,gpt-5.2,analysis,43,No,No,True,1492.7060000000001,254,53,0.00413,2026-01-18T13:46:30.871002
gpt-5.2_baseline_analysis,gpt-5.2,analysis,44,Yes,Yes,True,1065.956,302,42,0.00428,2026-01-18T13:46:31.936974
gpt-5.2_baseline_analysis,gpt-5.2,analysis,45,Yes,Yes,True,1164.521,296,52,0.00452,2026-01-18T13:46:33.101519
gpt-5.2_baseline_analysis,gpt-5.2,analysis,46,Yes,Yes,True,1193.24,325,43,0.00454,2026-01-18T13:46:34.294789
gpt-5.2_baseline_analysis,gpt-5.2,analysis,47,Yes,Yes,True,850.611,383,48,0.00527,2026-01-18T13:46:35.145433
gpt-5.2_baseline_analysis,gpt-5.2,analysis,48,Yes,Yes,True,1465.103,389,48,0.0053300000000000005,2026-01-18T13:46:36.610580
gpt-5.2_baseline_analysis,gpt-5.2,analysis,49,No,Yes,False,971.954,317,53,0.00476,2026-01-18T13:46:37.582563
