experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
phi4_local_baseline_rag,phi4,rag,0,Denver Broncos,Denver Broncos,True,21634.923,2026-02-06T20:35:58.969770
phi4_local_baseline_rag,phi4,rag,1,Carolina Panthers,Carolina Panthers,True,5488.304,2026-02-06T20:36:04.458674
phi4_local_baseline_rag,phi4,rag,2,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California","Santa Clara, California",True,6339.909,2026-02-06T20:36:10.798626
phi4_local_baseline_rag,phi4,rag,3,Denver Broncos,Denver Broncos,True,4856.191,2026-02-06T20:36:15.654860
phi4_local_baseline_rag,phi4,rag,4,gold,gold,True,5825.580000000001,2026-02-06T20:36:21.480477
phi4_local_baseline_rag,phi4,rag,5,golden anniversary,"""golden anniversary""",True,5731.409000000001,2026-02-06T20:36:27.211942
phi4_local_baseline_rag,phi4,rag,6,"February 7, 2016","February 7, 2016",True,4753.829,2026-02-06T20:36:31.965820
phi4_local_baseline_rag,phi4,rag,7,American Football Conference,American Football Conference,True,5147.663,2026-02-06T20:36:37.113524
phi4_local_baseline_rag,phi4,rag,8,golden anniversary,"""golden anniversary""",True,3.419,2026-02-06T20:36:37.116977
phi4_local_baseline_rag,phi4,rag,9,American Football Conference,American Football Conference,True,5711.33,2026-02-06T20:36:42.828330
phi4_local_baseline_rag,phi4,rag,10,"February 7, 2016","February 7, 2016",True,4837.509,2026-02-06T20:36:47.665873
phi4_local_baseline_rag,phi4,rag,11,Denver Broncos,Denver Broncos,True,4645.97,2026-02-06T20:36:52.311877
phi4_local_baseline_rag,phi4,rag,12,Levi's Stadium,Levi's Stadium,True,5262.6140000000005,2026-02-06T20:36:57.574573
phi4_local_baseline_rag,phi4,rag,13,Santa Clara,Santa Clara,True,5294.97,2026-02-06T20:37:02.869586
phi4_local_baseline_rag,phi4,rag,14,Super Bowl L,Super Bowl L,True,5966.803,2026-02-06T20:37:08.836416
phi4_local_baseline_rag,phi4,rag,15,the 2015 season,2015,True,6351.048,2026-02-06T20:37:15.187498
phi4_local_baseline_rag,phi4,rag,16,2016,2015,False,8004.325,2026-02-06T20:37:23.191858
phi4_local_baseline_rag,phi4,rag,17,Santa Clara,Santa Clara,True,4.675000000000001,2026-02-06T20:37:23.196563
phi4_local_baseline_rag,phi4,rag,18,Levi's Stadium,Levi's Stadium,True,5482.0289999999995,2026-02-06T20:37:28.678617
phi4_local_baseline_rag,phi4,rag,19,"Denver Broncos 24, Carolina Panthers 10",24–10,False,5771.851,2026-02-06T20:37:34.450520
phi4_local_baseline_rag,phi4,rag,20,"February 7, 2016","February 7, 2016",True,4854.429999999999,2026-02-06T20:37:39.304978
phi4_local_baseline_rag,phi4,rag,21,2015,2015,True,6389.129,2026-02-06T20:37:45.694141
phi4_local_baseline_rag,phi4,rag,22,Denver Broncos,Denver Broncos,True,5250.512,2026-02-06T20:37:50.944682
phi4_local_baseline_rag,phi4,rag,23,Carolina Panthers,Carolina Panthers,True,5475.18,2026-02-06T20:37:56.419903
phi4_local_baseline_rag,phi4,rag,24,Denver Broncos,Denver Broncos,True,5.736,2026-02-06T20:37:56.425668
phi4_local_baseline_rag,phi4,rag,25,the 2015 season,2015,True,6428.598,2026-02-06T20:38:02.854289
phi4_local_baseline_rag,phi4,rag,26,Denver Broncos,Denver Broncos,True,5020.094,2026-02-06T20:38:07.874492
phi4_local_baseline_rag,phi4,rag,27,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California","Santa Clara, California.",False,6411.062,2026-02-06T20:38:14.285625
phi4_local_baseline_rag,phi4,rag,28,Super Bowl,Super Bowl,True,6270.784,2026-02-06T20:38:20.556448
phi4_local_baseline_rag,phi4,rag,29,Denver Broncos,Denver Broncos,True,6311.517,2026-02-06T20:38:26.867995
phi4_local_baseline_rag,phi4,rag,30,Cam Newton,Cam Newton,True,6375.073,2026-02-06T20:38:33.243108
phi4_local_baseline_rag,phi4,rag,31,eight,8,False,5476.081,2026-02-06T20:38:38.719237
phi4_local_baseline_rag,phi4,rag,32,1995,1995,True,5181.33,2026-02-06T20:38:43.900607
phi4_local_baseline_rag,phi4,rag,33,Arizona Cardinals,Arizona Cardinals,True,5231.567,2026-02-06T20:38:49.132210
phi4_local_baseline_rag,phi4,rag,34,the New England Patriots,New England Patriots,True,7006.125,2026-02-06T20:38:56.138379
phi4_local_baseline_rag,phi4,rag,35,Arizona Cardinals,Arizona Cardinals,True,4525.264,2026-02-06T20:39:00.663681
phi4_local_baseline_rag,phi4,rag,36,New England Patriots,New England Patriots,True,4905.842,2026-02-06T20:39:05.569558
phi4_local_baseline_rag,phi4,rag,37,New England Patriots,New England Patriots,True,5131.7519999999995,2026-02-06T20:39:10.701352
phi4_local_baseline_rag,phi4,rag,38,four,four,True,4857.142,2026-02-06T20:39:15.558524
phi4_local_baseline_rag,phi4,rag,39,Cam Newton,Cam Newton,True,6634.245,2026-02-06T20:39:22.192858
phi4_local_baseline_rag,phi4,rag,40,15–1,15–1,True,5165.314,2026-02-06T20:39:27.358210
phi4_local_baseline_rag,phi4,rag,41,Cam Newton,Cam Newton,True,6553.924999999999,2026-02-06T20:39:33.912171
phi4_local_baseline_rag,phi4,rag,42,12–4,12–4,True,5597.158,2026-02-06T20:39:39.509360
phi4_local_baseline_rag,phi4,rag,43,four,4,False,4842.172,2026-02-06T20:39:44.351569
phi4_local_baseline_rag,phi4,rag,44,New England Patriots,New England Patriots,True,6949.531999999999,2026-02-06T20:39:51.301136
phi4_local_baseline_rag,phi4,rag,45,Cam Newton,Cam Newton,True,5545.514,2026-02-06T20:39:56.846689
phi4_local_baseline_rag,phi4,rag,46,Arizona Cardinals,Arizona Cardinals,True,4861.507,2026-02-06T20:40:01.708236
phi4_local_baseline_rag,phi4,rag,47,two times,2,False,4774.036,2026-02-06T20:40:06.482330
phi4_local_baseline_rag,phi4,rag,48,New England Patriots,New England Patriots,True,6002.212,2026-02-06T20:40:12.484585
phi4_local_baseline_rag,phi4,rag,49,Cam Newton,Cam Newton,True,5383.91,2026-02-06T20:40:17.868554
