experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-4o_baseline_code,gpt-4o,code,0,"```python
def has_close_elements(numbers: List[float], threshold: float) -> bool:
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False
```","    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False
",True,4.042,291,172,0.0024475,2026-01-19T15:20:30.936266
gpt-4o_baseline_code,gpt-4o,code,1,"```python
def separate_paren_groups(paren_string: str) -> List[str]:
    result = []
    current_group = []
    balance = 0

    for char in paren_string:
        if char == ' ':
            continue
        current_group.append(char)
        if char == '(':
            balance += 1
        elif char == ')':
            balance -= 1
        
        if balance == 0 and current_group:
            result.append(''.join(current_group))
            current_group = []

    return result
```","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
",True,2.013,281,234,0.0030425,2026-01-19T15:20:30.938291
gpt-4o_baseline_code,gpt-4o,code,2,"```python
    integer_part = int(number)
    decimal_part = number - integer_part
    return decimal_part
```","    return number % 1.0
",False,0.976,251,158,0.0022075,2026-01-19T15:20:30.939275
gpt-4o_baseline_code,gpt-4o,code,3,"def below_zero(operations: List[int]) -> bool:
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
",True,1.0150000000000001,284,156,0.00227,2026-01-19T15:20:30.940298
gpt-4o_baseline_code,gpt-4o,code,4,"def mean_absolute_deviation(numbers: List[float]) -> float:
    if not numbers:
        return 0.0
    
    mean_value = sum(numbers) / len(numbers)
    absolute_differences = [abs(x - mean_value) for x in numbers]
    mad = sum(absolute_differences) / len(numbers)
    
    return mad","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
",True,1.035,284,218,0.00289,2026-01-19T15:20:30.941341
gpt-4o_baseline_code,gpt-4o,code,5,"def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    if not numbers:
        return []
    
    result = []
    for i in range(len(numbers) - 1):
        result.append(numbers[i])
        result.append(delimeter)
    result.append(numbers[-1])
    
    return result","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
",True,1.5050000000000001,264,281,0.00347,2026-01-19T15:20:30.942855
gpt-4o_baseline_code,gpt-4o,code,6,"```python
def parse_nested_parens(paren_string: str) -> List[int]:
    groups = paren_string.split()
    depths = []
    
    for group in groups:
        current_depth = 0
        max_depth = 0
        
        for char in group:
            if char == '(':
                current_depth += 1
                max_depth = max(max_depth, current_depth)
            elif char == ')':
                current_depth -= 1
        
        depths.append(max_depth)
    
    return depths
```","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
",True,1.101,276,356,0.0042499999999999994,2026-01-19T15:20:30.943965
gpt-4o_baseline_code,gpt-4o,code,7,"def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return [s for s in strings if substring in s]","    return [x for x in strings if substring in x]
",True,0.955,259,259,0.0032375000000000004,2026-01-19T15:20:30.944934
gpt-4o_baseline_code,gpt-4o,code,8,"```python
def sum_product(numbers: List[int]) -> Tuple[int, int]:
    total_sum = sum(numbers)
    total_product = 1
    for number in numbers:
        total_product *= number
    return total_sum, total_product
```","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
",True,1.081,276,214,0.00283,2026-01-19T15:20:30.946023
gpt-4o_baseline_code,gpt-4o,code,9,"def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    if not numbers:
        return []
    
    max_so_far = numbers[0]
    result = [max_so_far]
    
    for num in numbers[1:]:
        if num > max_so_far:
            max_so_far = num
        result.append(max_so_far)
    
    return result","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
",True,0.914,266,284,0.0035050000000000003,2026-01-19T15:20:30.946943
