experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_agentic,llama3.2,agentic,0,No,No,True,3.436,2026-01-18T14:28:47.329771
llama3.2_local_baseline_agentic,llama3.2,agentic,1,No,No,True,0.823,2026-01-18T14:28:47.330599
llama3.2_local_baseline_agentic,llama3.2,agentic,2,No,No,True,4.577999999999999,2026-01-18T14:28:47.335184
llama3.2_local_baseline_agentic,llama3.2,agentic,3,No,No,True,2.886,2026-01-18T14:28:47.338081
llama3.2_local_baseline_agentic,llama3.2,agentic,4,No,No,True,2.676,2026-01-18T14:28:47.340765
llama3.2_local_baseline_agentic,llama3.2,agentic,5,No,Yes,False,6.058,2026-01-18T14:28:47.346829
llama3.2_local_baseline_agentic,llama3.2,agentic,6,No,Yes,False,1.649,2026-01-18T14:28:47.348492
llama3.2_local_baseline_agentic,llama3.2,agentic,7,No,No,True,1.662,2026-01-18T14:28:47.350167
llama3.2_local_baseline_agentic,llama3.2,agentic,8,Yes,No,False,1.496,2026-01-18T14:28:47.351667
llama3.2_local_baseline_agentic,llama3.2,agentic,9,No,Yes,False,1.494,2026-01-18T14:28:47.353165
llama3.2_local_baseline_agentic,llama3.2,agentic,10,No,Yes,False,1.409,2026-01-18T14:28:47.354578
llama3.2_local_baseline_agentic,llama3.2,agentic,11,No,No,True,1.495,2026-01-18T14:28:47.356077
llama3.2_local_baseline_agentic,llama3.2,agentic,12,No,No,True,1.466,2026-01-18T14:28:47.357546
llama3.2_local_baseline_agentic,llama3.2,agentic,13,Yes,Yes,True,1.538,2026-01-18T14:28:47.359089
llama3.2_local_baseline_agentic,llama3.2,agentic,14,No,No,True,1.4369999999999998,2026-01-18T14:28:47.360529
llama3.2_local_baseline_agentic,llama3.2,agentic,15,No,No,True,1.528,2026-01-18T14:28:47.362061
llama3.2_local_baseline_agentic,llama3.2,agentic,16,Yes,Yes,True,1.411,2026-01-18T14:28:47.363476
llama3.2_local_baseline_agentic,llama3.2,agentic,17,No,Yes,False,1.406,2026-01-18T14:28:47.364885
llama3.2_local_baseline_agentic,llama3.2,agentic,18,No,No,True,1.23,2026-01-18T14:28:47.366118
llama3.2_local_baseline_agentic,llama3.2,agentic,19,No,No,True,1.689,2026-01-18T14:28:47.367810
llama3.2_local_baseline_agentic,llama3.2,agentic,20,No,No,True,1.464,2026-01-18T14:28:47.369277
llama3.2_local_baseline_agentic,llama3.2,agentic,21,No,No,True,1.472,2026-01-18T14:28:47.370754
llama3.2_local_baseline_agentic,llama3.2,agentic,22,No,Yes,False,1.505,2026-01-18T14:28:47.372262
llama3.2_local_baseline_agentic,llama3.2,agentic,23,No,Yes,False,1.507,2026-01-18T14:28:47.373773
llama3.2_local_baseline_agentic,llama3.2,agentic,24,No,Yes,False,1.483,2026-01-18T14:28:47.375261
llama3.2_local_baseline_agentic,llama3.2,agentic,25,Yes,Yes,True,1.45,2026-01-18T14:28:47.376715
llama3.2_local_baseline_agentic,llama3.2,agentic,26,No,No,True,1.469,2026-01-18T14:28:47.378188
llama3.2_local_baseline_agentic,llama3.2,agentic,27,No,No,True,1.464,2026-01-18T14:28:47.379655
llama3.2_local_baseline_agentic,llama3.2,agentic,28,No,Yes,False,1.542,2026-01-18T14:28:47.381200
llama3.2_local_baseline_agentic,llama3.2,agentic,29,Yes,Yes,True,1.496,2026-01-18T14:28:47.382700
llama3.2_local_baseline_agentic,llama3.2,agentic,30,Yes,Yes,True,1.517,2026-01-18T14:28:47.384221
llama3.2_local_baseline_agentic,llama3.2,agentic,31,Yes,Yes,True,1.442,2026-01-18T14:28:47.385667
llama3.2_local_baseline_agentic,llama3.2,agentic,32,No,No,True,1.509,2026-01-18T14:28:47.387179
llama3.2_local_baseline_agentic,llama3.2,agentic,33,Yes,Yes,True,1.426,2026-01-18T14:28:47.388608
llama3.2_local_baseline_agentic,llama3.2,agentic,34,No,No,True,1.416,2026-01-18T14:28:47.390030
llama3.2_local_baseline_agentic,llama3.2,agentic,35,No,Yes,False,1.486,2026-01-18T14:28:47.391519
llama3.2_local_baseline_agentic,llama3.2,agentic,36,No,No,True,1.438,2026-01-18T14:28:47.392960
llama3.2_local_baseline_agentic,llama3.2,agentic,37,No,Yes,False,1.343,2026-01-18T14:28:47.394307
llama3.2_local_baseline_agentic,llama3.2,agentic,38,Yes,Yes,True,1.49,2026-01-18T14:28:47.395800
llama3.2_local_baseline_agentic,llama3.2,agentic,39,Yes,Yes,True,1.45,2026-01-18T14:28:47.397253
llama3.2_local_baseline_agentic,llama3.2,agentic,40,No,No,True,1.469,2026-01-18T14:28:47.398725
llama3.2_local_baseline_agentic,llama3.2,agentic,41,No,Yes,False,1.512,2026-01-18T14:28:47.400243
llama3.2_local_baseline_agentic,llama3.2,agentic,42,No,Yes,False,1.46,2026-01-18T14:28:47.401708
llama3.2_local_baseline_agentic,llama3.2,agentic,43,No,Yes,False,1.512,2026-01-18T14:28:47.403223
llama3.2_local_baseline_agentic,llama3.2,agentic,44,No,No,True,1.47,2026-01-18T14:28:47.404698
llama3.2_local_baseline_agentic,llama3.2,agentic,45,No,No,True,1.485,2026-01-18T14:28:47.406186
llama3.2_local_baseline_agentic,llama3.2,agentic,46,Yes,No,False,1.483,2026-01-18T14:28:47.407673
llama3.2_local_baseline_agentic,llama3.2,agentic,47,No,No,True,0.652,2026-01-18T14:28:47.408329
llama3.2_local_baseline_agentic,llama3.2,agentic,48,No,Yes,False,2.03,2026-01-18T14:28:47.410362
llama3.2_local_baseline_agentic,llama3.2,agentic,49,No,No,True,1.444,2026-01-18T14:28:47.411809
