experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp,error
llama3.2_local_baseline_math,llama3.2,math,0,$18,18,False,4.016,2026-01-21T04:22:37.777989,
llama3.2_local_baseline_math,llama3.2,math,1,3,3,True,1.3010000000000002,2026-01-21T04:22:37.779297,
llama3.2_local_baseline_math,llama3.2,math,2,"-$18,000 (Note: This is the correct calculation for his loss. If you want to express this as a negative profit, it would be $18,000)",70000,False,3.677,2026-01-21T04:22:37.782978,
llama3.2_local_baseline_math,llama3.2,math,3,540,540,True,3.8939999999999997,2026-01-21T04:22:37.786878,
llama3.2_local_baseline_math,llama3.2,math,4,20,20,True,2.769,2026-01-21T04:22:37.789655,
llama3.2_local_baseline_math,llama3.2,math,5,120,64,False,9460.239,2026-01-21T04:22:47.249900,
llama3.2_local_baseline_math,llama3.2,math,6,260,260,True,4379.589,2026-01-21T04:22:51.629506,
llama3.2_local_baseline_math,llama3.2,math,7,140,160,False,78664.933,2026-01-21T04:24:10.294481,
llama3.2_local_baseline_math,llama3.2,math,8,135,45,False,11097.037,2026-01-21T04:24:21.391537,
llama3.2_local_baseline_math,llama3.2,math,9,460,460,True,4050.673,2026-01-21T04:24:25.442228,
llama3.2_local_baseline_math,llama3.2,math,10,366,366,True,4784.28,2026-01-21T04:24:30.226517,
llama3.2_local_baseline_math,llama3.2,math,11,694,694,True,3986.0190000000002,2026-01-21T04:24:34.212555,
llama3.2_local_baseline_math,llama3.2,math,12,3,13,False,5921.142,2026-01-21T04:24:40.133717,
llama3.2_local_baseline_math,llama3.2,math,13,18,18,True,5986.603,2026-01-21T04:24:46.120375,
llama3.2_local_baseline_math,llama3.2,math,14,60,60,True,5701.007,2026-01-21T04:24:51.821396,
llama3.2_local_baseline_math,llama3.2,math,15,$125,125,False,6138.232,2026-01-21T04:24:57.959642,
llama3.2_local_baseline_math,llama3.2,math,16,230,230,True,45697.988000000005,2026-01-21T04:25:43.657644,
llama3.2_local_baseline_math,llama3.2,math,17,"57,500",57500,True,8440.305,2026-01-21T04:25:52.097996,
llama3.2_local_baseline_math,llama3.2,math,18,7,7,True,4329.2029999999995,2026-01-21T04:25:56.427214,
llama3.2_local_baseline_math,llama3.2,math,19,4,6,False,83476.12700000001,2026-01-21T04:27:19.903356,
llama3.2_local_baseline_math,llama3.2,math,20,23.67,15,False,89946.764,2026-01-21T04:28:49.850147,
llama3.2_local_baseline_math,llama3.2,math,21,2,14,False,6509.251,2026-01-21T04:28:56.359436,
llama3.2_local_baseline_math,llama3.2,math,22,7,7,True,3699.8190000000004,2026-01-21T04:29:00.059386,
llama3.2_local_baseline_math,llama3.2,math,23,8,8,True,3910.636,2026-01-21T04:29:03.970028,
llama3.2_local_baseline_math,llama3.2,math,24,26,26,True,3836.6319999999996,2026-01-21T04:29:07.806674,
llama3.2_local_baseline_math,llama3.2,math,25,2,2,True,4997.7029999999995,2026-01-21T04:29:12.804387,
llama3.2_local_baseline_math,llama3.2,math,26,243,243,True,4637.896,2026-01-21T04:29:17.442301,
llama3.2_local_baseline_math,llama3.2,math,27,$16.00,16,False,4774.104,2026-01-21T04:29:22.216426,
llama3.2_local_baseline_math,llama3.2,math,28,35,25,False,6279.066000000001,2026-01-21T04:29:28.495522,
llama3.2_local_baseline_math,llama3.2,math,29,94,104,False,3664.4770000000003,2026-01-21T04:29:32.160018,
