experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,0,18,18,True,7088.527,238,165,0.0,2026-01-19T15:32:21.044135
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,1,3 bolts,3,False,2963.347,201,138,0.0,2026-01-19T15:32:24.008844
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,2,"$70,000",70000,False,11051.811000000002,224,273,0.0,2026-01-19T15:32:35.083369
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,3,James runs a total of 540 meters each week.,540,False,32623.676000000003,209,175,0.0,2026-01-19T15:33:08.003113
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,4,20 cups,20,False,3212.588,282,176,0.0,2026-01-19T15:33:11.215752
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,5,$64,64,False,2745.572,227,175,0.0,2026-01-19T15:33:13.961364
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,6,260,260,True,4811.317,216,174,0.0,2026-01-19T15:33:18.777186
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,7,160 minutes (which is 2 hours and 40 minutes),160,False,5993.426,241,341,0.0,2026-01-19T15:33:24.772892
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,8,45 miles,45,False,9773.245,276,457,0.0,2026-01-19T15:33:34.549237
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,9,$460,460,False,3977.735,232,190,0.0,2026-01-19T15:33:38.536367
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,10,366,366,True,3673.102,233,226,0.0,2026-01-19T15:33:42.212667
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,11,$694,694,False,3018.91,234,222,0.0,2026-01-19T15:33:45.231596
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,12,12 years,13,False,19635.054,240,425,0.0,2026-01-19T15:34:04.880256
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,13,Melanie started with **18 vacuum cleaners**.,18,False,13204.601,233,367,0.0,2026-01-19T15:34:18.222836
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,14,60%,60,False,21930.584,224,257,0.0,2026-01-19T15:34:40.193085
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,15,$125,125,False,5420.589,265,278,0.0,2026-01-19T15:34:45.618276
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,16,Each train covers a total distance of 230 miles over the two days.,230,False,6920.028,224,164,0.0,2026-01-19T15:34:52.550404
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,17,"$57,500",57500,False,9503.778,227,223,0.0,2026-01-19T15:35:02.101475
gpt-5.2-chat-latest_baseline_math,gpt-5.2-chat-latest,math,18,7 dozen,7,False,4874.466,202,210,0.0,2026-01-19T15:35:06.976147
