experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,0,"Welsh homelessness and prison-leaver charities warn that a shortage of suitable one-bedroom accommodation—worsened after 2015 Housing Act changes removed priority for prison leavers—leaves many ex-offenders, especially men, sleeping rough for months and reoffending, while the Welsh Government says support has improved and it plans more affordable homes.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",0.3466666666666667,3769.2160000000003,878,148,0.013219999999999999,2026-01-18T13:53:55.873353
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,1,"Police searches in the Waterfront Park and Colonsay View areas led to the seizure of three firearms, ammunition and a five-figure sum of money, and a 26-year-old man was arrested, charged and appeared at Edinburgh Sheriff Court.","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",0.45871559633027525,2123.9629999999997,230,98,0.00524,2026-01-18T13:53:57.997342
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,2,Four people appeared in a Chicago court charged with hate crimes and aggravated kidnapping and battery after allegedly abducting and brutalizing an 18-year-old white man with schizophrenia—forcing him to drink toilet water and broadcasting racist remarks on Facebook Live—while a judge denied bail and prosecutors said the hate-crime counts relate to his race and disabilities.,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",0.4380952380952381,2883.8669999999997,499,140,0.00919,2026-01-18T13:54:00.881224
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,3,"A 48-year-old former Arsenal and Reading goalkeeper, who became youth academy director in 2000 and director of football in 2003, was credited by West Brom with playing a key role in the club’s promotions to the Premier League in 2006 and 2012.","West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",0.36103151862464183,2365.946,242,142,0.00668,2026-01-18T13:54:03.247202
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,4,"A Cell study reports that a five-day “fasting-mimicking” diet cycle regenerated insulin-producing pancreatic beta cells and reversed diabetes symptoms in mice (with similar effects in human tissue samples), raising hope for new treatments but requiring confirmation in humans and medical supervision.","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",0.3432835820895523,3270.096,928,128,0.01312,2026-01-18T13:54:06.517343
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,5,"Essilor and Luxottica plan to merge into EssilorLuxottica, creating a vertically integrated eyewear powerhouse that rivals warn could squeeze competitors and reduce consumer choice—despite the firms’ claims of innovation and synergies—likely drawing European antitrust review.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",0.4009216589861751,3363.321,1440,128,0.01824,2026-01-18T13:54:09.880688
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,6,"Olympic silver medallist Wendy Houvenaghel says British Cycling’s World Class programme fostered a win-at-all-costs culture that led to bullying, sexism and ageism and left her traumatised after being dropped for London 2012, as a leaked draft report criticises the organisation and British Cycling says it has accepted the findings and launched a reform action plan.","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",0.3443983402489627,3285.475,1316,150,0.01766,2026-01-18T13:54:13.166192
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,7,"Kareem Badr’s successful turnaround and expansion of Austin’s Hideout illustrates a broader resurgence in US stand-up and comedy clubs—driven by growing demand, bar/food revenue, and digital audiences that help comics build brands and fill venues.",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,0.4314720812182741,3072.911,1475,128,0.01859,2026-01-18T13:54:16.239151
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,8,"Ofcom opted not to break up BT largely because separating its massive, deficit pension scheme (mostly linked to Openreach) would be impractical and politically fraught, but it will still impose tougher Openreach independence measures that could spark conflict and possible court action.","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",0.39658848614072495,4096.0869999999995,674,145,0.01109,2026-01-18T13:54:20.335269
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,9,"Brendan Rodgers says Celtic will be prepared to impose their style in the Old Firm semi-final at Hampden, aiming to build on last month’s 5-1 derby win and reach the League Cup final while refusing to look ahead to treble talk.",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,0.4795640326975477,3271.067,652,118,0.01006,2026-01-18T13:54:23.606371
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,10,"Queen’s University Belfast will cut 1,010 undergraduate places over three years from September 2015 and reduce staff numbers in response to an £8m funding cut from the Department of Employment and Learning, raising concerns about course viability, the university’s reputation, and Northern Ireland’s economy as students may study elsewhere.",Queen's University Belfast is cutting 236 jobs and 290 student places due to a funding reduction.,0.3478260869565218,3899.8740000000003,645,166,0.01143,2026-01-18T13:54:27.506277
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,11,"East Sussex Healthcare NHS Trust said an external printing company miscoded about 850 March appointment letters, mistakenly enclosing urgent cancer referral leaflets, and the trust has since halted the error and apologized to affected patients.",Hospital bosses in Sussex have apologised after about 850 patients were sent leaflets in error suggesting they might have cancer.,0.4289544235924933,2244.509,410,97,0.007009999999999999,2026-01-18T13:54:29.750814
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,12,Labour insists it will not block the Article 50 Brexit bill but will push amendments for a meaningful final-deal vote and citizens’ rights as Jeremy Corbyn faces internal dissent and warns frontbench rebels they may have to resign ahead of the bill’s next Commons votes.,The shadow foreign secretary has suggested Labour will continue to support legislation paving the way for Brexit as it passes through Parliament.,0.3614457831325302,3471.8689999999997,830,132,0.01226,2026-01-18T13:54:33.222715
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,13,"Torquay United manager Kevin Nicholson says he does not expect to personally receive any money from the club’s 15% sell-on clause on Eoin O’Kane, and that any proceeds from the midfielder’s move would instead help the cash-strapped club still seeking new owners after major budget cuts.",Torquay United boss Kevin Nicholson says none of the money from Eunan O'Kane's move to Leeds from Bournemouth will go to the playing squad.,0.4941176470588235,3706.8759999999997,306,132,0.00702,2026-01-18T13:54:36.929614
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,14,"An inquest heard that Iwan Wyn Lewis, a 36-year-old patient sectioned at Ysbyty Gwynedd who was later found dead in the Menai Strait in May 2016, may have had his distress and agitation worsened by an unapproved police visit to his ward, according to his consultant psychiatrist.",North Wales Police has been criticised at an inquest for sending an officer to speak to a hospital patient with paranoid schizophrenia.,0.3913043478260869,2647.978,469,142,0.00895,2026-01-18T13:54:39.578065
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,15,"Leicester City forward Taylor-Fletcher, 33, has joined Sheffield Wednesday on loan ahead of their Championship match against Norwich after making only two appearances for the Foxes this season.",Leicester City striker Gary Taylor-Fletcher has joined Sheffield Wednesday on an initial month-long loan.,0.6040268456375838,2135.859,246,102,0.005520000000000001,2026-01-18T13:54:41.713953
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,16,"US scientists are scrambling to back up federal climate and research data outside government control amid fears the incoming Trump administration could restrict access or retaliate against climate researchers, even as some argue the data should remain publicly available and others welcome a challenge to mainstream climate science.","Limiting access to federal research would do an ""enormous disservice"" to the US and the world according to former Nasa chief scientist.",0.4068522483940043,2991.861,1338,125,0.01713,2026-01-18T13:54:44.705850
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,17,"John “Brad” Bradbury, the influential drummer behind The Specials’ Two Tone sound, has died in England aged 62, prompting tributes as the band and his family remembered his pivotal role in the group’s success and reunions, with no cause of death announced.","John ""Brad"" Bradbury, drummer with The Specials, has died at the age of 62.",0.41087613293051356,2754.699,675,118,0.01029,2026-01-18T13:54:47.460585
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,18,"Tiger Woods shot 76-72 to miss the cut by four at Torrey Pines in his first full PGA Tour event in nearly 18 months, as world number one Jason Day and Dustin Johnson also went out early while Justin Rose held the lead on eight under.","Tiger Woods missed the cut at the Farmers Insurance Open, as England's Justin Rose maintained a one-shot lead.",0.48396501457725943,3199.329,430,116,0.0077800000000000005,2026-01-18T13:54:50.659944
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,19,"Former Manchester United striker Andy Cole says he is cautiously recovering from a kidney transplant donated by his nephew, remains restricted from travel while rebuilding his health as a club ambassador, and believes English teams are still “miles apart” from Europe’s top sides in the Champions League.","Former England striker Andy Cole says he faces a ""long road ahead"" as he recovers from his recent kidney transplant.",0.4285714285714285,3487.332,561,131,0.00954,2026-01-18T13:54:54.147337
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,20,"Pakistan has lifted its YouTube ban imposed in 2012 after Google launched a Pakistan-specific version with a mechanism for the PTA to request local blocking of illegal content, though YouTube says removals aren’t automatic and activists are demanding transparency about the deal.","Pakistan has unblocked the video sharing site, YouTube, more than three years after it was banned for posting a video deemed insulting to Islam.",0.425531914893617,2842.731,558,132,0.00954,2026-01-18T13:54:56.990107
