experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
mistral:latest_local_baseline_rag,mistral:latest,rag,0,Denver Broncos,Denver Broncos,True,5.22,2026-01-23T08:47:44.910567
mistral:latest_local_baseline_rag,mistral:latest,rag,1,Carolina Panthers,Carolina Panthers,True,2.369,2026-01-23T08:47:44.912944
mistral:latest_local_baseline_rag,mistral:latest,rag,2,"Levi's Stadium, Santa Clara, California","Santa Clara, California",True,2.342,2026-01-23T08:47:44.915291
mistral:latest_local_baseline_rag,mistral:latest,rag,3,Denver Broncos,Denver Broncos,True,1.13,2026-01-23T08:47:44.916428
mistral:latest_local_baseline_rag,mistral:latest,rag,4,Gold,gold,True,3.263,2026-01-23T08:47:44.919696
mistral:latest_local_baseline_rag,mistral:latest,rag,5,Golden,"""golden anniversary""",True,4.473000000000001,2026-01-23T08:47:44.924174
mistral:latest_local_baseline_rag,mistral:latest,rag,6,"February 7, 2016","February 7, 2016",True,1.436,2026-01-23T08:47:44.925616
mistral:latest_local_baseline_rag,mistral:latest,rag,7,American Football Conference (AFC),American Football Conference,True,1.567,2026-01-23T08:47:44.927193
mistral:latest_local_baseline_rag,mistral:latest,rag,8,Golden,"""golden anniversary""",True,0.22,2026-01-23T08:47:44.927418
mistral:latest_local_baseline_rag,mistral:latest,rag,9,American Football Conference (AFC),American Football Conference,True,1.31,2026-01-23T08:47:44.928732
mistral:latest_local_baseline_rag,mistral:latest,rag,10,"February 7, 2016","February 7, 2016",True,1.267,2026-01-23T08:47:44.930002
mistral:latest_local_baseline_rag,mistral:latest,rag,11,Denver Broncos,Denver Broncos,True,1.572,2026-01-23T08:47:44.931579
mistral:latest_local_baseline_rag,mistral:latest,rag,12,Levi's Stadium,Levi's Stadium,True,1.35,2026-01-23T08:47:44.932933
mistral:latest_local_baseline_rag,mistral:latest,rag,13,"Levi's Stadium is located in Santa Clara, California.",Santa Clara,True,1.423,2026-01-23T08:47:44.934360
mistral:latest_local_baseline_rag,mistral:latest,rag,14,"Super Bowl 50 would have been called ""Super Bowl L"" if Roman numerals were used.",Super Bowl L,True,1.314,2026-01-23T08:47:44.935678
mistral:latest_local_baseline_rag,mistral:latest,rag,15,2015,2015,True,1.497,2026-01-23T08:47:44.937180
mistral:latest_local_baseline_rag,mistral:latest,rag,16,2016,2015,False,1.31,2026-01-23T08:47:44.938494
mistral:latest_local_baseline_rag,mistral:latest,rag,17,"Levi's Stadium is located in Santa Clara, California.",Santa Clara,True,0.214,2026-01-23T08:47:44.938711
mistral:latest_local_baseline_rag,mistral:latest,rag,18,Levi's Stadium,Levi's Stadium,True,1.367,2026-01-23T08:47:44.940082
mistral:latest_local_baseline_rag,mistral:latest,rag,19,24-10 (Denver Broncos vs Carolina Panthers),24–10,False,1.398,2026-01-23T08:47:44.941484
mistral:latest_local_baseline_rag,mistral:latest,rag,20,"February 7, 2016","February 7, 2016",True,1.502,2026-01-23T08:47:44.942992
mistral:latest_local_baseline_rag,mistral:latest,rag,21,2016,2015,False,1.5579999999999998,2026-01-23T08:47:44.944558
mistral:latest_local_baseline_rag,mistral:latest,rag,22,Denver Broncos,Denver Broncos,True,0.856,2026-01-23T08:47:44.945418
mistral:latest_local_baseline_rag,mistral:latest,rag,23,Carolina Panthers,Carolina Panthers,True,2.1510000000000002,2026-01-23T08:47:44.947573
