experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,0,card_linking,card_arrival,False,20644.978,2026-02-08T16:42:42.248975
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,1,card_arrival,card_arrival,True,14104.091999999999,2026-02-08T16:42:56.353094
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,2,card_arrival,card_arrival,True,12970.068,2026-02-08T16:43:09.323184
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,3,card_arrival,card_arrival,True,7581.222000000001,2026-02-08T16:43:16.904440
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,4,card_arrival,card_arrival,True,10855.052,2026-02-08T16:43:27.759522
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,5,card_arrival,card_arrival,True,7340.484,2026-02-08T16:43:35.100061
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,6,card_arrival,card_arrival,True,12663.942000000001,2026-02-08T16:43:47.764020
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,7,card_arrival,card_arrival,True,15895.198,2026-02-08T16:44:03.659253
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,8,card_arrival,card_arrival,True,11795.965,2026-02-08T16:44:15.455270
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,9,card_arrival,card_arrival,True,16853.785,2026-02-08T16:44:32.309103
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,10,account_verification,card_arrival,False,10437.084,2026-02-08T16:44:42.746203
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,11,card_delivery_estimate,card_arrival,False,9017.467,2026-02-08T16:44:51.763690
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,12,card_not_working,card_arrival,False,38367.248,2026-02-08T16:45:30.130973
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,13,card_arrival,card_arrival,True,14093.201000000001,2026-02-08T16:45:44.224211
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,14,card_arrival,card_arrival,True,27982.614999999998,2026-02-08T16:46:12.206859
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,15,card_arrival,card_arrival,True,10341.697999999999,2026-02-08T16:46:22.548606
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,16,card_about_to_expire,card_arrival,False,10996.627,2026-02-08T16:46:33.545249
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,17,card_arrival,card_arrival,True,8398.351999999999,2026-02-08T16:46:41.943621
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,18,card_arrival,card_arrival,True,8446.506,2026-02-08T16:46:50.390146
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,19,card_arrival,card_arrival,True,12476.659,2026-02-08T16:47:02.866821
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,20,lost_or_stolen_card,card_arrival,False,13336.803,2026-02-08T16:47:16.203640
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,21,actual_feature_request,card_arrival,False,15998.001,2026-02-08T16:47:32.201659
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,22,card_arrival,card_arrival,True,10856.066,2026-02-08T16:47:43.057745
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,23,card_arrival,card_arrival,True,12553.174,2026-02-08T16:47:55.610961
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,24,card_arrival,card_arrival,True,16551.457,2026-02-08T16:48:12.162457
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,25,card_arrival,card_arrival,True,6928.072,2026-02-08T16:48:19.090570
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,26,card_arrival,card_arrival,True,7912.076,2026-02-08T16:48:27.002664
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,27,card_arrival,card_arrival,True,12254.33,2026-02-08T16:48:39.257045
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,28,card_arrival,card_arrival,True,13995.617,2026-02-08T16:48:53.252688
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,29,card_linking,card_arrival,False,15090.85,2026-02-08T16:49:08.343575
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,30,card_arrival,card_arrival,True,8021.307,2026-02-08T16:49:16.364899
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,31,card_arrival,card_arrival,True,9779.742,2026-02-08T16:49:26.144663
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,32,card_arrival,card_arrival,True,10965.332,2026-02-08T16:49:37.110013
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,33,card_arrival,card_arrival,True,11341.137,2026-02-08T16:49:48.451166
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,34,card_arrival,card_arrival,True,38299.43,2026-02-08T16:50:26.750617
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,35,card_arrival,card_arrival,True,11311.47,2026-02-08T16:50:38.062131
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,36,lost_or_stolen_card,card_arrival,False,12970.666,2026-02-08T16:50:51.032815
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,37,None,card_arrival,False,38334.305,2026-02-08T16:51:29.367157
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,38,None,card_arrival,False,38322.369,2026-02-08T16:52:07.689535
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,39,card_payment_fee_charged,card_arrival,False,77284.738,2026-02-08T16:53:24.974281
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,40,card_linking,card_linking,True,18603.534,2026-02-08T16:53:43.577835
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,41,unable_to_verify_identity,card_linking,False,27579.972,2026-02-08T16:54:11.157845
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,42,card_acceptance,card_linking,False,11029.949999999999,2026-02-08T16:54:22.187828
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,43,card_linking,card_linking,True,12053.893,2026-02-08T16:54:34.241750
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,44,card_linking,card_linking,True,6709.998,2026-02-08T16:54:40.951786
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,45,card_arrival,card_linking,False,10358.634,2026-02-08T16:54:51.310449
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,46,card_payment_not_recognised,card_linking,False,21014.514,2026-02-08T16:55:12.324995
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,47,card_acceptance,card_linking,False,10046.234,2026-02-08T16:55:22.371260
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,48,lost_or_stolen_card,card_linking,False,10101.592999999999,2026-02-08T16:55:32.472888
deepseek-r1:7b_local_baseline_classification,deepseek-r1:7b,classification,49,card_linking,card_linking,True,8996.534,2026-02-08T16:55:41.469454
