experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_rag,llama3.2,rag,0,Denver Broncos,Denver Broncos,True,6316.4490000000005,2026-01-19T15:22:59.577606
llama3.2_local_baseline_rag,llama3.2,rag,1,The Carolina Panthers represented the NFC at Super Bowl 50.,Carolina Panthers,True,1901.214,2026-01-19T15:23:01.478841
llama3.2_local_baseline_rag,llama3.2,rag,2,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","Santa Clara, California",True,2195.381,2026-01-19T15:23:03.674237
llama3.2_local_baseline_rag,llama3.2,rag,3,Denver Broncos,Denver Broncos,True,1631.694,2026-01-19T15:23:05.305957
llama3.2_local_baseline_rag,llama3.2,rag,4,Gold,gold,True,2285.037,2026-01-19T15:23:07.591018
llama3.2_local_baseline_rag,llama3.2,rag,5,"The theme of Super Bowl 50 was a ""golden anniversary"".","""golden anniversary""",True,1894.9199999999998,2026-01-19T15:23:09.485971
llama3.2_local_baseline_rag,llama3.2,rag,6,"February 7, 2016","February 7, 2016",True,1271.5780000000002,2026-01-19T15:23:10.757562
llama3.2_local_baseline_rag,llama3.2,rag,7,AFC stands for American Football Conference.,American Football Conference,True,1770.635,2026-01-19T15:23:12.528224
llama3.2_local_baseline_rag,llama3.2,rag,8,"The theme of Super Bowl 50 was a ""golden anniversary"".","""golden anniversary""",True,0.309,2026-01-19T15:23:12.528540
llama3.2_local_baseline_rag,llama3.2,rag,9,AFC stands for American Football Conference.,American Football Conference,True,1758.607,2026-01-19T15:23:14.287152
llama3.2_local_baseline_rag,llama3.2,rag,10,"February 7, 2016","February 7, 2016",True,1225.5430000000001,2026-01-19T15:23:15.512706
llama3.2_local_baseline_rag,llama3.2,rag,11,The Denver Broncos won Super Bowl 50.,Denver Broncos,True,1815.4889999999998,2026-01-19T15:23:17.328204
llama3.2_local_baseline_rag,llama3.2,rag,12,Levi's Stadium,Levi's Stadium,True,1593.418,2026-01-19T15:23:18.921632
llama3.2_local_baseline_rag,llama3.2,rag,13,"Santa Clara, California",Santa Clara,True,1602.6480000000001,2026-01-19T15:23:20.524287
llama3.2_local_baseline_rag,llama3.2,rag,14,"Super Bowl 50 would have been called ""L"" (for 50).",Super Bowl L,False,2944.433,2026-01-19T15:23:23.468733
llama3.2_local_baseline_rag,llama3.2,rag,15,Super Bowl 50 decided the NFL champion for the 2015 season.,2015,True,2037.1589999999999,2026-01-19T15:23:25.505919
llama3.2_local_baseline_rag,llama3.2,rag,16,2014,2015,False,2570.087,2026-01-19T15:23:28.076019
llama3.2_local_baseline_rag,llama3.2,rag,17,"Santa Clara, California",Santa Clara,True,0.34099999999999997,2026-01-19T15:23:28.076367
llama3.2_local_baseline_rag,llama3.2,rag,18,Levi's Stadium,Levi's Stadium,True,1417.5919999999999,2026-01-19T15:23:29.493964
