experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
gpt-4o_local_baseline_classification,gpt-4o,classification,0,card_arrival,card_arrival,True,4.5729999999999995,2026-01-23T13:21:14.802880
gpt-4o_local_baseline_classification,gpt-4o,classification,1,card_arrival,card_arrival,True,2.403,2026-01-23T13:21:14.805293
gpt-4o_local_baseline_classification,gpt-4o,classification,2,card_arrival,card_arrival,True,1.544,2026-01-23T13:21:14.806843
gpt-4o_local_baseline_classification,gpt-4o,classification,3,card_delivery_estimate,card_arrival,False,1.4929999999999999,2026-01-23T13:21:14.808341
gpt-4o_local_baseline_classification,gpt-4o,classification,4,card_arrival,card_arrival,True,1.466,2026-01-23T13:21:14.809812
gpt-4o_local_baseline_classification,gpt-4o,classification,5,card_delivery_estimate,card_arrival,False,1856.271,2026-01-23T13:21:16.666090
gpt-4o_local_baseline_classification,gpt-4o,classification,6,card_delivery_estimate,card_arrival,False,1597.923,2026-01-23T13:21:18.264035
gpt-4o_local_baseline_classification,gpt-4o,classification,7,card_arrival,card_arrival,True,1941.484,2026-01-23T13:21:20.205562
gpt-4o_local_baseline_classification,gpt-4o,classification,8,card_arrival,card_arrival,True,1988.7820000000002,2026-01-23T13:21:22.194361
gpt-4o_local_baseline_classification,gpt-4o,classification,9,card_delivery_estimate,card_arrival,False,1572.3339999999998,2026-01-23T13:21:23.766712
gpt-4o_local_baseline_classification,gpt-4o,classification,10,card_delivery_estimate,card_arrival,False,1595.0610000000001,2026-01-23T13:21:25.361787
gpt-4o_local_baseline_classification,gpt-4o,classification,11,card_delivery_estimate,card_arrival,False,2455.721,2026-01-23T13:21:27.817529
gpt-4o_local_baseline_classification,gpt-4o,classification,12,card_delivery_estimate,card_arrival,False,1442.256,2026-01-23T13:21:29.259820
gpt-4o_local_baseline_classification,gpt-4o,classification,13,card_arrival,card_arrival,True,1524.203,2026-01-23T13:21:30.784043
gpt-4o_local_baseline_classification,gpt-4o,classification,14,card_delivery_estimate,card_arrival,False,1662.719,2026-01-23T13:21:32.446779
gpt-4o_local_baseline_classification,gpt-4o,classification,15,card_delivery_estimate,card_arrival,False,1358.9979999999998,2026-01-23T13:21:33.805790
gpt-4o_local_baseline_classification,gpt-4o,classification,16,card_delivery_estimate,card_arrival,False,1148.011,2026-01-23T13:21:34.953814
gpt-4o_local_baseline_classification,gpt-4o,classification,17,card_delivery_estimate,card_arrival,False,1627.1580000000001,2026-01-23T13:21:36.580998
gpt-4o_local_baseline_classification,gpt-4o,classification,18,card_arrival,card_arrival,True,1564.4769999999999,2026-01-23T13:21:38.145496
gpt-4o_local_baseline_classification,gpt-4o,classification,19,card_arrival,card_arrival,True,2120.177,2026-01-23T13:21:40.265686
gpt-4o_local_baseline_classification,gpt-4o,classification,20,card_arrival,card_arrival,True,1704.9160000000002,2026-01-23T13:21:41.970622
gpt-4o_local_baseline_classification,gpt-4o,classification,21,card_arrival,card_arrival,True,1349.644,2026-01-23T13:21:43.320282
gpt-4o_local_baseline_classification,gpt-4o,classification,22,card_delivery_estimate,card_arrival,False,1443.498,2026-01-23T13:21:44.763794
gpt-4o_local_baseline_classification,gpt-4o,classification,23,card_delivery_estimate,card_arrival,False,1281.676,2026-01-23T13:21:46.045478
gpt-4o_local_baseline_classification,gpt-4o,classification,24,card_arrival,card_arrival,True,2168.838,2026-01-23T13:21:48.214326
gpt-4o_local_baseline_classification,gpt-4o,classification,25,card_delivery_estimate,card_arrival,False,1233.845,2026-01-23T13:21:49.448185
gpt-4o_local_baseline_classification,gpt-4o,classification,26,card_delivery_estimate,card_arrival,False,2380.683,2026-01-23T13:21:51.828881
gpt-4o_local_baseline_classification,gpt-4o,classification,27,card_delivery_estimate,card_arrival,False,1452.667,2026-01-23T13:21:53.281567
gpt-4o_local_baseline_classification,gpt-4o,classification,28,card_delivery_estimate,card_arrival,False,1932.1280000000002,2026-01-23T13:21:55.213713
gpt-4o_local_baseline_classification,gpt-4o,classification,29,card_delivery_estimate,card_arrival,False,1409.9470000000001,2026-01-23T13:21:56.623677
gpt-4o_local_baseline_classification,gpt-4o,classification,30,card_arrival,card_arrival,True,1340.096,2026-01-23T13:21:57.963790
gpt-4o_local_baseline_classification,gpt-4o,classification,31,card_delivery_estimate,card_arrival,False,1559.021,2026-01-23T13:21:59.522828
gpt-4o_local_baseline_classification,gpt-4o,classification,32,card_delivery_estimate,card_arrival,False,1794.689,2026-01-23T13:22:01.317538
