experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_qa,llama3.2,qa,0,"Yes, Scott Derrickson and Ed Wood were of the same nationality, being American.",yes,False,2104.998,2026-01-18T14:21:41.855601
llama3.2_local_baseline_qa,llama3.2,qa,1,"Unfortunately, I couldn't find any reliable source confirming the name of the actress who played Corliss Archer in the 2005 film Kiss and Tell. If you have any more context or details about the film, I'd be happy to try and help further.",Chief of Protocol,False,2915.883,2026-01-18T14:21:44.771504
llama3.2_local_baseline_qa,llama3.2,qa,2,A Court of Thorns and Roses,Animorphs,False,34180.394,2026-01-18T14:22:18.951918
llama3.2_local_baseline_qa,llama3.2,qa,3,"Yes, they are located in the same neighborhood.",no,False,1932.196,2026-01-18T14:22:20.884160
llama3.2_local_baseline_qa,llama3.2,qa,4,Greenwich Village,"Greenwich Village, New York City",False,1866.817,2026-01-18T14:22:22.750988
llama3.2_local_baseline_qa,llama3.2,qa,5,SM Entertainment.,YG Entertainment,False,1222.919,2026-01-18T14:22:23.973914
llama3.2_local_baseline_qa,llama3.2,qa,6,"It's difficult to determine which person the question is referring to without more context. However, one notable figure known by the name ""Aladdin"" is Alan A. Block, an American management consultant.",Eenasul Fateh,False,3374.817,2026-01-18T14:22:27.348739
llama3.2_local_baseline_qa,llama3.2,qa,7,"Androscoggin Bank Colisée can seat approximately 2,500 people.","3,677 seated",False,2126.5139999999997,2026-01-18T14:22:29.475273
llama3.2_local_baseline_qa,llama3.2,qa,8,Terry Richardson is older than Annie Morton.,Terry Richardson,False,1492.945,2026-01-18T14:22:30.968227
llama3.2_local_baseline_qa,llama3.2,qa,9,"No, they are not both from the United States.",yes,False,1803.196,2026-01-18T14:22:32.771441
llama3.2_local_baseline_qa,llama3.2,qa,10,"""On the Rocks""",Kansas Song,False,1891.67,2026-01-18T14:22:34.663137
llama3.2_local_baseline_qa,llama3.2,qa,11,"I couldn't find any information about a screenwriter with credits for ""Evolution"" who co-wrote a film starring Nicolas Cage and Téa Leoni.",David Weissman,False,50429.451,2026-01-18T14:23:25.092607
llama3.2_local_baseline_qa,llama3.2,qa,12,"Guns N' Roses performed the song ""Patience"" for the 1991 film ""Terminator 2: Judgment Day"".",1999,False,3509.79,2026-01-18T14:23:28.602938
llama3.2_local_baseline_qa,llama3.2,qa,13,"Yes, both buildings are used for real estate purposes.",no,False,2763.4370000000004,2026-01-18T14:23:31.366384
