experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_qa,llama3.2,qa,0,"Yes, Scott Derrickson and Ed Wood were of the same nationality, being American.",yes,False,3.705,2026-01-18T14:29:13.940281
llama3.2_local_baseline_qa,llama3.2,qa,1,"Unfortunately, I couldn't find any reliable source confirming the name of the actress who played Corliss Archer in the 2005 film Kiss and Tell. If you have any more context or details about the film, I'd be happy to try and help further.",Chief of Protocol,False,2.477,2026-01-18T14:29:13.942764
llama3.2_local_baseline_qa,llama3.2,qa,2,A Court of Thorns and Roses,Animorphs,False,9.459,2026-01-18T14:29:13.952228
llama3.2_local_baseline_qa,llama3.2,qa,3,"Yes, they are located in the same neighborhood.",no,False,1.4220000000000002,2026-01-18T14:29:13.953656
llama3.2_local_baseline_qa,llama3.2,qa,4,Greenwich Village,"Greenwich Village, New York City",False,1.508,2026-01-18T14:29:13.955168
llama3.2_local_baseline_qa,llama3.2,qa,5,SM Entertainment.,YG Entertainment,False,1.386,2026-01-18T14:29:13.956558
llama3.2_local_baseline_qa,llama3.2,qa,6,"It's difficult to determine which person the question is referring to without more context. However, one notable figure known by the name ""Aladdin"" is Alan A. Block, an American management consultant.",Eenasul Fateh,False,1.327,2026-01-18T14:29:13.957889
llama3.2_local_baseline_qa,llama3.2,qa,7,"Androscoggin Bank Colisée can seat approximately 2,500 people.","3,677 seated",False,1.563,2026-01-18T14:29:13.959465
llama3.2_local_baseline_qa,llama3.2,qa,8,Terry Richardson is older than Annie Morton.,Terry Richardson,False,1.334,2026-01-18T14:29:13.960806
llama3.2_local_baseline_qa,llama3.2,qa,9,"No, they are not both from the United States.",yes,False,1.542,2026-01-18T14:29:13.962353
llama3.2_local_baseline_qa,llama3.2,qa,10,"""On the Rocks""",Kansas Song,False,0.6669999999999999,2026-01-18T14:29:13.963023
llama3.2_local_baseline_qa,llama3.2,qa,11,"I couldn't find any information about a screenwriter with credits for ""Evolution"" who co-wrote a film starring Nicolas Cage and Téa Leoni.",David Weissman,False,4.254,2026-01-18T14:29:13.967282
llama3.2_local_baseline_qa,llama3.2,qa,12,"Guns N' Roses performed the song ""Patience"" for the 1991 film ""Terminator 2: Judgment Day"".",1999,False,1.549,2026-01-18T14:29:13.968836
llama3.2_local_baseline_qa,llama3.2,qa,13,"Yes, both buildings are used for real estate purposes.",no,False,1.506,2026-01-18T14:29:13.970347
llama3.2_local_baseline_qa,llama3.2,qa,14,Sir Alex Ferguson managed Manchester United from 1986 to 2013.,from 1986 to 2013,False,1.428,2026-01-18T14:29:13.971778
llama3.2_local_baseline_qa,llama3.2,qa,15,"Without more specific information about the state or country, it's difficult to provide an accurate answer regarding the number of inhabitants.","9,984",False,1.443,2026-01-18T14:29:13.973224
llama3.2_local_baseline_qa,llama3.2,qa,16,The conference was previously known as the Northeast-10 Conference.,the North Atlantic Conference,False,1.412,2026-01-18T14:29:13.974639
llama3.2_local_baseline_qa,llama3.2,qa,17,"Yes, both Giuseppe Verdi and Ambroise Thomas are opera composers.",yes,False,1.4009999999999998,2026-01-18T14:29:13.976044
