experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,0,Denver Broncos,Denver Broncos,True,13227.187,2026-02-08T18:24:45.408329
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,1,Carolina Panthers,Carolina Panthers,True,8501.692000000001,2026-02-08T18:24:53.910040
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,2,"Levi's Stadium, Santa Clara, California","Santa Clara, California",True,9679.197,2026-02-08T18:25:03.589266
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,3,Denver Broncos,Denver Broncos,True,10242.386,2026-02-08T18:25:13.831671
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,4,gold,gold,True,12043.077000000001,2026-02-08T18:25:25.874779
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,5,"The theme of Super Bowl 50 was the ""golden anniversary,"" celebrating its 50th year with gold-themed events.","""golden anniversary""",False,11816.151,2026-02-08T18:25:37.690955
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,6,"February 7, 2016.","February 7, 2016",True,25265.075,2026-02-08T18:26:02.956053
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,7,AFC,American Football Conference,False,10330.975,2026-02-08T18:26:13.287081
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,8,"The theme of Super Bowl 50 was the ""golden anniversary,"" celebrating its 50th year with gold-themed events.","""golden anniversary""",False,16.164,2026-02-08T18:26:13.303277
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,9,AFC stands for American Football Conference.,American Football Conference,True,9933.448,2026-02-08T18:26:23.236748
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,10,Sunday,"February 7, 2016",False,24927.536,2026-02-08T18:26:48.164305
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,11,Denver Broncos,Denver Broncos,True,7767.433,2026-02-08T18:26:55.931763
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,12,"Levi's Stadium, San Francisco Bay Area, California",Levi's Stadium,True,10717.856,2026-02-08T18:27:06.649638
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,13,San Francisco,Santa Clara,False,10283.56,2026-02-08T18:27:16.933226
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,14,Super Bowl L,Super Bowl L,True,12919.297,2026-02-08T18:27:29.852541
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,15,The NFL champion for the 2015 season.,2015,True,12590.482,2026-02-08T18:27:42.443044
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,16,2016,2015,False,12928.446,2026-02-08T18:27:55.371527
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,17,San Francisco,Santa Clara,False,18.058999999999997,2026-02-08T18:27:55.389627
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,18,"Levi's Stadium, Santa Clara, California",Levi's Stadium,True,8911.568000000001,2026-02-08T18:28:04.301225
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,19,24–10,24–10,True,12008.001,2026-02-08T18:28:16.309272
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,20,"February 7, 2016","February 7, 2016",True,8349.523,2026-02-08T18:28:24.658809
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,21,2016,2015,False,13037.571,2026-02-08T18:28:37.696398
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,22,Denver Broncos,Denver Broncos,True,19404.104,2026-02-08T18:28:57.100528
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,23,Carolina Panthers,Carolina Panthers,True,10618.413,2026-02-08T18:29:07.718960
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,24,Denver Broncos,Denver Broncos,True,17.003999999999998,2026-02-08T18:29:07.735993
deepseek-r1:7b_local_baseline_rag,deepseek-r1:7b,rag,25,2015,2015,True,9987.852,2026-02-08T18:29:17.723866
