experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
phi4_local_baseline_rag,phi4,rag,0,Denver Broncos,Denver Broncos,True,25240.409,2026-01-19T15:27:52.462172
phi4_local_baseline_rag,phi4,rag,1,Carolina Panthers,Carolina Panthers,True,9028.297,2026-01-19T15:28:01.490941
phi4_local_baseline_rag,phi4,rag,2,"Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","Santa Clara, California",True,17263.176000000003,2026-01-19T15:28:18.755430
phi4_local_baseline_rag,phi4,rag,3,Denver Broncos,Denver Broncos,True,12069.404999999999,2026-01-19T15:28:30.825033
phi4_local_baseline_rag,phi4,rag,4,Gold,gold,True,18226.078,2026-01-19T15:28:49.051477
phi4_local_baseline_rag,phi4,rag,5,"The theme of Super Bowl 50 was the ""golden anniversary,"" emphasizing gold-themed initiatives and prominently featuring the Arabic numerals 50.","""golden anniversary""",False,18486.681,2026-01-19T15:29:07.539969
phi4_local_baseline_rag,phi4,rag,6,"February 7, 2016","February 7, 2016",True,13352.371,2026-01-19T15:29:20.893673
phi4_local_baseline_rag,phi4,rag,7,American Football Conference,American Football Conference,True,24183.257,2026-01-19T15:29:45.077030
phi4_local_baseline_rag,phi4,rag,8,"The theme of Super Bowl 50 was the ""golden anniversary,"" emphasizing gold-themed initiatives and prominently featuring the Arabic numerals 50.","""golden anniversary""",False,9.834000000000001,2026-01-19T15:29:45.087334
phi4_local_baseline_rag,phi4,rag,9,American Football Conference,American Football Conference,True,34722.213,2026-01-19T15:30:19.809607
phi4_local_baseline_rag,phi4,rag,10,"February 7, 2016","February 7, 2016",True,29138.670000000002,2026-01-19T15:30:48.949189
phi4_local_baseline_rag,phi4,rag,11,The Denver Broncos won Super Bowl 50.,Denver Broncos,True,24185.587000000003,2026-01-19T15:31:13.137026
phi4_local_baseline_rag,phi4,rag,12,Levi's Stadium,Levi's Stadium,True,20685.881999999998,2026-01-19T15:31:33.825477
phi4_local_baseline_rag,phi4,rag,13,Santa Clara,Santa Clara,True,16438.377,2026-01-19T15:31:50.264436
phi4_local_baseline_rag,phi4,rag,14,Super Bowl L,Super Bowl L,True,26110.526,2026-01-19T15:32:16.377249
phi4_local_baseline_rag,phi4,rag,15,2015,2015,True,49092.465,2026-01-19T15:33:05.470871
phi4_local_baseline_rag,phi4,rag,16,2016,2015,False,33805.676,2026-01-19T15:33:39.276947
phi4_local_baseline_rag,phi4,rag,17,Santa Clara,Santa Clara,True,174.104,2026-01-19T15:33:39.451175
phi4_local_baseline_rag,phi4,rag,18,Levi's Stadium,Levi's Stadium,True,34032.757,2026-01-19T15:34:13.484045
