experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,0,No,No,True,2328.5719999999997,476,78,0.0,2026-01-19T15:20:25.681227
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,1,Yes,Yes,True,1615.2089999999998,463,47,0.0,2026-01-19T15:20:27.296484
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,2,Yes,Yes,True,2534.063,273,126,0.0,2026-01-19T15:20:29.830570
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,3,Yes,Yes,True,1317.536,324,47,0.0,2026-01-19T15:20:31.148119
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,4,Yes,Yes,True,2344.701,310,127,0.0,2026-01-19T15:20:33.492836
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,5,No,No,True,1963.4940000000001,295,44,0.0,2026-01-19T15:20:35.456340
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,6,No,Yes,False,3184.7690000000002,341,122,0.0,2026-01-19T15:20:38.641136
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,7,Yes,Yes,True,1747.626,341,55,0.0,2026-01-19T15:20:40.388799
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,8,No,Yes,False,2486.3140000000003,224,122,0.0,2026-01-19T15:20:42.875149
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,9,Yes,Yes,True,2576.65,316,110,0.0,2026-01-19T15:20:45.451817
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,10,Yes,Yes,True,1830.86,383,61,0.0,2026-01-19T15:20:47.282757
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,11,No,No,True,2361.666,318,119,0.0,2026-01-19T15:20:49.644486
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,12,No,Yes,False,2341.053,322,124,0.0,2026-01-19T15:20:51.985556
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,13,Yes,Yes,True,2530.861,329,141,0.0,2026-01-19T15:20:54.516479
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,14,Yes,Yes,True,2034.0569999999998,368,111,0.0,2026-01-19T15:20:56.550546
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,15,Yes,Yes,True,2278.615,289,107,0.0,2026-01-19T15:20:58.829185
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,16,No,Yes,False,1708.739,358,50,0.0,2026-01-19T15:21:00.537936
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,17,Yes,Yes,True,1617.241,268,47,0.0,2026-01-19T15:21:02.155229
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,18,Yes,Yes,True,2129.135,373,116,0.0,2026-01-19T15:21:04.284374
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,19,Yes,Yes,True,1480.8049999999998,273,51,0.0,2026-01-19T15:21:05.765198
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,20,No,No,True,2163.741,384,130,0.0,2026-01-19T15:21:07.928963
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,21,Yes,Yes,True,2468.669,404,124,0.0,2026-01-19T15:21:10.397642
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,22,No,Yes,False,2327.506,268,113,0.0,2026-01-19T15:21:12.725160
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,23,Yes,Yes,True,2867.8810000000003,291,54,0.0,2026-01-19T15:21:15.593065
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,24,No,Yes,False,2458.755,363,126,0.0,2026-01-19T15:21:18.051832
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,25,Yes,Yes,True,2037.789,309,128,0.0,2026-01-19T15:21:20.089631
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,26,Yes,Yes,True,4904.649,337,261,0.0,2026-01-19T15:21:24.994301
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,27,No,No,True,2274.4610000000002,423,118,0.0,2026-01-19T15:21:27.268825
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,28,Yes,Yes,True,1945.0629999999999,279,48,0.0,2026-01-19T15:21:29.213900
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,29,Yes,Yes,True,1914.297,328,61,0.0,2026-01-19T15:21:31.128209
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,30,Yes,Yes,True,1839.72,339,53,0.0,2026-01-19T15:21:32.967944
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,31,Yes,Yes,True,2054.786,270,60,0.0,2026-01-19T15:21:35.022756
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,32,No,No,True,2328.043,294,123,0.0,2026-01-19T15:21:37.350812
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,33,Yes,Yes,True,2512.773,303,125,0.0,2026-01-19T15:21:39.863600
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,34,Yes,Yes,True,2048.01,316,59,0.0,2026-01-19T15:21:41.911625
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,35,Yes,Yes,True,1948.3010000000002,352,58,0.0,2026-01-19T15:21:43.859941
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,36,No,No,True,1840.8629999999998,325,60,0.0,2026-01-19T15:21:45.700819
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,37,Yes,Yes,True,1656.8480000000002,374,52,0.0,2026-01-19T15:21:47.357680
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,38,No,No,True,1951.48,428,62,0.0,2026-01-19T15:21:49.309175
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,39,No,No,True,2328.3680000000004,250,111,0.0,2026-01-19T15:21:51.637564
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,40,Yes,Yes,True,1874.663,468,53,0.0,2026-01-19T15:21:53.512278
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,41,No,No,True,1817.2060000000001,354,50,0.0,2026-01-19T15:21:55.329504
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,42,No,Yes,False,3905.67,348,195,0.0,2026-01-19T15:21:59.235186
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,43,No,No,True,3030.616,254,177,0.0,2026-01-19T15:22:02.265812
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,44,Yes,Yes,True,1775.434,302,43,0.0,2026-01-19T15:22:04.041261
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,45,Yes,Yes,True,1534.709,296,54,0.0,2026-01-19T15:22:05.576032
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,46,Yes,Yes,True,2958.725,325,118,0.0,2026-01-19T15:22:08.534768
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,47,Yes,Yes,True,1344.822,383,51,0.0,2026-01-19T15:22:09.879604
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,48,Yes,Yes,True,1846.039,389,55,0.0,2026-01-19T15:22:11.725666
gpt-5.2-chat-latest_baseline_analysis,gpt-5.2-chat-latest,analysis,49,No,Yes,False,2166.556,317,129,0.0,2026-01-19T15:22:13.892232
