experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-4o_baseline_agentic,gpt-4o,agentic,0,No,No,True,3.673,190,163,0.002105,2026-01-19T15:20:04.832428
gpt-4o_baseline_agentic,gpt-4o,agentic,1,No,No,True,1.887,188,121,0.0016799999999999999,2026-01-19T15:20:04.834327
gpt-4o_baseline_agentic,gpt-4o,agentic,2,No,No,True,2.083,191,96,0.0014375,2026-01-19T15:20:04.836421
gpt-4o_baseline_agentic,gpt-4o,agentic,3,No,No,True,1.0610000000000002,189,116,0.0016325,2026-01-19T15:20:04.837491
gpt-4o_baseline_agentic,gpt-4o,agentic,4,No,No,True,0.9259999999999999,188,158,0.0020499999999999997,2026-01-19T15:20:04.838425
gpt-4o_baseline_agentic,gpt-4o,agentic,5,No,Yes,False,1.1720000000000002,194,169,0.002175,2026-01-19T15:20:04.839604
gpt-4o_baseline_agentic,gpt-4o,agentic,6,Yes,Yes,True,1.189,187,179,0.0022575,2026-01-19T15:20:04.840801
gpt-4o_baseline_agentic,gpt-4o,agentic,7,No,No,True,1.259,187,98,0.0014475,2026-01-19T15:20:04.842074
gpt-4o_baseline_agentic,gpt-4o,agentic,8,Yes,No,False,0.857,195,373,0.0042175,2026-01-19T15:20:04.842938
gpt-4o_baseline_agentic,gpt-4o,agentic,9,Yes,Yes,True,1.232,186,128,0.0017449999999999998,2026-01-19T15:20:04.844177
gpt-4o_baseline_agentic,gpt-4o,agentic,10,No,Yes,False,1.141,186,247,0.002935,2026-01-19T15:20:04.845326
gpt-4o_baseline_agentic,gpt-4o,agentic,11,No,No,True,1.082,193,113,0.0016125,2026-01-19T15:20:04.846419
gpt-4o_baseline_agentic,gpt-4o,agentic,12,No,No,True,1.1340000000000001,188,131,0.0017800000000000001,2026-01-19T15:20:04.847560
gpt-4o_baseline_agentic,gpt-4o,agentic,13,No,Yes,False,0.9309999999999999,191,279,0.0032675,2026-01-19T15:20:04.848498
gpt-4o_baseline_agentic,gpt-4o,agentic,14,Yes,No,False,0.816,194,147,0.001955,2026-01-19T15:20:04.849320
gpt-4o_baseline_agentic,gpt-4o,agentic,15,No,No,True,0.962,187,144,0.0019075000000000001,2026-01-19T15:20:04.850288
gpt-4o_baseline_agentic,gpt-4o,agentic,16,Yes,Yes,True,0.9740000000000001,191,155,0.0020275,2026-01-19T15:20:04.851270
gpt-4o_baseline_agentic,gpt-4o,agentic,17,Yes,Yes,True,1.092,189,113,0.0016025,2026-01-19T15:20:04.852371
gpt-4o_baseline_agentic,gpt-4o,agentic,18,No,No,True,1.028,187,113,0.0015975,2026-01-19T15:20:04.853405
gpt-4o_baseline_agentic,gpt-4o,agentic,19,No,No,True,0.982,185,95,0.0014125000000000001,2026-01-19T15:20:04.854394
gpt-4o_baseline_agentic,gpt-4o,agentic,20,No,No,True,1.232,192,153,0.00201,2026-01-19T15:20:04.855632
gpt-4o_baseline_agentic,gpt-4o,agentic,21,No,No,True,0.9790000000000001,191,191,0.0023875,2026-01-19T15:20:04.856618
gpt-4o_baseline_agentic,gpt-4o,agentic,22,No,Yes,False,0.9940000000000001,189,158,0.0020524999999999996,2026-01-19T15:20:04.857618
gpt-4o_baseline_agentic,gpt-4o,agentic,23,Yes,Yes,True,0.9740000000000001,184,124,0.0017000000000000001,2026-01-19T15:20:04.858598
gpt-4o_baseline_agentic,gpt-4o,agentic,24,Yes,Yes,True,0.718,193,158,0.0020624999999999997,2026-01-19T15:20:04.859322
gpt-4o_baseline_agentic,gpt-4o,agentic,25,Yes,Yes,True,0.704,186,190,0.0023650000000000003,2026-01-19T15:20:04.860037
gpt-4o_baseline_agentic,gpt-4o,agentic,26,No,No,True,0.6809999999999999,188,148,0.00195,2026-01-19T15:20:04.860723
