experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,0,A Welsh ex-offender housing charity has warned that some prison leavers are sleeping rough for up to a year and says investing in accommodation would be cheaper than repeatedly jailing homeless reoffenders.,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",0.4053156146179402,2967.054,3520,106,0.038380000000000004,2026-02-07T12:37:41.512622
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,1,"Police in Edinburgh recovered three firearms, ammunition and a five-figure sum of cash in raids on Wednesday, and a 26-year-old man has been charged and appeared in court.","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",0.4888888888888889,1689.539,2872,91,0.03145,2026-02-07T12:37:43.202216
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,2,Four people have appeared in a Chicago court charged with hate crimes and aggravated kidnapping over the alleged abduction and assault of an 18-year-old man.,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",0.45245901639344266,2181.301,3141,89,0.03408,2026-02-07T12:37:45.383558
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,3,West Bromwich Albion have appointed former Arsenal and Reading goalkeeper Nicky Hammond as their new technical director.,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",0.5398230088495575,2407.612,2884,78,0.03118,2026-02-07T12:37:47.791208
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,4,"A study published in Cell reports that a fasting-mimicking diet regenerated insulin-producing pancreatic cells and reversed diabetes symptoms in mice, with similar effects seen in tests on human tissue.","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",0.42105263157894735,2984.639,3570,99,0.038669999999999996,2026-02-07T12:37:50.775885
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,5,"French lens-maker Essilor and Italian frame giant Luxottica are seeking regulatory approval for a merger to create eyewear group EssilorLuxottica, prompting competition concerns over its market dominance.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",0.42541436464088395,2476.355,4082,100,0.04382,2026-02-07T12:37:53.252272
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,6,Olympic silver medallist Wendy Houvenaghel has accused British Cycling’s World Class programme of ageism and failing to protect athlete welfare following a leaked draft report into the organisation’s culture.,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",0.38390092879256965,2720.868,3958,107,0.042789999999999995,2026-02-07T12:37:55.973169
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,7,US comedy club revenues are forecast to rise to $344.6m a year by 2020 amid a resurgence in stand-up and expanding venues such as Austin’s Hideout.,Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,0.401360544217687,3353.026,4117,115,0.04462,2026-02-07T12:37:59.326231
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,8,"Ofcom has ruled out breaking up BT but will impose a tougher separation of its Openreach network arm, sending BT shares up in early trading.","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",0.4396284829721362,2201.578,3316,84,0.03568,2026-02-07T12:38:01.527845
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,9,Celtic manager Brendan Rodgers says his side will be prepared and focused for the Old Firm semi-final against Rangers at Hampden Park.,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,0.5182481751824817,2356.675,3294,84,0.03546,2026-02-07T12:38:03.884549
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,10,"Queen's University Belfast is to cut more than 1,000 student places and make job cuts from September 2015 after an £8m reduction in government funding.",Queen's University Belfast is cutting 236 jobs and 290 student places due to a funding reduction.,0.6129032258064516,2594.991,3287,89,0.035539999999999995,2026-02-07T12:38:06.479578
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,11,East Sussex Healthcare NHS Trust has apologised after about 850 patients were mistakenly sent urgent cancer referral leaflets with hospital appointment letters due to a printing company error.,Hospital bosses in Sussex have apologised after about 850 patients were sent leaflets in error suggesting they might have cancer.,0.5669781931464175,2382.661,3052,92,0.03328,2026-02-07T12:38:08.862266
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,12,"Labour’s Emily Thornberry said the party would not block Brexit by voting down the Article 50 bill even if its proposed amendments are rejected, as MPs prepare for the legislation’s final Commons stages.",The shadow foreign secretary has suggested Labour will continue to support legislation paving the way for Brexit as it passes through Parliament.,0.396551724137931,2723.069,3472,110,0.03802,2026-02-07T12:38:11.585375
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,13,Torquay United say they will receive money from a sell-on clause after former player Eunan O'Kane was transferred from Bournemouth for an undisclosed fee.,Torquay United boss Kevin Nicholson says none of the money from Eunan O'Kane's move to Leeds from Bournemouth will go to the playing squad.,0.5665529010238908,2531.7569999999996,2948,101,0.03251,2026-02-07T12:38:14.117161
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,14,An inquest has heard a psychiatrist say a police visit to Iwan Wyn Lewis while he was being treated at Ysbyty Gwynedd may have increased his distress before he was found dead in the Menai Strait in May 2016.,North Wales Police has been criticised at an inquest for sending an officer to speak to a hospital patient with paranoid schizophrenia.,0.4093567251461988,2351.683,3111,110,0.034409999999999996,2026-02-07T12:38:16.468871
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,15,Sheffield Wednesday have signed Leicester City forward Gary Taylor-Fletcher on loan ahead of their Championship match against Norwich City.,Leicester City striker Gary Taylor-Fletcher has joined Sheffield Wednesday on an initial month-long loan.,0.5163934426229508,2350.0299999999997,2888,85,0.03143,2026-02-07T12:38:18.818935
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,16,US scientists are racing to copy federal climate and research data onto independent servers amid fears the incoming Trump administration could restrict access to government databases.,"Limiting access to federal research would do an ""enormous disservice"" to the US and the world according to former Nasa chief scientist.",0.46540880503144655,1953.424,3980,78,0.042140000000000004,2026-02-07T12:38:20.772388
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,17,"John “Brad” Bradbury, drummer with ska band The Specials, has died in England aged 62, his family said.","John ""Brad"" Bradbury, drummer with The Specials, has died at the age of 62.",0.7415730337078652,1849.289,3317,82,0.035629999999999995,2026-02-07T12:38:22.621698
gpt-5.2_baseline_synthesis,gpt-5.2,synthesis,18,Tiger Woods missed the cut by four shots at the Farmers Insurance Open at Torrey Pines in San Diego in his first full PGA Tour event for almost 18 months.,"Tiger Woods missed the cut at the Farmers Insurance Open, as England's Justin Rose maintained a one-shot lead.",0.6136363636363636,2072.918,3072,88,0.03336,2026-02-07T12:38:24.694640
