experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-4o_baseline_synthesis,gpt-4o,synthesis,0,"Ex-offenders in Wales face significant challenges in finding housing post-release, with charities advocating for more investment in housing as a cost-effective alternative to incarceration, while the Welsh Government works on increasing affordable housing availability.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",0.3791208791208791,3069.281,879,172,0.0039175,2026-01-18T13:20:17.631272
gpt-4o_baseline_synthesis,gpt-4o,synthesis,1,"Police recovered firearms, ammunition, and a large sum of money during searches in Edinburgh, leading to the arrest and court appearance of a 26-year-old man.","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",0.4669260700389105,2460.46,231,125,0.0018275,2026-01-18T13:20:20.091768
gpt-4o_baseline_synthesis,gpt-4o,synthesis,2,"Four individuals in Chicago have been charged with hate crimes and other offenses for allegedly kidnapping and abusing an 18-year-old disabled man, with the incident being broadcast on Facebook Live.","Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",0.478386167146974,2697.975,500,149,0.00274,2026-01-18T13:20:22.789784
gpt-4o_baseline_synthesis,gpt-4o,synthesis,3,"The former Arsenal goalkeeper, who became director of football, played a crucial role in West Brom's promotions to the Premier League in 2006 and 2012.","West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",0.4124513618677043,3103.112,243,108,0.0016875,2026-01-18T13:20:25.892938
gpt-4o_baseline_synthesis,gpt-4o,synthesis,4,"A study found that a fasting-mimicking diet could regenerate pancreatic beta cells and reverse diabetes symptoms in mice, with potential implications for human treatment, though further research is needed.","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",0.4104234527687296,3505.48,929,170,0.0040225,2026-01-18T13:20:29.398981
gpt-4o_baseline_synthesis,gpt-4o,synthesis,5,"The proposed merger between Essilor and Luxottica, two leading eyewear companies, raises concerns about reduced competition and consumer choice, despite claims of synergies and innovation benefits.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",0.4676056338028169,2556.507,1441,174,0.0053425,2026-01-18T13:20:31.955516
gpt-4o_baseline_synthesis,gpt-4o,synthesis,6,"Olympic silver medallist Wendy Houvenaghel has accused British Cycling of ageism and prioritizing medals over athlete welfare, amid broader criticisms and a government review into the organization's culture and treatment of athletes.","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.",0.3850574712643677,3336.807,1317,165,0.0049425,2026-01-18T13:20:35.292355
gpt-4o_baseline_synthesis,gpt-4o,synthesis,7,"Kareem Badr successfully revitalized the Hideout comedy club in Austin amidst a growing national interest in comedy, leveraging his problem-solving skills and the increasing role of digital media in the industry.",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,0.4233983286908077,4164.553,1476,150,0.00519,2026-01-18T13:20:39.456935
gpt-4o_baseline_synthesis,gpt-4o,synthesis,8,"Ofcom decided against breaking up BT due to practical obstacles, particularly its large pension scheme, opting instead to enforce a separation of Openreach through new governance measures.","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",0.4258760107816711,4296.084,675,156,0.0032475,2026-01-18T13:20:43.753086
gpt-4o_baseline_synthesis,gpt-4o,synthesis,9,"Brendan Rodgers is focused on maintaining high performance levels and winning the League Cup as Celtic prepares for the Old Firm derby at Hampden Park, while acknowledging the challenges and past defeats at the venue.",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,0.4761904761904761,2959.189,653,151,0.0031425,2026-01-18T13:20:46.712304
gpt-4o_baseline_synthesis,gpt-4o,synthesis,10,"Queen's University is reducing undergraduate places and potentially cutting jobs due to an £8m subsidy cut, raising concerns about economic and reputational impacts.",Queen's University Belfast is cutting 236 jobs and 290 student places due to a funding reduction.,0.5267175572519084,2686.742,646,164,0.003255,2026-01-18T13:20:49.399061
gpt-4o_baseline_synthesis,gpt-4o,synthesis,11,"East Sussex NHS Trust apologized after an external printing company mistakenly included incorrect cancer-related leaflets with hospital appointment letters, causing unnecessary anxiety among patients.",Hospital bosses in Sussex have apologised after about 850 patients were sent leaflets in error suggesting they might have cancer.,0.4680851063829787,4486.706,411,126,0.0022875,2026-01-18T13:20:53.885800
gpt-4o_baseline_synthesis,gpt-4o,synthesis,12,"Labour is attempting to amend the Brexit bill while ensuring it does not obstruct Brexit, facing internal divisions and potential resignations from MPs defying party orders.",The shadow foreign secretary has suggested Labour will continue to support legislation paving the way for Brexit as it passes through Parliament.,0.4088050314465408,3652.73,831,163,0.0037075,2026-01-18T13:20:57.538577
gpt-4o_baseline_synthesis,gpt-4o,synthesis,13,"The financially struggling football club hopes to benefit from a sell-on clause in a player's transfer to support its operations, as it seeks new ownership after previous financial setbacks.",Torquay United boss Kevin Nicholson says none of the money from Eunan O'Kane's move to Leeds from Bournemouth will go to the playing squad.,0.3890577507598784,3004.8720000000003,307,140,0.0021674999999999,2026-01-18T13:21:00.543477
gpt-4o_baseline_synthesis,gpt-4o,synthesis,14,"Iwan Wyn Lewis, who was under psychiatric care, was found dead in the Menai Strait after a police visit potentially exacerbated his distress, as discussed in an inquest.",North Wales Police has been criticised at an inquest for sending an officer to speak to a hospital patient with paranoid schizophrenia.,0.4407894736842105,4525.651,470,173,0.002905,2026-01-18T13:21:05.069156
gpt-4o_baseline_synthesis,gpt-4o,synthesis,15,"Taylor-Fletcher, who had limited appearances for the Foxes this season, has joined the Owls ahead of their Championship game against Norwich City.",Leicester City striker Gary Taylor-Fletcher has joined Sheffield Wednesday on an initial month-long loan.,0.4223107569721115,1593.212,247,109,0.0017075,2026-01-18T13:21:06.662513
gpt-4o_baseline_synthesis,gpt-4o,synthesis,16,"Scientists are concerned about potential restrictions on climate data access under the Trump administration, prompting them to copy data and debate the direction of climate research.","Limiting access to federal research would do an ""enormous disservice"" to the US and the world according to former Nasa chief scientist.",0.4353312302839116,2893.89,1339,142,0.0047675,2026-01-18T13:21:09.556439
gpt-4o_baseline_synthesis,gpt-4o,synthesis,17,"John 'Brad' Bradbury, the influential drummer of The Specials, has passed away, leaving a significant legacy in the ska and reggae music scene.","John ""Brad"" Bradbury, drummer with The Specials, has died at the age of 62.",0.5779816513761468,1935.796,676,130,0.0029899999999999,2026-01-18T13:21:11.492273
