experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,0,"{""PER"": [], ""ORG"": [], ""LOC"": [""India"", ""Adyar""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""India"", ""Adyar""], ""MISC"": []}",True,2883.992,2026-01-18T17:14:06.539492
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,1,"{""PER"": [""Kanye West"", ""Jamie Foxx""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Kanye West"", ""Jamie Foxx""], ""ORG"": [""Gold Digger""], ""LOC"": [], ""MISC"": []}",True,2024.647,2026-01-18T17:14:08.564161
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,2,"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Mycalesis perseus lalassis""], ""MISC"": []}",False,1616.95,2026-01-18T17:14:10.181156
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,3,"{""PER"": [""Jonny Lee Miller""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Jonny Lee Miller""], ""ORG"": [""Eli Stone""], ""LOC"": [], ""MISC"": []}",True,1844.217,2026-01-18T17:14:12.025388
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,4,"{""PER"": [], ""ORG"": [], ""LOC"": [""United States""], ""MISC"": []}","{""PER"": [], ""ORG"": [""Admission to the bar in the United States""], ""LOC"": [], ""MISC"": []}",False,1718.972,2026-01-18T17:14:13.744385
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,5,"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Willy Unger""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,1603.118,2026-01-18T17:14:15.347523
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,6,"{""PER"": [], ""ORG"": [], ""LOC"": [""Palermo""], ""MISC"": []}","{""PER"": [], ""ORG"": [""Palermo Cathedral""], ""LOC"": [], ""MISC"": []}",False,1773.4019999999998,2026-01-18T17:14:17.120936
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,7,"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""The O.C.""]}","{""PER"": [""List of The O.C. characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,1771.6750000000002,2026-01-18T17:14:18.892646
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,8,"{""PER"": [], ""ORG"": [""Cardiff Royal Infirmary""], ""LOC"": [""Roath"", ""Cardiff""], ""MISC"": []}","{""PER"": [], ""ORG"": [""Cardiff Royal Infirmary""], ""LOC"": [""Roath , Cardiff""], ""MISC"": []}",False,2194.718,2026-01-18T17:14:21.087375
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,9,"{""PER"": [""Roger Houdet""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Roger Houdet""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,1827.186,2026-01-18T17:14:22.914584
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,10,"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""Oz ( TV series )""]}","{""PER"": [""List of Oz ( TV series ) characters""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,1857.315,2026-01-18T17:14:24.771916
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,11,"{""PER"": [""Jack"", ""Diane""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""John Mellencamp""], ""ORG"": [""Jack and Diane""], ""LOC"": [], ""MISC"": []}",False,1884.6719999999998,2026-01-18T17:14:26.656598
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,12,"{""PER"": [], ""ORG"": [], ""LOC"": [""Antarctica""], ""MISC"": []}","{""PER"": [], ""ORG"": [""List of Antarctic and sub-Antarctic islands""], ""LOC"": [], ""MISC"": []}",False,1777.114,2026-01-18T17:14:28.433758
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,13,"{""PER"": [], ""ORG"": [""1st Foreign Legion Cavalry Regiment""], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [""1st Foreign Legion Cavalry Regiment""], ""LOC"": [], ""MISC"": []}",True,1937.99,2026-01-18T17:14:30.371758
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,14,"{""PER"": [""John Reid""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""John Reid""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,1728.6999999999998,2026-01-18T17:14:32.100474
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,15,"{""PER"": [""Manuel 'Flaco' Ibáñez""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Manuel `` Flaco '' Ib\u00e1\u00f1ez""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,2097.065,2026-01-18T17:14:34.197559
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,16,"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [""Moments and Mine""], ""LOC"": [], ""MISC"": []}",False,1602.1319999999998,2026-01-18T17:14:35.799702
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,17,"{""PER"": [""Akritas Chlorakas""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [""Akritas Chlorakas""], ""LOC"": [], ""MISC"": []}",False,1922.816,2026-01-18T17:14:37.722531
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,18,"{""PER"": [], ""ORG"": [""Farmers' Almanac""], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [""Farmers ' Almanac""], ""LOC"": [], ""MISC"": []}",False,1904.393,2026-01-18T17:14:39.626933
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,19,"{""PER"": [], ""ORG"": [""Kuomintang""], ""LOC"": [""Tianjin""], ""MISC"": []}","{""PER"": [], ""ORG"": [""Kuomintang""], ""LOC"": [""Tianjin""], ""MISC"": []}",True,2052.342,2026-01-18T17:14:41.679287
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,20,"{""PER"": [], ""ORG"": [], ""LOC"": [""Peru""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Peru""], ""MISC"": []}",True,1730.957,2026-01-18T17:14:43.410258
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,21,"{""PER"": [""Han Suyin""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Han Suyin""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,1825.8319999999999,2026-01-18T17:14:45.236109
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,22,"{""PER"": [""Bishop John J. Kinney""], ""ORG"": [], ""LOC"": [""Bismarck"", ""Saint Cloud""], ""MISC"": []}","{""PER"": [""Bishop John J. Kinney""], ""ORG"": [], ""LOC"": [""Bishop of Bismarck"", ""Bishop of Saint Cloud""], ""MISC"": []}",False,2489.319,2026-01-18T17:14:47.725438
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,23,"{""PER"": [], ""ORG"": [], ""LOC"": [""Eau Claire County"", ""Wisconsin""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Wilson , Eau Claire County , Wisconsin""], ""MISC"": []}",False,2004.516,2026-01-18T17:14:49.729966
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,24,"{""PER"": [], ""ORG"": [""Sydney Theatre Company""], ""LOC"": [], ""MISC"": []}","{""PER"": [""Sydney Theatre Company""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,1837.184,2026-01-18T17:14:51.567164
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,25,"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [""Time Well Wasted""], ""LOC"": [], ""MISC"": []}",False,1629.337,2026-01-18T17:14:53.196523
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,26,"{""PER"": [], ""ORG"": [], ""LOC"": [""Jhansi""], ""MISC"": []}","{""PER"": [], ""ORG"": [""Jhansi""], ""LOC"": [], ""MISC"": []}",False,1774.96,2026-01-18T17:14:54.971501
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,27,"{""PER"": [], ""ORG"": [""Kashiwa Reysol"", ""Jeonbuk Hyundai Motors""], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [""Kashiwa Reysol"", ""Jeonbuk Hyundai Motors""], ""LOC"": [], ""MISC"": []}",True,2254.07,2026-01-18T17:14:57.225589
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,28,"{""PER"": [], ""ORG"": [], ""LOC"": [""Merritt Island"", ""Florida""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Merritt Island , Florida""], ""MISC"": []}",False,1945.8500000000001,2026-01-18T17:14:59.171453
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,29,"{""PER"": [], ""ORG"": [""Roman Catholic Archdiocese of Edmonton""], ""LOC"": [""Edmonton""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Roman Catholic Archdiocese of Edmonton""], ""MISC"": []}",False,2060.868,2026-01-18T17:15:01.232330
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,30,"{""PER"": [""He""], ""ORG"": [""St. Louis Rams""], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [""St. Louis Rams""], ""LOC"": [], ""MISC"": []}",True,2026.497,2026-01-18T17:15:03.258841
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,31,"{""PER"": [""Jean Colombera""], ""ORG"": [""Chamber of Deputies"", ""Alternative Democratic Reform Party""], ""LOC"": [], ""MISC"": []}","{""PER"": [""Jean Colombera""], ""ORG"": [""Chamber of Deputies"", ""Alternative Democratic Reform Party"", ""2009 election""], ""LOC"": [], ""MISC"": []}",True,2531.221,2026-01-18T17:15:05.790075
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,32,"{""PER"": [""Ashley Tappin"", ""Erin Phenix"", ""Courtney Shealy"", ""Amy Van Dyken""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Ashley Tappin"", ""Erin Phenix"", ""Courtney Shealy"", ""Amy Van Dyken""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,2775.717,2026-01-18T17:15:08.565808
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,33,"{""PER"": [""Romy Kermer"", ""Rolf""], ""ORG"": [], ""LOC"": [""Österreich""], ""MISC"": []}","{""PER"": [""Romy Kermer"", ""Rolf \u00d6sterreich""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",False,2113.743,2026-01-18T17:15:10.679559
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,34,"{""PER"": [], ""ORG"": [], ""LOC"": [""Gates""], ""MISC"": []}","{""PER"": [], ""ORG"": [""Gates-Chili High School""], ""LOC"": [""Gates""], ""MISC"": []}",True,1725.9119999999998,2026-01-18T17:15:12.405483
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,35,"{""PER"": [""Riki Lindhome""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [""Riki Lindhome""], ""ORG"": [], ""LOC"": [], ""MISC"": []}",True,1815.941,2026-01-18T17:15:14.221434
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,36,"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [""Raindrops Keep Fallin ' on My Head""], ""LOC"": [], ""MISC"": []}",False,1574.68,2026-01-18T17:15:15.796130
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,37,"{""PER"": [], ""ORG"": [], ""LOC"": [""Hermanus"", ""Western Cape"", ""South Africa"", ""Israel""], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Hermanus"", ""Western Cape"", ""South Africa"", ""Israel""], ""MISC"": []}",True,2261.19,2026-01-18T17:15:18.057338
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,38,"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""Type 1 Diabetes""]}","{""PER"": [], ""ORG"": [""Type 1 Diabetes""], ""LOC"": [], ""MISC"": []}",False,1792.029,2026-01-18T17:15:19.849378
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,39,"{""PER"": [], ""ORG"": [], ""LOC"": [""Earls Court"", ""West Norwood""], ""MISC"": []}","{""PER"": [], ""ORG"": [""West Norwood Cemetery""], ""LOC"": [""Earls Court""], ""MISC"": []}",True,1998.842,2026-01-18T17:15:21.848231
qwen2.5:7b_local_baseline_extraction,qwen2.5:7b,extraction,40,"{""PER"": [], ""ORG"": [], ""LOC"": [""Super Bowl XLIX""], ""MISC"": []}","{""PER"": [], ""ORG"": [""Super Bowl XLIX""], ""LOC"": [], ""MISC"": []}",False,1840.6499999999999,2026-01-18T17:15:23.688906
