experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2_baseline_math,gpt-5.2,math,0,18,18,True,2571.929,1244,83,0.014930000000000002,2026-02-07T12:32:41.544981
gpt-5.2_baseline_math,gpt-5.2,math,1,3,3,True,1118.007,1207,55,0.01372,2026-02-07T12:32:42.663023
gpt-5.2_baseline_math,gpt-5.2,math,2,70000,70000,True,1657.8129999999999,1230,102,0.01536,2026-02-07T12:32:44.320862
gpt-5.2_baseline_math,gpt-5.2,math,3,540,540,True,1387.173,1215,76,0.014429999999999998,2026-02-07T12:32:45.708061
gpt-5.2_baseline_math,gpt-5.2,math,4,20,20,True,2732.62,1288,98,0.01582,2026-02-07T12:32:48.440708
gpt-5.2_baseline_math,gpt-5.2,math,5,64,64,True,2157.9100000000003,1233,119,0.015899999999999997,2026-02-07T12:32:50.598647
gpt-5.2_baseline_math,gpt-5.2,math,6,260,260,True,1327.806,1222,82,0.01468,2026-02-07T12:32:51.926502
gpt-5.2_baseline_math,gpt-5.2,math,7,160,160,True,2443.133,1247,138,0.01661,2026-02-07T12:32:54.369675
gpt-5.2_baseline_math,gpt-5.2,math,8,45,45,True,3021.5809999999997,1282,194,0.01864,2026-02-07T12:32:57.391280
gpt-5.2_baseline_math,gpt-5.2,math,9,460,460,True,1930.453,1238,107,0.01559,2026-02-07T12:32:59.321752
gpt-5.2_baseline_math,gpt-5.2,math,10,366,366,True,2027.13,1239,97,0.015300000000000001,2026-02-07T12:33:01.348904
gpt-5.2_baseline_math,gpt-5.2,math,11,694,694,True,1328.206,1240,76,0.014679999999999999,2026-02-07T12:33:02.677138
gpt-5.2_baseline_math,gpt-5.2,math,12,13,13,True,2757.925,1246,162,0.01732,2026-02-07T12:33:05.435089
gpt-5.2_baseline_math,gpt-5.2,math,13,36,18,False,3164.911,1239,211,0.01872,2026-02-07T12:33:08.600022
gpt-5.2_baseline_math,gpt-5.2,math,14,60,60,True,1991.848,1230,121,0.01593,2026-02-07T12:33:10.591894
gpt-5.2_baseline_math,gpt-5.2,math,15,125,125,True,1776.296,1271,88,0.015349999999999999,2026-02-07T12:33:12.368214
gpt-5.2_baseline_math,gpt-5.2,math,16,230,230,True,1464.563,1230,61,0.01413,2026-02-07T12:33:13.832802
gpt-5.2_baseline_math,gpt-5.2,math,17,57500,57500,True,1370.645,1233,78,0.014669999999999999,2026-02-07T12:33:15.203477
gpt-5.2_baseline_math,gpt-5.2,math,18,7,7,True,1377.473,1208,76,0.014360000000000001,2026-02-07T12:33:16.580977
gpt-5.2_baseline_math,gpt-5.2,math,19,6,6,True,2503.501,1245,130,0.01635,2026-02-07T12:33:19.084525
gpt-5.2_baseline_math,gpt-5.2,math,20,15,15,True,3305.922,1241,158,0.01715,2026-02-07T12:33:22.390480
gpt-5.2_baseline_math,gpt-5.2,math,21,14,14,True,1543.46,1225,75,0.0145,2026-02-07T12:33:23.933965
gpt-5.2_baseline_math,gpt-5.2,math,22,7,7,True,1722.024,1235,102,0.01541,2026-02-07T12:33:25.656011
gpt-5.2_baseline_math,gpt-5.2,math,23,8,8,True,1667.344,1217,64,0.01409,2026-02-07T12:33:27.323380
gpt-5.2_baseline_math,gpt-5.2,math,24,26,26,True,1487.381,1216,93,0.014950000000000001,2026-02-07T12:33:28.810787
gpt-5.2_baseline_math,gpt-5.2,math,25,2,2,True,2414.842,1244,117,0.015950000000000002,2026-02-07T12:33:31.225652
gpt-5.2_baseline_math,gpt-5.2,math,26,243,243,True,1992.68,1245,108,0.01569,2026-02-07T12:33:33.218355
gpt-5.2_baseline_math,gpt-5.2,math,27,16,16,True,1407.53,1234,83,0.01483,2026-02-07T12:33:34.625904
gpt-5.2_baseline_math,gpt-5.2,math,28,25,25,True,1866.641,1228,82,0.01474,2026-02-07T12:33:36.492570
gpt-5.2_baseline_math,gpt-5.2,math,29,104,104,True,1636.437,1248,83,0.01497,2026-02-07T12:33:38.129035
gpt-5.2_baseline_math,gpt-5.2,math,30,109,109,True,2141.106,1216,118,0.0157,2026-02-07T12:33:40.270164
gpt-5.2_baseline_math,gpt-5.2,math,31,80,80,True,2128.371,1241,122,0.01607,2026-02-07T12:33:42.398557
gpt-5.2_baseline_math,gpt-5.2,math,32,35,35,True,1268.858,1221,67,0.01422,2026-02-07T12:33:43.667444
gpt-5.2_baseline_math,gpt-5.2,math,33,70,70,True,2265.12,1209,99,0.01506,2026-02-07T12:33:45.932593
gpt-5.2_baseline_math,gpt-5.2,math,34,23,23,True,1323.6000000000001,1221,74,0.01443,2026-02-07T12:33:47.256218
gpt-5.2_baseline_math,gpt-5.2,math,35,9,9,True,1443.669,1229,75,0.01454,2026-02-07T12:33:48.699915
gpt-5.2_baseline_math,gpt-5.2,math,36,75,75,True,1597.8609999999999,1221,95,0.01506,2026-02-07T12:33:50.297802
gpt-5.2_baseline_math,gpt-5.2,math,37,2,2,True,1913.5249999999999,1239,117,0.0159,2026-02-07T12:33:52.211353
gpt-5.2_baseline_math,gpt-5.2,math,38,10,10,True,1892.5449999999998,1224,101,0.01527,2026-02-07T12:33:54.103924
gpt-5.2_baseline_math,gpt-5.2,math,39,18,18,True,2176.879,1253,159,0.0173,2026-02-07T12:33:56.280834
gpt-5.2_baseline_math,gpt-5.2,math,40,8,8,True,1611.4740000000002,1232,83,0.01481,2026-02-07T12:33:57.892335
gpt-5.2_baseline_math,gpt-5.2,math,41,200,200,True,1789.671,1303,98,0.015969999999999998,2026-02-07T12:33:59.682037
gpt-5.2_baseline_math,gpt-5.2,math,42,26,26,True,1235.773,1260,60,0.0144,2026-02-07T12:34:00.917838
gpt-5.2_baseline_math,gpt-5.2,math,43,48,48,True,2049.502,1234,101,0.01537,2026-02-07T12:34:02.967374
gpt-5.2_baseline_math,gpt-5.2,math,44,20,20,True,1718.097,1250,107,0.015710000000000002,2026-02-07T12:34:04.685504
gpt-5.2_baseline_math,gpt-5.2,math,45,104,104,True,2820.1079999999997,1274,129,0.01661,2026-02-07T12:34:07.505641
gpt-5.2_baseline_math,gpt-5.2,math,46,163,163,True,2408.651,1270,110,0.016,2026-02-07T12:34:09.914318
gpt-5.2_baseline_math,gpt-5.2,math,47,800,800,True,3184.859,1227,135,0.01632,2026-02-07T12:34:13.099202
gpt-5.2_baseline_math,gpt-5.2,math,48,8,8,True,1729.437,1218,66,0.014159999999999999,2026-02-07T12:34:14.828662
gpt-5.2_baseline_math,gpt-5.2,math,49,30,30,True,1082.619,1222,65,0.01417,2026-02-07T12:34:15.911310
