experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,0,Yes,No,False,11585.262,2026-02-06T21:05:35.859656
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,1,Yes,Yes,True,4166.096,2026-02-06T21:05:40.025774
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,2,Yes,Yes,True,3762.574,2026-02-06T21:05:43.788382
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,3,Yes,Yes,True,3375.204,2026-02-06T21:05:47.163631
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,4,Yes,Yes,True,5885.318,2026-02-06T21:05:53.048987
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,5,No,No,True,2609.832,2026-02-06T21:05:55.658848
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,6,Yes,Yes,True,5299.866,2026-02-06T21:06:00.958748
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,7,Yes,Yes,True,3657.4610000000002,2026-02-06T21:06:04.616243
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,8,No,Yes,False,2735.1040000000003,2026-02-06T21:06:07.351390
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,9,Yes,Yes,True,2982.447,2026-02-06T21:06:10.333857
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,10,Yes,Yes,True,4247.888,2026-02-06T21:06:14.581765
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,11,No,No,True,4151.5199999999995,2026-02-06T21:06:18.733319
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,12,No,Yes,False,3979.298,2026-02-06T21:06:22.712636
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,13,No,Yes,False,3739.214,2026-02-06T21:06:26.451871
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,14,Yes,Yes,True,3115.5719999999997,2026-02-06T21:06:29.567475
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,15,Yes,Yes,True,3982.7,2026-02-06T21:06:33.550219
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,16,Yes,Yes,True,4713.052000000001,2026-02-06T21:06:38.263306
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,17,Yes,Yes,True,3526.422,2026-02-06T21:06:41.789745
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,18,Yes,Yes,True,3160.8399999999997,2026-02-06T21:06:44.950614
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,19,Yes,Yes,True,2873.1330000000003,2026-02-06T21:06:47.823776
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,20,Yes,No,False,5530.039000000001,2026-02-06T21:06:53.353831
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,21,Yes,Yes,True,4550.125999999999,2026-02-06T21:06:57.903984
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,22,No,Yes,False,4247.451,2026-02-06T21:07:02.151468
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,23,Yes,Yes,True,4224.253,2026-02-06T21:07:06.375737
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,24,No,Yes,False,4431.47,2026-02-06T21:07:10.807234
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,25,Yes,Yes,True,4442.538,2026-02-06T21:07:15.249796
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,26,Yes,Yes,True,4906.917,2026-02-06T21:07:20.156735
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,27,Yes,No,False,4426.92,2026-02-06T21:07:24.583683
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,28,Yes,Yes,True,2975.328,2026-02-06T21:07:27.559047
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,29,Yes,Yes,True,3440.335,2026-02-06T21:07:30.999412
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,30,Yes,Yes,True,2957.464,2026-02-06T21:07:33.956894
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,31,Yes,Yes,True,4052.319,2026-02-06T21:07:38.009230
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,32,No,No,True,4267.613,2026-02-06T21:07:42.276857
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,33,Yes,Yes,True,3546.719,2026-02-06T21:07:45.823593
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,34,Yes,Yes,True,4001.652,2026-02-06T21:07:49.825273
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,35,Yes,Yes,True,3377.164,2026-02-06T21:07:53.202453
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,36,No,No,True,3130.348,2026-02-06T21:07:56.332821
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,37,Yes,Yes,True,4809.4130000000005,2026-02-06T21:08:01.142262
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,38,No,No,True,5300.254,2026-02-06T21:08:06.442542
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,39,No,No,True,3601.842,2026-02-06T21:08:10.044431
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,40,Yes,Yes,True,3524.79,2026-02-06T21:08:13.569249
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,41,No,No,True,3312.4410000000003,2026-02-06T21:08:16.881726
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,42,Yes,Yes,True,4547.723999999999,2026-02-06T21:08:21.429471
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,43,No,No,True,2810.1479999999997,2026-02-06T21:08:24.239655
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,44,Yes,Yes,True,3131.317,2026-02-06T21:08:27.370987
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,45,Yes,Yes,True,3552.939,2026-02-06T21:08:30.923958
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,46,Yes,Yes,True,3227.012,2026-02-06T21:08:34.151011
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,47,Yes,Yes,True,4268.089,2026-02-06T21:08:38.419121
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,48,Yes,Yes,True,3647.632,2026-02-06T21:08:42.066783
qwen2.5:7b_local_baseline_analysis,qwen2.5:7b,analysis,49,Yes,Yes,True,5109.782,2026-02-06T21:08:47.176580
