experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
phi4_local_baseline_math,phi4,math,0,18,18,True,22300.119,2026-02-06T20:14:43.411681
phi4_local_baseline_math,phi4,math,1,3,3,True,10214.642,2026-02-06T20:14:53.626352
phi4_local_baseline_math,phi4,math,2,"$70,000",70000,False,18910.077999999998,2026-02-06T20:15:12.536492
phi4_local_baseline_math,phi4,math,3,540,540,True,12146.417,2026-02-06T20:15:24.682981
phi4_local_baseline_math,phi4,math,4,20,20,True,16604.811999999998,2026-02-06T20:15:41.287825
phi4_local_baseline_math,phi4,math,5,64,64,True,17293.411,2026-02-06T20:15:58.581290
phi4_local_baseline_math,phi4,math,6,260,260,True,13866.12,2026-02-06T20:16:12.447462
phi4_local_baseline_math,phi4,math,7,160,160,True,23428.113,2026-02-06T20:16:35.875637
phi4_local_baseline_math,phi4,math,8,45,45,True,24953.118,2026-02-06T20:17:00.828792
phi4_local_baseline_math,phi4,math,9,460,460,True,15156.751,2026-02-06T20:17:15.985578
phi4_local_baseline_math,phi4,math,10,366,366,True,16913.709000000003,2026-02-06T20:17:32.899323
phi4_local_baseline_math,phi4,math,11,694,694,True,15380.556999999999,2026-02-06T20:17:48.279939
phi4_local_baseline_math,phi4,math,12,12,13,False,17227.375,2026-02-06T20:18:05.507352
phi4_local_baseline_math,phi4,math,13,18,18,True,26623.887,2026-02-06T20:18:32.131288
phi4_local_baseline_math,phi4,math,14,60%,60,False,17853.204,2026-02-06T20:18:49.984558
phi4_local_baseline_math,phi4,math,15,125,125,True,23802.117,2026-02-06T20:19:13.786717
phi4_local_baseline_math,phi4,math,16,230 miles,230,False,10519.985,2026-02-06T20:19:24.306744
phi4_local_baseline_math,phi4,math,17,57500,57500,True,18690.132999999998,2026-02-06T20:19:42.996918
phi4_local_baseline_math,phi4,math,18,7,7,True,14378.961000000001,2026-02-06T20:19:57.375979
phi4_local_baseline_math,phi4,math,19,6,6,True,23177.857,2026-02-06T20:20:20.554817
phi4_local_baseline_math,phi4,math,20,15,15,True,22461.151,2026-02-06T20:20:43.016286
phi4_local_baseline_math,phi4,math,21,14,14,True,12161.564999999999,2026-02-06T20:20:55.177907
phi4_local_baseline_math,phi4,math,22,7,7,True,15124.766,2026-02-06T20:21:10.302720
phi4_local_baseline_math,phi4,math,23,8,8,True,15737.799,2026-02-06T20:21:26.040570
phi4_local_baseline_math,phi4,math,24,26,26,True,11707.592999999999,2026-02-06T20:21:37.748206
phi4_local_baseline_math,phi4,math,25,2,2,True,18870.827999999998,2026-02-06T20:21:56.619080
phi4_local_baseline_math,phi4,math,26,243,243,True,17301.447,2026-02-06T20:22:13.920570
phi4_local_baseline_math,phi4,math,27,$16.00,16,False,13683.94,2026-02-06T20:22:27.604558
phi4_local_baseline_math,phi4,math,28,25,25,True,17697.064000000002,2026-02-06T20:22:45.301662
phi4_local_baseline_math,phi4,math,29,104,104,True,14270.032000000001,2026-02-06T20:22:59.571737
phi4_local_baseline_math,phi4,math,30,109,109,True,18040.102000000003,2026-02-06T20:23:17.611904
phi4_local_baseline_math,phi4,math,31,80,80,True,16849.494,2026-02-06T20:23:34.461437
phi4_local_baseline_math,phi4,math,32,35,35,True,11614.366,2026-02-06T20:23:46.075839
phi4_local_baseline_math,phi4,math,33,70,70,True,18456.775,2026-02-06T20:24:04.532650
phi4_local_baseline_math,phi4,math,34,23,23,True,9718.674,2026-02-06T20:24:14.251377
phi4_local_baseline_math,phi4,math,35,9,9,True,14134.321,2026-02-06T20:24:28.385749
phi4_local_baseline_math,phi4,math,36,$75.00,75,False,14467.944,2026-02-06T20:24:42.853740
phi4_local_baseline_math,phi4,math,37,2,2,True,26989.719999999998,2026-02-06T20:25:09.843519
phi4_local_baseline_math,phi4,math,38,10,10,True,19586.405,2026-02-06T20:25:29.429970
phi4_local_baseline_math,phi4,math,39,18,18,True,29704.203,2026-02-06T20:25:59.134220
phi4_local_baseline_math,phi4,math,40,12,8,False,10264.775,2026-02-06T20:26:09.399033
phi4_local_baseline_math,phi4,math,41,200,200,True,15857.206,2026-02-06T20:26:25.256281
phi4_local_baseline_math,phi4,math,42,26,26,True,11866.911999999998,2026-02-06T20:26:37.123256
phi4_local_baseline_math,phi4,math,43,48,48,True,18075.700999999997,2026-02-06T20:26:55.199004
phi4_local_baseline_math,phi4,math,44,20,20,True,16089.656,2026-02-06T20:27:11.288715
phi4_local_baseline_math,phi4,math,45,104,104,True,17808.828999999998,2026-02-06T20:27:29.097595
phi4_local_baseline_math,phi4,math,46,163,163,True,17280.972999999998,2026-02-06T20:27:46.378615
phi4_local_baseline_math,phi4,math,47,$800,800,False,24061.282,2026-02-06T20:28:10.439975
phi4_local_baseline_math,phi4,math,48,8,8,True,12972.837,2026-02-06T20:28:23.412848
phi4_local_baseline_math,phi4,math,49,30,30,True,10853.671,2026-02-06T20:28:34.266565
