experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
llama3.2_local_baseline_agentic,llama3.2,agentic,0,No,No,True,3.897,2026-01-20T22:05:14.533226
llama3.2_local_baseline_agentic,llama3.2,agentic,1,No,No,True,1.932,2026-01-20T22:05:14.535165
llama3.2_local_baseline_agentic,llama3.2,agentic,2,No,No,True,1.6260000000000001,2026-01-20T22:05:14.536797
llama3.2_local_baseline_agentic,llama3.2,agentic,3,No,No,True,5.4910000000000005,2026-01-20T22:05:14.542294
llama3.2_local_baseline_agentic,llama3.2,agentic,4,No,No,True,3.863,2026-01-20T22:05:14.546164
llama3.2_local_baseline_agentic,llama3.2,agentic,5,Yes,Yes,True,5.917000000000001,2026-01-20T22:05:14.552090
llama3.2_local_baseline_agentic,llama3.2,agentic,6,No,Yes,False,2.579,2026-01-20T22:05:14.554674
llama3.2_local_baseline_agentic,llama3.2,agentic,7,Yes,No,False,1.813,2026-01-20T22:05:14.556496
llama3.2_local_baseline_agentic,llama3.2,agentic,8,Yes,No,False,1.882,2026-01-20T22:05:14.558382
llama3.2_local_baseline_agentic,llama3.2,agentic,9,Yes,Yes,True,1.653,2026-01-20T22:05:14.560039
llama3.2_local_baseline_agentic,llama3.2,agentic,10,No,Yes,False,1.711,2026-01-20T22:05:14.561753
llama3.2_local_baseline_agentic,llama3.2,agentic,11,No,No,True,1.727,2026-01-20T22:05:14.563484
llama3.2_local_baseline_agentic,llama3.2,agentic,12,No,No,True,1.839,2026-01-20T22:05:14.565329
llama3.2_local_baseline_agentic,llama3.2,agentic,13,Yes,Yes,True,1.9400000000000002,2026-01-20T22:05:14.567273
llama3.2_local_baseline_agentic,llama3.2,agentic,14,Yes,No,False,1.6509999999999998,2026-01-20T22:05:14.568929
llama3.2_local_baseline_agentic,llama3.2,agentic,15,No,No,True,1.661,2026-01-20T22:05:14.570594
llama3.2_local_baseline_agentic,llama3.2,agentic,16,Yes,Yes,True,1.649,2026-01-20T22:05:14.572246
llama3.2_local_baseline_agentic,llama3.2,agentic,17,Yes,Yes,True,1.7730000000000001,2026-01-20T22:05:14.574022
llama3.2_local_baseline_agentic,llama3.2,agentic,18,No,No,True,1.545,2026-01-20T22:05:14.575570
