experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2_baseline_math,gpt-5.2,math,0,18,18,True,3970.356,238,102,0.00544,2026-01-18T13:50:42.034237
gpt-5.2_baseline_math,gpt-5.2,math,1,3,3,True,1294.855,201,56,0.00369,2026-01-18T13:50:43.329141
gpt-5.2_baseline_math,gpt-5.2,math,2,70000,70000,True,2151.965,224,132,0.0062,2026-01-18T13:50:45.481125
gpt-5.2_baseline_math,gpt-5.2,math,3,540,540,True,1406.566,209,84,0.0046099999999999,2026-01-18T13:50:46.887789
gpt-5.2_baseline_math,gpt-5.2,math,4,20,20,True,1543.18,282,105,0.00597,2026-01-18T13:50:48.430989
gpt-5.2_baseline_math,gpt-5.2,math,5,64,64,True,1658.517,227,123,0.00596,2026-01-18T13:50:50.089536
gpt-5.2_baseline_math,gpt-5.2,math,6,260,260,True,2307.166,216,92,0.00492,2026-01-18T13:50:52.396726
gpt-5.2_baseline_math,gpt-5.2,math,7,160 minutes,160,False,3226.182,241,158,0.0071499999999999,2026-01-18T13:50:55.622938
gpt-5.2_baseline_math,gpt-5.2,math,8,45,45,True,2902.897,276,215,0.00921,2026-01-18T13:50:58.525868
gpt-5.2_baseline_math,gpt-5.2,math,9,460,460,True,1499.633,232,103,0.00541,2026-01-18T13:51:00.025525
gpt-5.2_baseline_math,gpt-5.2,math,10,366,366,True,1026.2469999999998,233,95,0.00518,2026-01-18T13:51:01.051791
gpt-5.2_baseline_math,gpt-5.2,math,11,694,694,True,870.203,234,86,0.00492,2026-01-18T13:51:01.922022
gpt-5.2_baseline_math,gpt-5.2,math,12,12,13,False,2919.854,240,145,0.00675,2026-01-18T13:51:04.841901
gpt-5.2_baseline_math,gpt-5.2,math,13,18,18,True,1934.606,233,192,0.00809,2026-01-18T13:51:06.776536
gpt-5.2_baseline_math,gpt-5.2,math,14,60%,60,False,2564.732,224,134,0.00626,2026-01-18T13:51:09.341286
gpt-5.2_baseline_math,gpt-5.2,math,15,125,125,True,2667.2799999999997,265,138,0.0067899999999999,2026-01-18T13:51:12.008597
gpt-5.2_baseline_math,gpt-5.2,math,16,230 miles,230,False,2451.048,224,70,0.00434,2026-01-18T13:51:14.459678
gpt-5.2_baseline_math,gpt-5.2,math,17,57500,57500,True,1507.28,227,95,0.0051199999999999,2026-01-18T13:51:15.966982
gpt-5.2_baseline_math,gpt-5.2,math,18,7,7,True,1156.751,202,76,0.0043,2026-01-18T13:51:17.123757
gpt-5.2_baseline_math,gpt-5.2,math,19,6,6,True,1843.717,239,139,0.00656,2026-01-18T13:51:18.967490
gpt-5.2_baseline_math,gpt-5.2,math,20,15,15,True,4404.228,235,202,0.00841,2026-01-18T13:51:23.371750
gpt-5.2_baseline_math,gpt-5.2,math,21,14,14,True,1326.387,219,79,0.00456,2026-01-18T13:51:24.698167
gpt-5.2_baseline_math,gpt-5.2,math,22,7,7,True,2055.047,229,109,0.00556,2026-01-18T13:51:26.753234
gpt-5.2_baseline_math,gpt-5.2,math,23,8,8,True,1226.245,211,67,0.00412,2026-01-18T13:51:27.979508
gpt-5.2_baseline_math,gpt-5.2,math,24,26,26,True,2546.269,210,93,0.00489,2026-01-18T13:51:30.525805
gpt-5.2_baseline_math,gpt-5.2,math,25,2,2,True,1654.962,238,116,0.00586,2026-01-18T13:51:32.180804
gpt-5.2_baseline_math,gpt-5.2,math,26,243,243,True,1737.3339999999998,239,105,0.00554,2026-01-18T13:51:33.918166
gpt-5.2_baseline_math,gpt-5.2,math,27,16,16,True,1984.44,228,103,0.00537,2026-01-18T13:51:35.902631
gpt-5.2_baseline_math,gpt-5.2,math,28,25,25,True,1204.33,222,99,0.00519,2026-01-18T13:51:37.106983
gpt-5.2_baseline_math,gpt-5.2,math,29,104,104,True,1521.186,242,94,0.00524,2026-01-18T13:51:38.628196
gpt-5.2_baseline_math,gpt-5.2,math,30,109,109,True,1429.322,210,122,0.00576,2026-01-18T13:51:40.057546
gpt-5.2_baseline_math,gpt-5.2,math,31,80,80,True,1643.688,235,132,0.00631,2026-01-18T13:51:41.701252
gpt-5.2_baseline_math,gpt-5.2,math,32,35,35,True,3069.737,215,76,0.00443,2026-01-18T13:51:44.771025
gpt-5.2_baseline_math,gpt-5.2,math,33,70,70,True,1535.436,203,144,0.00635,2026-01-18T13:51:46.306489
gpt-5.2_baseline_math,gpt-5.2,math,34,23,23,True,1227.823,215,92,0.0049099999999999,2026-01-18T13:51:47.534338
gpt-5.2_baseline_math,gpt-5.2,math,35,9,9,True,924.969,223,73,0.00442,2026-01-18T13:51:48.459328
gpt-5.2_baseline_math,gpt-5.2,math,36,75,75,True,1641.1899999999998,215,108,0.00539,2026-01-18T13:51:50.100548
gpt-5.2_baseline_math,gpt-5.2,math,37,2,2,True,2112.381,233,137,0.0064399999999999,2026-01-18T13:51:52.212952
gpt-5.2_baseline_math,gpt-5.2,math,38,10 miles per hour,10,False,2391.547,218,165,0.0071299999999999,2026-01-18T13:51:54.604527
gpt-5.2_baseline_math,gpt-5.2,math,39,18,18,True,2044.093,247,159,0.00724,2026-01-18T13:51:56.648649
gpt-5.2_baseline_math,gpt-5.2,math,40,8,8,True,1338.339,226,101,0.0052899999999999,2026-01-18T13:51:57.987016
gpt-5.2_baseline_math,gpt-5.2,math,41,200,200,True,2345.786,297,137,0.0070799999999999,2026-01-18T13:52:00.332831
gpt-5.2_baseline_math,gpt-5.2,math,42,26,26,True,1231.05,254,79,0.0049099999999999,2026-01-18T13:52:01.563895
gpt-5.2_baseline_math,gpt-5.2,math,43,48,48,True,1641.97,228,116,0.0057599999999999,2026-01-18T13:52:03.205888
gpt-5.2_baseline_math,gpt-5.2,math,44,20,20,True,1932.024,244,152,0.0069999999999999,2026-01-18T13:52:05.137952
gpt-5.2_baseline_math,gpt-5.2,math,45,104,104,True,1622.22,268,133,0.00667,2026-01-18T13:52:06.760186
gpt-5.2_baseline_math,gpt-5.2,math,46,163,163,True,1664.907,264,123,0.00633,2026-01-18T13:52:08.425108
gpt-5.2_baseline_math,gpt-5.2,math,47,800,800,True,2175.67,221,150,0.00671,2026-01-18T13:52:10.600800
gpt-5.2_baseline_math,gpt-5.2,math,48,8,8,True,1099.781,212,67,0.00413,2026-01-18T13:52:11.700598
gpt-5.2_baseline_math,gpt-5.2,math,49,30,30,True,907.469,216,80,0.00456,2026-01-18T13:52:12.608083
