experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,input_tokens,output_tokens,api_cost_usd,timestamp
gpt-5.2-chat-latest_baseline_agentic,gpt-5.2-chat-latest,agentic,0,No,No,True,12935.21,189,790,0.0,2026-01-19T15:17:00.035161
gpt-5.2-chat-latest_baseline_agentic,gpt-5.2-chat-latest,agentic,1,No,No,True,4190.526,187,194,0.0,2026-01-19T15:17:04.225754
gpt-5.2-chat-latest_baseline_agentic,gpt-5.2-chat-latest,agentic,2,No,No,True,6625.929,190,274,0.0,2026-01-19T15:17:10.851750
gpt-5.2-chat-latest_baseline_agentic,gpt-5.2-chat-latest,agentic,3,No,No,True,3238.892,188,159,0.0,2026-01-19T15:17:14.090719
gpt-5.2-chat-latest_baseline_agentic,gpt-5.2-chat-latest,agentic,4,No,No,True,4148.192,187,234,0.0,2026-01-19T15:17:18.238933
gpt-5.2-chat-latest_baseline_agentic,gpt-5.2-chat-latest,agentic,5,Yes,Yes,True,4395.155,193,253,0.0,2026-01-19T15:17:22.634258
gpt-5.2-chat-latest_baseline_agentic,gpt-5.2-chat-latest,agentic,6,Yes,Yes,True,5209.861,186,251,0.0,2026-01-19T15:17:27.844147
gpt-5.2-chat-latest_baseline_agentic,gpt-5.2-chat-latest,agentic,7,No,No,True,2783.078,186,159,0.0,2026-01-19T15:17:30.627296
gpt-5.2-chat-latest_baseline_agentic,gpt-5.2-chat-latest,agentic,8,Yes,No,False,4950.656999999999,194,289,0.0,2026-01-19T15:17:35.577965
gpt-5.2-chat-latest_baseline_agentic,gpt-5.2-chat-latest,agentic,9,Yes,Yes,True,3889.651,185,210,0.0,2026-01-19T15:17:39.467637
gpt-5.2-chat-latest_baseline_agentic,gpt-5.2-chat-latest,agentic,10,Yes,Yes,True,4026.06,185,236,0.0,2026-01-19T15:17:43.493723
gpt-5.2-chat-latest_baseline_agentic,gpt-5.2-chat-latest,agentic,11,No,No,True,2847.812,192,166,0.0,2026-01-19T15:17:46.341546
