experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,0,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    # Sort the list of numbers
    sorted_numbers = sorted(numbers)
    
    # Iterate through the sorted list and check differences between consecutive elements
    for i in range(len(sorted_numbers) - 1):
        if sorted_numbers[i + 1] - sorted_numbers[i] < threshold:
            return True
    
    return False","    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False
",True,4.17,2026-01-18T17:13:52.765749
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,1,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    result = []
    balance = 0
    current_group = ''
    
    for char in paren_string.replace(' ', ''):  # Ignore spaces
        current_group += char
        if char == '(':
            balance += 1
        elif char == ')':
            balance -= 1
        
        if balance == 0 and current_group:
            result.append(current_group)
            current_group = ''
    
    return result","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
",True,1.239,2026-01-18T17:13:52.766996
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,2,"```python
def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    """"""
    return number - int(number)

# Test the function with the provided example
assert truncate_number(3.5) == 0.5
```","    return number % 1.0
",True,4.494,2026-01-18T17:13:52.771497
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,3,"from typing import List


def below_zero(operations: List[int]) -> bool:
    balance = 0
    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
",True,2.326,2026-01-18T17:13:52.773828
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,4,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    # Calculate the mean of the numbers
    mean_value = sum(numbers) / len(numbers)
    
    # Compute the absolute differences from the mean
    abs_diffs = [abs(x - mean_value) for x in numbers]
    
    # Calculate the average of these absolute differences
    mad = sum(abs_diffs) / len(numbers)
    
    return mad","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
",True,2.075,2026-01-18T17:13:52.775911
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,5,"from typing import List


def intersperse(numbers: List[int], delimiter: int) -> List[int]:
    result = []
    for i, num in enumerate(numbers):
        result.append(num)
        if i < len(numbers) - 1:
            result.append(delimiter)
    return result","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
",True,7.047000000000001,2026-01-18T17:13:52.782963
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,6,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    groups = paren_string.split()
    result = []

    for group in groups:
        max_depth = 0
        current_depth = 0

        for char in group:
            if char == '(':
                current_depth += 1
                max_depth = max(max_depth, current_depth)
            elif char == ')':
                current_depth -= 1

        result.append(max_depth)

    return result","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
",True,1.829,2026-01-18T17:13:52.784797
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,7,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    filtered_strings = [s for s in strings if substring in s]
    return filtered_strings","    return [x for x in strings if substring in x]
",True,1.735,2026-01-18T17:13:52.786546
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,8,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    # Initialize sum and product
    total_sum = 0
    total_product = 1

    # Iterate through each number in the list
    for num in numbers:
        total_sum += num
        total_product *= num

    return (total_sum, total_product)","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
",True,1.742,2026-01-18T17:13:52.788292
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,9,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    max_so_far = numbers[0]
    rolling_max_list = [max_so_far]

    for number in numbers[1:]:
        if number > max_so_far:
            max_so_far = number
        rolling_max_list.append(max_so_far)

    return rolling_max_list","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
",False,1.714,2026-01-18T17:13:52.790010
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,10,"```python
def is_palindrome(string: str) -> bool:
    """""" Test if given string is a palindrome """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    """"""
    if not string:
        return ''

    for i in range(len(string)):
        # Check from the start, and see how long the suffix can be
        if is_palindrome(string[i:]):
            # Once we find the longest palindrome starting at index i,
            # break out of the loop as it's the longest possible.
            break

    # The prefix to reverse will be everything before this palindromic suffix
    prefix_to_reverse = string[:i]
    reversed_prefix = prefix_to_reverse[::-1]

    return string + reversed_prefix


# Test cases
assert make_palindrome('') == ''
assert make_palindrome('cat') == 'catac'
assert make_palindrome('cata') == 'catac'
```","    if not string:
        return ''

    beginning_of_suffix = 0

    while not is_palindrome(string[beginning_of_suffix:]):
        beginning_of_suffix += 1

    return string + string[:beginning_of_suffix][::-1]
",False,1.6980000000000002,2026-01-18T17:13:52.791712
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,11,"from typing import List


def string_xor(a: str, b: str) -> str:
    """""" Input are two strings a and b consisting only of 1s and 0s.
    Perform binary XOR on these inputs and return result also as a string.
    """"""
    result = ''
    for i in range(len(a)):
        # XOR the bits and append to the result
        if a[i] == b[i]:
            result += '0'
        else:
            result += '1'
    return result


# Test the function with provided test case
assert string_xor('010', '110') == '100'","    def xor(i, j):
        if i == j:
            return '0'
        else:
            return '1'

    return ''.join(xor(x, y) for x, y in zip(a, b))
",True,1.736,2026-01-18T17:13:52.793452
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,12,"from typing import List, Optional


def longest(strings: List[str]) -> Optional[str]:
    """""" Out of list of strings, return the longest one. Return the first one in case of multiple
    strings of the same length. Return None in case the input list is empty.
    """"""
    if not strings:
        return None

    longest_string = """"
    max_length = 0

    for string in strings:
        if len(string) > max_length:
            longest_string = string
            max_length = len(string)

    return longest_string","    if not strings:
        return None

    maxlen = max(len(x) for x in strings)
    for s in strings:
        if len(s) == maxlen:
            return s
",True,1.485,2026-01-18T17:13:52.794941
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,13,"```python
def greatest_common_divisor(a: int, b: int) -> int:
    while b != 0:
        a, b = b, a % b
    return abs(a)
```","    while b:
        a, b = b, a % b
    return a
",True,1.391,2026-01-18T17:13:52.796336
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,14,"from typing import List


def all_prefixes(string: str) -> List[str]:
    """""" Return list of all prefixes from shortest to longest of the input string
    >>> all_prefixes('abc')
    ['a', 'ab', 'abc']
    """"""
    return [string[:i] for i in range(1, len(string) + 1)]","    result = []

    for i in range(len(string)):
        result.append(string[:i+1])
    return result
",True,1.6689999999999998,2026-01-18T17:13:52.798009
